id,item_id,price,week,year,date_created,date_updated
563,11308500006,144808.35,11,2024,2024-03-17T14:18:36+00:00,2024-03-17T14:18:36+00:00
5117,11308500006,333747.63,13,2024,2024-03-25T15:23:29+00:00,2024-03-27T11:13:01+00:00
9585,11308500006,333747.63,14,2024,2024-04-03T10:44:42+00:00,2024-04-03T10:44:42+00:00
13706,11308500006,261717.13,15,2024,2024-04-10T12:44:23+00:00,2024-04-10T12:44:23+00:00
17915,11308500006,261717.13,16,2024,2024-04-17T11:27:44+00:00,2024-04-17T11:27:44+00:00
22124,11308500006,189615.85,17,2024,2024-04-24T19:28:14+00:00,2024-04-24T19:28:14+00:00
26299,11308500006,189615.85,18,2024,2024-05-01T10:42:08+00:00,2024-05-01T10:42:08+00:00
30468,11308500006,164162.87,19,2024,2024-05-08T18:03:29+00:00,2024-05-08T18:03:29+00:00
34608,11308500006,164162.87,20,2024,2024-05-15T18:20:10+00:00,2024-05-15T18:20:10+00:00
38753,11308500006,451944.39,21,2024,2024-05-22T14:12:02+00:00,2024-05-22T14:12:02+00:00
42909,11308500006,451944.39,22,2024,2024-05-30T22:16:13+00:00,2024-05-30T22:16:13+00:00
47055,11308500006,1199305.39,23,2024,2024-06-06T20:46:26+00:00,2024-06-06T20:46:26+00:00
51223,11308500006,1199305.39,24,2024,2024-06-14T10:59:07+00:00,2024-06-14T10:59:07+00:00
55396,11308500006,527640.67,25,2024,2024-06-19T19:42:44+00:00,2024-06-19T19:42:44+00:00
59553,11308500006,527640.67,26,2024,2024-06-26T13:24:50+00:00,2024-06-26T13:24:50+00:00
63719,11308500006,865428.81,27,2024,2024-07-05T19:30:14+00:00,2024-07-05T19:30:14+00:00
67897,11308500006,865428.81,28,2024,2024-07-11T08:55:55+00:00,2024-07-11T08:55:55+00:00
72082,11308500006,740246.14,29,2024,2024-07-21T13:28:08+00:00,2024-07-21T13:28:08+00:00
76348,11308500006,740246.14,30,2024,2024-07-26T16:28:26+00:00,2024-07-26T16:28:26+00:00
80604,11308500006,903715.17,32,2024,2024-08-07T20:18:40+00:00,2024-08-09T14:31:26+00:00
84894,11308500006,600690.14,35,2024,2024-08-30T14:15:33+00:00,2024-08-30T14:15:33+00:00
89183,11308500006,377233.86,37,2024,2024-09-11T14:22:15+00:00,2024-09-11T14:22:15+00:00
93502,11308500006,377233.86,38,2024,2024-09-18T15:00:23+00:00,2024-09-18T15:00:23+00:00
97831,11308500006,423239.40,39,2024,2024-09-25T12:11:39+00:00,2024-09-25T12:11:39+00:00
102120,11308500006,198742.95,41,2024,2024-10-11T17:05:56+00:00,2024-10-11T17:05:56+00:00
106354,11308500006,392454.61,44,2024,2024-11-03T16:44:40+00:00,2024-11-03T16:44:40+00:00
110645,11308500006,557103.61,47,2024,2024-11-20T11:38:40+00:00,2024-11-20T11:38:40+00:00
114850,11308500006,506029.83,50,2024,2024-12-11T16:49:32+00:00,2024-12-11T16:49:32+00:00
119081,11308500006,783634.02,51,2024,2024-12-18T12:33:14+00:00,2024-12-18T12:33:14+00:00
123289,11308500006,614541.50,1,2025,2025-01-01T20:11:01+00:00,2025-01-01T20:11:01+00:00
127469,11308500006,525556.65,3,2025,2025-01-15T21:05:59+00:00,2025-01-15T21:05:59+00:00
131744,11308500006,525556.65,6,2025,2025-02-04T20:21:37+00:00,2025-02-04T20:21:37+00:00
136031,11308500006,199205.68,10,2025,2025-03-03T17:23:21+00:00,2025-03-03T17:23:21+00:00
140560,11308500006,434418.55,11,2025,2025-03-12T11:02:26+00:00,2025-03-12T11:02:26+00:00
145085,11308500006,568863.34,13,2025,2025-03-26T16:27:40+00:00,2025-03-26T16:27:40+00:00
149567,11308500006,685703.38,15,2025,2025-04-09T13:34:55+00:00,2025-04-09T13:34:55+00:00
154115,11308500006,626304.09,17,2025,2025-04-23T12:05:36+00:00,2025-04-23T12:05:36+00:00
158592,11308500006,780745.17,19,2025,2025-05-07T13:04:42+00:00,2025-05-07T13:04:42+00:00
163070,11308500006,862563.84,21,2025,2025-05-21T19:48:19+00:00,2025-05-21T19:48:19+00:00
163071,11308500006,911447.03,23,2025,2025-06-04T11:19:38+00:00,2025-06-04T11:19:38+00:00
163072,11308500006,745341.61,25,2025,2025-06-18T11:54:56+00:00,2025-06-18T11:54:56+00:00
163073,11308500006,628065.40,26,2025,2025-06-25T17:26:31+00:00,2025-06-25T17:26:31+00:00
163074,11308500006,703522.39,28,2025,2025-07-09T13:04:27+00:00,2025-07-09T13:04:27+00:00
