id,item_id,price,week,year,date_created,date_updated
1874,11014000013,905305.01,11,2024,2024-03-17T14:19:10+00:00,2024-03-17T14:19:10+00:00
4764,11014000013,811084.19,13,2024,2024-03-25T15:23:23+00:00,2024-03-27T11:12:55+00:00
9234,11014000013,811084.19,14,2024,2024-04-03T10:44:35+00:00,2024-04-03T10:44:35+00:00
13356,11014000013,849556.57,15,2024,2024-04-10T12:44:16+00:00,2024-04-10T12:44:16+00:00
17565,11014000013,849556.57,16,2024,2024-04-17T11:27:38+00:00,2024-04-17T11:27:38+00:00
21772,11014000013,836392.36,17,2024,2024-04-24T19:28:07+00:00,2024-04-24T19:28:07+00:00
25947,11014000013,836392.36,18,2024,2024-05-01T10:42:00+00:00,2024-05-01T10:42:00+00:00
30119,11014000013,678725.27,19,2024,2024-05-08T18:03:22+00:00,2024-05-08T18:03:22+00:00
34259,11014000013,678725.27,20,2024,2024-05-15T18:20:03+00:00,2024-05-15T18:20:03+00:00
38403,11014000013,533389.99,21,2024,2024-05-22T14:11:54+00:00,2024-05-22T14:11:54+00:00
42559,11014000013,533389.99,22,2024,2024-05-30T22:16:06+00:00,2024-05-30T22:16:06+00:00
46702,11014000013,666694.20,23,2024,2024-06-06T20:46:16+00:00,2024-06-06T20:46:16+00:00
50870,11014000013,666694.20,24,2024,2024-06-14T10:58:59+00:00,2024-06-14T10:58:59+00:00
55053,11014000013,725978.45,25,2024,2024-06-19T19:42:37+00:00,2024-06-19T19:42:37+00:00
59210,11014000013,725978.45,26,2024,2024-06-26T13:24:42+00:00,2024-06-26T13:24:42+00:00
63367,11014000013,552603.74,27,2024,2024-07-05T19:30:06+00:00,2024-07-05T19:30:06+00:00
67545,11014000013,552603.74,28,2024,2024-07-11T08:55:46+00:00,2024-07-11T08:55:46+00:00
71721,11014000013,475452.92,29,2024,2024-07-21T13:28:00+00:00,2024-07-21T13:28:00+00:00
75987,11014000013,475452.92,30,2024,2024-07-26T16:28:16+00:00,2024-07-26T16:28:16+00:00
80251,11014000013,526363.32,32,2024,2024-08-07T20:18:31+00:00,2024-08-09T14:31:17+00:00
84539,11014000013,415723.62,35,2024,2024-08-30T14:15:25+00:00,2024-08-30T14:15:25+00:00
88825,11014000013,571805.14,37,2024,2024-09-11T14:22:05+00:00,2024-09-11T14:22:05+00:00
93144,11014000013,571805.14,38,2024,2024-09-18T15:00:14+00:00,2024-09-18T15:00:14+00:00
97471,11014000013,681608.12,39,2024,2024-09-25T12:11:29+00:00,2024-09-25T12:11:29+00:00
101759,11014000013,900226.36,41,2024,2024-10-11T17:05:39+00:00,2024-10-11T17:05:39+00:00
105999,11014000013,999288.43,44,2024,2024-11-03T16:44:25+00:00,2024-11-03T16:44:25+00:00
110287,11014000013,1060719.98,47,2024,2024-11-20T11:38:09+00:00,2024-11-20T11:38:09+00:00
114494,11014000013,880199.19,50,2024,2024-12-11T16:49:16+00:00,2024-12-11T16:49:16+00:00
118718,11014000013,910537.03,51,2024,2024-12-18T12:32:58+00:00,2024-12-18T12:32:58+00:00
122929,11014000013,973595.62,1,2025,2025-01-01T20:10:40+00:00,2025-01-01T20:10:40+00:00
127111,11014000013,912852.75,3,2025,2025-01-15T21:05:42+00:00,2025-01-15T21:05:42+00:00
131386,11014000013,912852.75,6,2025,2025-02-04T20:21:08+00:00,2025-02-04T20:21:08+00:00
135664,11014000013,1018905.83,10,2025,2025-03-03T17:23:04+00:00,2025-03-03T17:23:04+00:00
140178,11014000013,965341.30,11,2025,2025-03-12T11:02:08+00:00,2025-03-12T11:02:08+00:00
144699,11014000013,1013876.08,13,2025,2025-03-26T16:27:19+00:00,2025-03-26T16:27:19+00:00
149182,11014000013,972770.59,15,2025,2025-04-09T13:34:18+00:00,2025-04-09T13:34:18+00:00
153730,11014000013,956616.62,17,2025,2025-04-23T12:05:16+00:00,2025-04-23T12:05:16+00:00
158196,11014000013,859143.27,19,2025,2025-05-07T13:04:21+00:00,2025-05-07T13:04:21+00:00
162674,11014000013,974265.76,21,2025,2025-05-21T19:48:00+00:00,2025-05-21T19:48:00+00:00
