id,item_id,price,week,year,date_created,date_updated
3064,61708040006,39436517.24,11,2024,2024-03-17T14:20:05+00:00,2024-03-17T14:20:05+00:00
7689,61708040006,37925869.61,13,2024,2024-03-25T15:25:14+00:00,2024-03-27T11:14:35+00:00
12064,61708040006,37925869.61,14,2024,2024-04-03T10:46:24+00:00,2024-04-03T10:46:24+00:00
16269,61708040006,41444393.80,15,2024,2024-04-10T12:46:14+00:00,2024-04-10T12:46:14+00:00
20478,61708040006,41444393.80,16,2024,2024-04-17T11:29:35+00:00,2024-04-17T11:29:35+00:00
24652,61708040006,48228511.45,17,2024,2024-04-24T19:30:02+00:00,2024-04-24T19:30:02+00:00
28827,61708040006,48228511.45,18,2024,2024-05-01T10:43:51+00:00,2024-05-01T10:43:51+00:00
32955,61708040006,52499760.69,19,2024,2024-05-08T18:05:11+00:00,2024-05-08T18:05:11+00:00
37095,61708040006,52499760.69,20,2024,2024-05-15T18:21:51+00:00,2024-05-15T18:21:51+00:00
41261,61708040006,53873070.67,21,2024,2024-05-22T14:13:46+00:00,2024-05-22T14:13:46+00:00
45417,61708040006,53873070.67,22,2024,2024-05-30T22:18:04+00:00,2024-05-30T22:18:04+00:00
49600,61708040006,65930930.28,23,2024,2024-06-06T20:48:18+00:00,2024-06-06T20:48:18+00:00
53768,61708040006,65930930.28,24,2024,2024-06-14T11:01:04+00:00,2024-06-14T11:01:04+00:00
57928,61708040006,65166809.95,25,2024,2024-06-19T19:44:33+00:00,2024-06-19T19:44:33+00:00
62085,61708040006,65166809.95,26,2024,2024-06-26T13:26:50+00:00,2024-06-26T13:26:50+00:00
66249,61708040006,57047430.83,27,2024,2024-07-05T19:32:10+00:00,2024-07-05T19:32:10+00:00
70427,61708040006,57047430.83,28,2024,2024-07-11T08:57:50+00:00,2024-07-11T08:57:50+00:00
74659,61708040006,61438177.87,29,2024,2024-07-21T13:30:09+00:00,2024-07-21T13:30:09+00:00
78925,61708040006,61438177.87,30,2024,2024-07-26T16:30:28+00:00,2024-07-26T16:30:28+00:00
83139,61708040006,78133858.27,32,2024,2024-08-07T20:20:40+00:00,2024-08-09T14:33:23+00:00
87450,61708040006,71146997.74,35,2024,2024-08-30T14:17:34+00:00,2024-08-30T14:17:34+00:00
91783,61708040006,63253008.28,37,2024,2024-09-11T14:24:24+00:00,2024-09-11T14:24:24+00:00
96102,61708040006,63253008.28,38,2024,2024-09-18T15:02:32+00:00,2024-09-18T15:02:32+00:00
100417,61708040006,56189324.94,39,2024,2024-09-25T12:13:54+00:00,2024-09-25T12:13:54+00:00
104673,61708040006,47716950.60,41,2024,2024-10-11T17:10:08+00:00,2024-10-11T17:10:08+00:00
108943,61708040006,40331333.36,44,2024,2024-11-03T16:47:32+00:00,2024-11-03T16:47:32+00:00
113161,61708040006,33491431.56,47,2024,2024-11-20T11:41:49+00:00,2024-11-20T11:41:49+00:00
117372,61708040006,22896519.16,50,2024,2024-12-11T16:52:44+00:00,2024-12-11T16:52:44+00:00
121636,61708040006,15343720.72,51,2024,2024-12-18T12:36:31+00:00,2024-12-18T12:36:31+00:00
125802,61708040006,13741772.95,1,2025,2025-01-01T20:14:02+00:00,2025-01-01T20:14:02+00:00
130042,61708040006,14193255.83,3,2025,2025-01-15T21:09:14+00:00,2025-01-15T21:09:14+00:00
134317,61708040006,14193255.83,6,2025,2025-02-04T20:26:33+00:00,2025-02-04T20:26:33+00:00
138760,61708040006,12256149.00,10,2025,2025-03-03T17:26:38+00:00,2025-03-03T17:26:38+00:00
143268,61708040006,16273767.87,11,2025,2025-03-12T11:05:48+00:00,2025-03-12T11:05:48+00:00
147774,61708040006,24921236.29,13,2025,2025-03-26T16:30:56+00:00,2025-03-26T16:30:56+00:00
152297,61708040006,21457169.08,15,2025,2025-04-09T13:39:32+00:00,2025-04-09T13:39:32+00:00
156802,61708040006,25898097.59,17,2025,2025-04-23T12:08:46+00:00,2025-04-23T12:08:46+00:00
161275,61708040006,32099279.45,19,2025,2025-05-07T13:07:54+00:00,2025-05-07T13:07:54+00:00
165784,61708040006,31947424.44,21,2025,2025-05-21T19:51:41+00:00,2025-05-21T19:51:41+00:00
