id,item_id,price,week,year,date_created,date_updated
24675,61708180006,500000000.00,17,2024,2024-04-24T19:30:03+00:00,2024-04-24T19:30:03+00:00
28850,61708180006,500000000.00,18,2024,2024-05-01T10:43:52+00:00,2024-05-01T10:43:52+00:00
57953,61708180006,45223222.00,25,2024,2024-06-19T19:44:35+00:00,2024-06-19T19:44:35+00:00
62110,61708180006,45223222.00,26,2024,2024-06-26T13:26:52+00:00,2024-06-26T13:26:52+00:00
87475,61708180006,620033333.67,35,2024,2024-08-30T14:17:36+00:00,2024-08-30T14:17:36+00:00
91809,61708180006,93150000.50,37,2024,2024-09-11T14:24:25+00:00,2024-09-11T14:24:25+00:00
96128,61708180006,93150000.50,38,2024,2024-09-18T15:02:33+00:00,2024-09-18T15:02:33+00:00
104696,61708180006,111433333.33,41,2024,2024-10-11T17:10:11+00:00,2024-10-11T17:10:11+00:00
108964,61708180006,136500001.50,44,2024,2024-11-03T16:47:34+00:00,2024-11-03T16:47:34+00:00
113188,61708180006,159358586.27,47,2024,2024-11-20T11:41:52+00:00,2024-11-20T11:41:52+00:00
138785,61708180006,64806666.67,10,2025,2025-03-03T17:26:41+00:00,2025-03-03T17:26:41+00:00
143294,61708180006,32310000.00,11,2025,2025-03-12T11:05:50+00:00,2025-03-12T11:05:50+00:00
147800,61708180006,18480400.40,13,2025,2025-03-26T16:30:59+00:00,2025-03-26T16:30:59+00:00
152324,61708180006,29260000.00,15,2025,2025-04-09T13:39:35+00:00,2025-04-09T13:39:35+00:00
156829,61708180006,13760827.45,17,2025,2025-04-23T12:08:48+00:00,2025-04-23T12:08:48+00:00
161301,61708180006,3284685.19,19,2025,2025-05-07T13:07:57+00:00,2025-05-07T13:07:57+00:00
165810,61708180006,1427329.17,21,2025,2025-05-21T19:51:43+00:00,2025-05-21T19:51:43+00:00
165811,61708180006,583350.00,23,2025,2025-06-04T11:23:08+00:00,2025-06-04T11:23:08+00:00
165812,61708180006,2008228.14,25,2025,2025-06-18T11:58:19+00:00,2025-06-18T11:58:19+00:00
165813,61708180006,2806250.54,26,2025,2025-06-25T17:29:47+00:00,2025-06-25T17:29:47+00:00
165814,61708180006,1160714.41,28,2025,2025-07-09T13:11:21+00:00,2025-07-09T13:11:21+00:00
