id,item_id,price,week,year,date_created,date_updated
7836,61720020004,1903681407.33,13,2024,2024-03-25T15:25:23+00:00,2024-03-27T11:14:43+00:00
12208,61720020004,1903681407.33,14,2024,2024-04-03T10:46:33+00:00,2024-04-03T10:46:33+00:00
16417,61720020004,1669831714.29,15,2024,2024-04-10T12:46:24+00:00,2024-04-10T12:46:24+00:00
20626,61720020004,1669831714.29,16,2024,2024-04-17T11:29:46+00:00,2024-04-17T11:29:46+00:00
24803,61720020004,1792857142.86,17,2024,2024-04-24T19:30:11+00:00,2024-04-24T19:30:11+00:00
28978,61720020004,1792857142.86,18,2024,2024-05-01T10:44:01+00:00,2024-05-01T10:44:01+00:00
33105,61720020004,1190000000.07,19,2024,2024-05-08T18:05:20+00:00,2024-05-08T18:05:20+00:00
37245,61720020004,1190000000.07,20,2024,2024-05-15T18:22:00+00:00,2024-05-15T18:22:00+00:00
41419,61720020004,1262500000.12,21,2024,2024-05-22T14:13:56+00:00,2024-05-22T14:13:56+00:00
45575,61720020004,1262500000.12,22,2024,2024-05-30T22:18:14+00:00,2024-05-30T22:18:14+00:00
49754,61720020004,1322222222.00,23,2024,2024-06-06T20:48:28+00:00,2024-06-06T20:48:28+00:00
53922,61720020004,1322222222.00,24,2024,2024-06-14T11:01:17+00:00,2024-06-14T11:01:17+00:00
58082,61720020004,1133307692.31,25,2024,2024-06-19T19:44:42+00:00,2024-06-19T19:44:42+00:00
62239,61720020004,1133307692.31,26,2024,2024-06-26T13:27:00+00:00,2024-06-26T13:27:00+00:00
66403,61720020004,1210909090.91,27,2024,2024-07-05T19:32:20+00:00,2024-07-05T19:32:20+00:00
70581,61720020004,1210909090.91,28,2024,2024-07-11T08:58:00+00:00,2024-07-11T08:58:00+00:00
74812,61720020004,1091333332.80,29,2024,2024-07-21T13:30:19+00:00,2024-07-21T13:30:19+00:00
79078,61720020004,1091333332.80,30,2024,2024-07-26T16:30:39+00:00,2024-07-26T16:30:39+00:00
83288,61720020004,1032916665.75,32,2024,2024-08-07T20:20:51+00:00,2024-08-09T14:33:33+00:00
87611,61720020004,916249999.83,35,2024,2024-08-30T14:17:46+00:00,2024-08-30T14:17:46+00:00
91942,61720020004,857500000.00,37,2024,2024-09-11T14:24:34+00:00,2024-09-11T14:24:34+00:00
96261,61720020004,857500000.00,38,2024,2024-09-18T15:02:42+00:00,2024-09-18T15:02:42+00:00
100569,61720020004,986336363.64,39,2024,2024-09-25T12:14:05+00:00,2024-09-25T12:14:05+00:00
104821,61720020004,1057912962.67,41,2024,2024-10-11T17:10:27+00:00,2024-10-11T17:10:27+00:00
109097,61720020004,812638888.81,44,2024,2024-11-03T16:47:47+00:00,2024-11-03T16:47:47+00:00
113319,61720020004,1448666666.67,47,2024,2024-11-20T11:42:04+00:00,2024-11-20T11:42:04+00:00
121791,61720020004,1159999999.40,51,2024,2024-12-18T12:36:46+00:00,2024-12-18T12:36:46+00:00
130194,61720020004,794444444.44,3,2025,2025-01-15T21:09:30+00:00,2025-01-15T21:09:30+00:00
134469,61720020004,794444444.44,6,2025,2025-02-04T20:27:09+00:00,2025-02-04T20:27:09+00:00
138924,61720020004,1238571429.71,10,2025,2025-03-03T17:26:53+00:00,2025-03-03T17:26:53+00:00
143446,61720020004,741875000.00,11,2025,2025-03-12T11:06:06+00:00,2025-03-12T11:06:06+00:00
147935,61720020004,1280000000.00,13,2025,2025-03-26T16:31:12+00:00,2025-03-26T16:31:12+00:00
152470,61720020004,1295000000.00,15,2025,2025-04-09T13:39:53+00:00,2025-04-09T13:39:53+00:00
156966,61720020004,2527692305.15,17,2025,2025-04-23T12:09:01+00:00,2025-04-23T12:09:01+00:00
161438,61720020004,2774999999.75,19,2025,2025-05-07T13:08:09+00:00,2025-05-07T13:08:09+00:00
165959,61720020004,2954545454.36,21,2025,2025-05-21T19:51:58+00:00,2025-05-21T19:51:58+00:00
165960,61720020004,2458333367.00,23,2025,2025-06-04T11:23:22+00:00,2025-06-04T11:23:22+00:00
165961,61720020004,1775000050.50,25,2025,2025-06-18T11:58:31+00:00,2025-06-18T11:58:31+00:00
165962,61720020004,1140200000.00,26,2025,2025-06-25T17:29:59+00:00,2025-06-25T17:29:59+00:00
165963,61720020004,440599999.40,28,2025,2025-07-09T13:11:46+00:00,2025-07-09T13:11:46+00:00
165964,61720020004,787499999.62,30,2025,2025-07-23T20:42:33+00:00,2025-07-23T20:42:33+00:00
