id,item_id,price,week,year,date_created,date_updated
2255,61705040002,2324.00,11,2024,2024-03-17T14:19:25+00:00,2024-03-17T14:19:25+00:00
7611,61705040002,484.46,13,2024,2024-03-25T15:25:10+00:00,2024-03-27T11:14:31+00:00
11991,61705040002,484.46,14,2024,2024-04-03T10:46:19+00:00,2024-04-03T10:46:19+00:00
24572,61705040002,2325.00,17,2024,2024-04-24T19:29:57+00:00,2024-04-24T19:29:57+00:00
28747,61705040002,2325.00,18,2024,2024-05-01T10:43:46+00:00,2024-05-01T10:43:46+00:00
32875,61705040002,2325.00,19,2024,2024-05-08T18:05:06+00:00,2024-05-08T18:05:06+00:00
37015,61705040002,2325.00,20,2024,2024-05-15T18:21:46+00:00,2024-05-15T18:21:46+00:00
41171,61705040002,2325.00,21,2024,2024-05-22T14:13:41+00:00,2024-05-22T14:13:41+00:00
45327,61705040002,2325.00,22,2024,2024-05-30T22:17:58+00:00,2024-05-30T22:17:58+00:00
49518,61705040002,2325.00,23,2024,2024-06-06T20:48:12+00:00,2024-06-06T20:48:12+00:00
53686,61705040002,2325.00,24,2024,2024-06-14T11:00:58+00:00,2024-06-14T11:00:58+00:00
57843,61705040002,990.00,25,2024,2024-06-19T19:44:28+00:00,2024-06-19T19:44:28+00:00
62000,61705040002,990.00,26,2024,2024-06-26T13:26:44+00:00,2024-06-26T13:26:44+00:00
66165,61705040002,656.25,27,2024,2024-07-05T19:32:04+00:00,2024-07-05T19:32:04+00:00
70343,61705040002,656.25,28,2024,2024-07-11T08:57:44+00:00,2024-07-11T08:57:44+00:00
74576,61705040002,2325.00,29,2024,2024-07-21T13:30:03+00:00,2024-07-21T13:30:03+00:00
78842,61705040002,2325.00,30,2024,2024-07-26T16:30:22+00:00,2024-07-26T16:30:22+00:00
83050,61705040002,2325.00,32,2024,2024-08-07T20:20:34+00:00,2024-08-09T14:33:17+00:00
104592,61705040002,2325.00,41,2024,2024-10-11T17:09:58+00:00,2024-10-11T17:09:58+00:00
117287,61705040002,2325.00,50,2024,2024-12-11T16:52:35+00:00,2024-12-11T16:52:35+00:00
125727,61705040002,1662.50,1,2025,2025-01-01T20:13:55+00:00,2025-01-01T20:13:55+00:00
129959,61705040002,11942.25,3,2025,2025-01-15T21:09:05+00:00,2025-01-15T21:09:05+00:00
134234,61705040002,11942.25,6,2025,2025-02-04T20:26:12+00:00,2025-02-04T20:26:12+00:00
138675,61705040002,8720.83,10,2025,2025-03-03T17:26:30+00:00,2025-03-03T17:26:30+00:00
143178,61705040002,2325.00,11,2025,2025-03-12T11:05:39+00:00,2025-03-12T11:05:39+00:00
147686,61705040002,2325.00,13,2025,2025-03-26T16:30:48+00:00,2025-03-26T16:30:48+00:00
156716,61705040002,2325.00,17,2025,2025-04-23T12:08:38+00:00,2025-04-23T12:08:38+00:00
156717,61705040002,2325.00,23,2025,2025-06-04T11:22:56+00:00,2025-06-04T11:22:56+00:00
