id,item_id,price,week,year,date_created,date_updated
4186,61707010002,1000.00,11,2024,2024-03-17T14:21:19+00:00,2024-03-17T14:21:19+00:00
7641,61707010002,3702.21,13,2024,2024-03-25T15:25:11+00:00,2024-03-27T11:14:32+00:00
12018,61707010002,3702.21,14,2024,2024-04-03T10:46:21+00:00,2024-04-03T10:46:21+00:00
16218,61707010002,9444.96,15,2024,2024-04-10T12:46:11+00:00,2024-04-10T12:46:11+00:00
20427,61707010002,9444.96,16,2024,2024-04-17T11:29:32+00:00,2024-04-17T11:29:32+00:00
24603,61707010002,469.17,17,2024,2024-04-24T19:29:59+00:00,2024-04-24T19:29:59+00:00
28778,61707010002,469.17,18,2024,2024-05-01T10:43:48+00:00,2024-05-01T10:43:48+00:00
32907,61707010002,421.49,19,2024,2024-05-08T18:05:08+00:00,2024-05-08T18:05:08+00:00
37047,61707010002,421.49,20,2024,2024-05-15T18:21:48+00:00,2024-05-15T18:21:48+00:00
41203,61707010002,23.68,21,2024,2024-05-22T14:13:43+00:00,2024-05-22T14:13:43+00:00
45359,61707010002,23.68,22,2024,2024-05-30T22:18:00+00:00,2024-05-30T22:18:00+00:00
49547,61707010002,64.72,23,2024,2024-06-06T20:48:14+00:00,2024-06-06T20:48:14+00:00
53715,61707010002,64.72,24,2024,2024-06-14T11:01:00+00:00,2024-06-14T11:01:00+00:00
57873,61707010002,13.66,25,2024,2024-06-19T19:44:30+00:00,2024-06-19T19:44:30+00:00
62030,61707010002,13.66,26,2024,2024-06-26T13:26:46+00:00,2024-06-26T13:26:46+00:00
66196,61707010002,110.70,27,2024,2024-07-05T19:32:06+00:00,2024-07-05T19:32:06+00:00
70374,61707010002,110.70,28,2024,2024-07-11T08:57:46+00:00,2024-07-11T08:57:46+00:00
74606,61707010002,213.98,29,2024,2024-07-21T13:30:05+00:00,2024-07-21T13:30:05+00:00
78872,61707010002,213.98,30,2024,2024-07-26T16:30:24+00:00,2024-07-26T16:30:24+00:00
83081,61707010002,229.29,32,2024,2024-08-07T20:20:36+00:00,2024-08-09T14:33:19+00:00
87391,61707010002,462.70,35,2024,2024-08-30T14:17:30+00:00,2024-08-30T14:17:30+00:00
91726,61707010002,2185.98,37,2024,2024-09-11T14:24:20+00:00,2024-09-11T14:24:20+00:00
96045,61707010002,2185.98,38,2024,2024-09-18T15:02:28+00:00,2024-09-18T15:02:28+00:00
100361,61707010002,5682.28,39,2024,2024-09-25T12:13:50+00:00,2024-09-25T12:13:50+00:00
104622,61707010002,1659.06,41,2024,2024-10-11T17:10:02+00:00,2024-10-11T17:10:02+00:00
108890,61707010002,5739.39,44,2024,2024-11-03T16:47:27+00:00,2024-11-03T16:47:27+00:00
113107,61707010002,695.34,47,2024,2024-11-20T11:41:44+00:00,2024-11-20T11:41:44+00:00
117319,61707010002,1187.00,50,2024,2024-12-11T16:52:38+00:00,2024-12-11T16:52:38+00:00
121584,61707010002,1988.82,51,2024,2024-12-18T12:36:26+00:00,2024-12-18T12:36:26+00:00
125755,61707010002,197.21,1,2025,2025-01-01T20:13:58+00:00,2025-01-01T20:13:58+00:00
129990,61707010002,5211.33,3,2025,2025-01-15T21:09:08+00:00,2025-01-15T21:09:08+00:00
134265,61707010002,5211.33,6,2025,2025-02-04T20:26:19+00:00,2025-02-04T20:26:19+00:00
138706,61707010002,4178.70,10,2025,2025-03-03T17:26:33+00:00,2025-03-03T17:26:33+00:00
143209,61707010002,43.99,11,2025,2025-03-12T11:05:42+00:00,2025-03-12T11:05:42+00:00
147717,61707010002,118.70,13,2025,2025-03-26T16:30:51+00:00,2025-03-26T16:30:51+00:00
152237,61707010002,3049.41,15,2025,2025-04-09T13:39:24+00:00,2025-04-09T13:39:24+00:00
156744,61707010002,3270.80,17,2025,2025-04-23T12:08:41+00:00,2025-04-23T12:08:41+00:00
161217,61707010002,7945.67,19,2025,2025-05-07T13:07:49+00:00,2025-05-07T13:07:49+00:00
165726,61707010002,5220.04,21,2025,2025-05-21T19:51:35+00:00,2025-05-21T19:51:35+00:00
165727,61707010002,8874.91,23,2025,2025-06-04T11:22:59+00:00,2025-06-04T11:22:59+00:00
165728,61707010002,4573.20,25,2025,2025-06-18T11:58:12+00:00,2025-06-18T11:58:12+00:00
165729,61707010002,945.74,26,2025,2025-06-25T17:29:40+00:00,2025-06-25T17:29:40+00:00
165730,61707010002,4995.19,28,2025,2025-07-09T13:11:05+00:00,2025-07-09T13:11:05+00:00
165731,61707010002,1896.80,30,2025,2025-07-23T20:42:15+00:00,2025-07-23T20:42:15+00:00
