id,item_id,price,week,year,date_created,date_updated
1823,61710110006,191774.74,11,2024,2024-03-17T14:19:08+00:00,2024-03-17T14:19:08+00:00
7739,61710110006,233987.05,13,2024,2024-03-25T15:25:17+00:00,2024-03-27T11:14:37+00:00
12112,61710110006,233987.05,14,2024,2024-04-03T10:46:27+00:00,2024-04-03T10:46:27+00:00
16320,61710110006,46881.50,15,2024,2024-04-10T12:46:18+00:00,2024-04-10T12:46:18+00:00
20529,61710110006,46881.50,16,2024,2024-04-17T11:29:39+00:00,2024-04-17T11:29:39+00:00
24704,61710110006,19327.02,17,2024,2024-04-24T19:30:05+00:00,2024-04-24T19:30:05+00:00
28879,61710110006,19327.02,18,2024,2024-05-01T10:43:54+00:00,2024-05-01T10:43:54+00:00
33005,61710110006,17877.40,19,2024,2024-05-08T18:05:14+00:00,2024-05-08T18:05:14+00:00
37145,61710110006,17877.40,20,2024,2024-05-15T18:21:54+00:00,2024-05-15T18:21:54+00:00
41318,61710110006,33579.70,21,2024,2024-05-22T14:13:50+00:00,2024-05-22T14:13:50+00:00
45474,61710110006,33579.70,22,2024,2024-05-30T22:18:07+00:00,2024-05-30T22:18:07+00:00
49654,61710110006,42510.98,23,2024,2024-06-06T20:48:21+00:00,2024-06-06T20:48:21+00:00
53822,61710110006,42510.98,24,2024,2024-06-14T11:01:10+00:00,2024-06-14T11:01:10+00:00
57982,61710110006,50057.53,25,2024,2024-06-19T19:44:36+00:00,2024-06-19T19:44:36+00:00
62139,61710110006,50057.53,26,2024,2024-06-26T13:26:54+00:00,2024-06-26T13:26:54+00:00
66301,61710110006,81474.42,27,2024,2024-07-05T19:32:14+00:00,2024-07-05T19:32:14+00:00
70479,61710110006,81474.42,28,2024,2024-07-11T08:57:54+00:00,2024-07-11T08:57:54+00:00
74710,61710110006,56521.94,29,2024,2024-07-21T13:30:12+00:00,2024-07-21T13:30:12+00:00
78976,61710110006,56521.94,30,2024,2024-07-26T16:30:31+00:00,2024-07-26T16:30:31+00:00
83191,61710110006,19905.03,32,2024,2024-08-07T20:20:44+00:00,2024-08-09T14:33:27+00:00
87508,61710110006,30001.10,35,2024,2024-08-30T14:17:38+00:00,2024-08-30T14:17:38+00:00
91840,61710110006,26457.49,37,2024,2024-09-11T14:24:28+00:00,2024-09-11T14:24:28+00:00
96159,61710110006,26457.49,38,2024,2024-09-18T15:02:35+00:00,2024-09-18T15:02:35+00:00
100468,61710110006,21526.00,39,2024,2024-09-25T12:13:58+00:00,2024-09-25T12:13:58+00:00
104730,61710110006,21526.00,41,2024,2024-10-11T17:10:15+00:00,2024-10-11T17:10:15+00:00
108996,61710110006,29587.23,44,2024,2024-11-03T16:47:37+00:00,2024-11-03T16:47:37+00:00
113220,61710110006,29598.31,47,2024,2024-11-20T11:41:55+00:00,2024-11-20T11:41:55+00:00
117427,61710110006,3717.17,50,2024,2024-12-11T16:52:49+00:00,2024-12-11T16:52:49+00:00
121690,61710110006,17180.44,51,2024,2024-12-18T12:36:37+00:00,2024-12-18T12:36:37+00:00
125854,61710110006,18077.04,1,2025,2025-01-01T20:14:07+00:00,2025-01-01T20:14:07+00:00
130094,61710110006,16081.35,3,2025,2025-01-15T21:09:20+00:00,2025-01-15T21:09:20+00:00
134369,61710110006,16081.35,6,2025,2025-02-04T20:26:45+00:00,2025-02-04T20:26:45+00:00
138817,61710110006,30663.41,10,2025,2025-03-03T17:26:44+00:00,2025-03-03T17:26:44+00:00
143329,61710110006,30522.40,11,2025,2025-03-12T11:05:54+00:00,2025-03-12T11:05:54+00:00
147833,61710110006,35664.32,13,2025,2025-03-26T16:31:02+00:00,2025-03-26T16:31:02+00:00
152358,61710110006,22438.14,15,2025,2025-04-09T13:39:38+00:00,2025-04-09T13:39:38+00:00
156860,61710110006,13530.77,17,2025,2025-04-23T12:08:51+00:00,2025-04-23T12:08:51+00:00
161332,61710110006,32032.17,19,2025,2025-05-07T13:08:00+00:00,2025-05-07T13:08:00+00:00
165845,61710110006,20180.42,21,2025,2025-05-21T19:51:47+00:00,2025-05-21T19:51:47+00:00
