id,item_id,price,week,year,date_created,date_updated
2186,61711020006,18282720.05,11,2024,2024-03-17T14:19:22+00:00,2024-03-17T14:19:22+00:00
7750,61711020006,15701349.39,13,2024,2024-03-25T15:25:18+00:00,2024-03-27T11:14:38+00:00
12123,61711020006,15701349.39,14,2024,2024-04-03T10:46:27+00:00,2024-04-03T10:46:27+00:00
16331,61711020006,15597106.14,15,2024,2024-04-10T12:46:19+00:00,2024-04-10T12:46:19+00:00
20540,61711020006,15597106.14,16,2024,2024-04-17T11:29:39+00:00,2024-04-17T11:29:39+00:00
24715,61711020006,14404073.13,17,2024,2024-04-24T19:30:06+00:00,2024-04-24T19:30:06+00:00
28890,61711020006,14404073.13,18,2024,2024-05-01T10:43:55+00:00,2024-05-01T10:43:55+00:00
33016,61711020006,15292452.89,19,2024,2024-05-08T18:05:14+00:00,2024-05-08T18:05:14+00:00
37156,61711020006,15292452.89,20,2024,2024-05-15T18:21:55+00:00,2024-05-15T18:21:55+00:00
41329,61711020006,14788108.88,21,2024,2024-05-22T14:13:50+00:00,2024-05-22T14:13:50+00:00
45485,61711020006,14788108.88,22,2024,2024-05-30T22:18:08+00:00,2024-05-30T22:18:08+00:00
49665,61711020006,14538499.55,23,2024,2024-06-06T20:48:22+00:00,2024-06-06T20:48:22+00:00
53833,61711020006,14538499.55,24,2024,2024-06-14T11:01:11+00:00,2024-06-14T11:01:11+00:00
57993,61711020006,16223948.59,25,2024,2024-06-19T19:44:37+00:00,2024-06-19T19:44:37+00:00
62150,61711020006,16223948.59,26,2024,2024-06-26T13:26:54+00:00,2024-06-26T13:26:54+00:00
66312,61711020006,14687348.47,27,2024,2024-07-05T19:32:15+00:00,2024-07-05T19:32:15+00:00
70490,61711020006,14687348.47,28,2024,2024-07-11T08:57:54+00:00,2024-07-11T08:57:54+00:00
74721,61711020006,13850999.54,29,2024,2024-07-21T13:30:13+00:00,2024-07-21T13:30:13+00:00
78987,61711020006,13850999.54,30,2024,2024-07-26T16:30:32+00:00,2024-07-26T16:30:32+00:00
83202,61711020006,14698424.09,32,2024,2024-08-07T20:20:45+00:00,2024-08-09T14:33:28+00:00
87519,61711020006,12231138.23,35,2024,2024-08-30T14:17:39+00:00,2024-08-30T14:17:39+00:00
91851,61711020006,9464878.32,37,2024,2024-09-11T14:24:28+00:00,2024-09-11T14:24:28+00:00
96170,61711020006,9464878.32,38,2024,2024-09-18T15:02:36+00:00,2024-09-18T15:02:36+00:00
100479,61711020006,9176661.30,39,2024,2024-09-25T12:13:58+00:00,2024-09-25T12:13:58+00:00
104741,61711020006,10448995.44,41,2024,2024-10-11T17:10:17+00:00,2024-10-11T17:10:17+00:00
109007,61711020006,9767460.82,44,2024,2024-11-03T16:47:38+00:00,2024-11-03T16:47:38+00:00
113231,61711020006,7915621.91,47,2024,2024-11-20T11:41:56+00:00,2024-11-20T11:41:56+00:00
117438,61711020006,7255948.62,50,2024,2024-12-11T16:52:50+00:00,2024-12-11T16:52:50+00:00
121701,61711020006,6334765.09,51,2024,2024-12-18T12:36:38+00:00,2024-12-18T12:36:38+00:00
125865,61711020006,6142860.74,1,2025,2025-01-01T20:14:08+00:00,2025-01-01T20:14:08+00:00
130105,61711020006,5497843.73,3,2025,2025-01-15T21:09:21+00:00,2025-01-15T21:09:21+00:00
134380,61711020006,5497843.73,6,2025,2025-02-04T20:26:47+00:00,2025-02-04T20:26:47+00:00
138828,61711020006,4192094.32,10,2025,2025-03-03T17:26:45+00:00,2025-03-03T17:26:45+00:00
143340,61711020006,5615205.61,11,2025,2025-03-12T11:05:55+00:00,2025-03-12T11:05:55+00:00
147844,61711020006,4984348.87,13,2025,2025-03-26T16:31:03+00:00,2025-03-26T16:31:03+00:00
152369,61711020006,4738849.46,15,2025,2025-04-09T13:39:40+00:00,2025-04-09T13:39:40+00:00
156871,61711020006,7260142.92,17,2025,2025-04-23T12:08:52+00:00,2025-04-23T12:08:52+00:00
161344,61711020006,12480798.83,19,2025,2025-05-07T13:08:01+00:00,2025-05-07T13:08:01+00:00
165856,61711020006,13877832.19,21,2025,2025-05-21T19:51:48+00:00,2025-05-21T19:51:48+00:00
170282,61711020006,17359304.76,23,2025,2025-06-04T11:23:12+00:00,2025-06-04T11:23:12+00:00
174780,61711020006,18880249.63,25,2025,2025-06-18T11:58:23+00:00,2025-06-18T11:58:23+00:00
179296,61711020006,18985602.04,26,2025,2025-06-25T17:29:50+00:00,2025-06-25T17:29:50+00:00
183753,61711020006,16550012.96,28,2025,2025-07-09T13:11:29+00:00,2025-07-09T13:11:29+00:00
188184,61711020006,15591893.22,30,2025,2025-07-23T20:42:25+00:00,2025-07-23T20:42:25+00:00
192588,61711020006,15591893.22,32,2025,2025-08-06T13:31:34+00:00,2025-08-06T13:31:34+00:00
192589,61711020006,16051528.95,36,2025,2025-09-02T09:20:56+00:00,2025-09-02T09:20:56+00:00
192590,61711020006,20503297.27,37,2025,2025-09-10T22:00:44+00:00,2025-09-10T22:00:44+00:00
192591,61711020006,19282138.66,39,2025,2025-09-24T16:20:03+00:00,2025-09-24T16:20:03+00:00
