id,item_id,price,week,year,date_created,date_updated
3021,61711030004,9853.05,11,2024,2024-03-17T14:20:02+00:00,2024-03-17T14:20:02+00:00
7752,61711030004,3695.92,13,2024,2024-03-25T15:25:18+00:00,2024-03-27T11:14:38+00:00
12125,61711030004,3695.92,14,2024,2024-04-03T10:46:27+00:00,2024-04-03T10:46:27+00:00
16333,61711030004,542.93,15,2024,2024-04-10T12:46:19+00:00,2024-04-10T12:46:19+00:00
20542,61711030004,542.93,16,2024,2024-04-17T11:29:39+00:00,2024-04-17T11:29:39+00:00
24717,61711030004,611.83,17,2024,2024-04-24T19:30:06+00:00,2024-04-24T19:30:06+00:00
28892,61711030004,611.83,18,2024,2024-05-01T10:43:55+00:00,2024-05-01T10:43:55+00:00
33018,61711030004,51367.22,19,2024,2024-05-08T18:05:15+00:00,2024-05-08T18:05:15+00:00
37158,61711030004,51367.22,20,2024,2024-05-15T18:21:55+00:00,2024-05-15T18:21:55+00:00
41331,61711030004,21570.04,21,2024,2024-05-22T14:13:50+00:00,2024-05-22T14:13:50+00:00
45487,61711030004,21570.04,22,2024,2024-05-30T22:18:08+00:00,2024-05-30T22:18:08+00:00
49667,61711030004,42793.56,23,2024,2024-06-06T20:48:22+00:00,2024-06-06T20:48:22+00:00
53835,61711030004,42793.56,24,2024,2024-06-14T11:01:11+00:00,2024-06-14T11:01:11+00:00
57995,61711030004,49582.74,25,2024,2024-06-19T19:44:37+00:00,2024-06-19T19:44:37+00:00
62152,61711030004,49582.74,26,2024,2024-06-26T13:26:55+00:00,2024-06-26T13:26:55+00:00
66314,61711030004,11952.95,27,2024,2024-07-05T19:32:15+00:00,2024-07-05T19:32:15+00:00
70492,61711030004,11952.95,28,2024,2024-07-11T08:57:54+00:00,2024-07-11T08:57:54+00:00
74723,61711030004,1220.03,29,2024,2024-07-21T13:30:13+00:00,2024-07-21T13:30:13+00:00
78989,61711030004,1220.03,30,2024,2024-07-26T16:30:32+00:00,2024-07-26T16:30:32+00:00
83204,61711030004,2174.15,32,2024,2024-08-07T20:20:45+00:00,2024-08-09T14:33:28+00:00
87521,61711030004,53742.90,35,2024,2024-08-30T14:17:39+00:00,2024-08-30T14:17:39+00:00
91853,61711030004,53131.78,37,2024,2024-09-11T14:24:28+00:00,2024-09-11T14:24:28+00:00
96172,61711030004,53131.78,38,2024,2024-09-18T15:02:36+00:00,2024-09-18T15:02:36+00:00
100481,61711030004,4704.51,39,2024,2024-09-25T12:13:59+00:00,2024-09-25T12:13:59+00:00
104743,61711030004,24610.68,41,2024,2024-10-11T17:10:17+00:00,2024-10-11T17:10:17+00:00
109009,61711030004,23367.94,44,2024,2024-11-03T16:47:38+00:00,2024-11-03T16:47:38+00:00
113233,61711030004,8523.32,47,2024,2024-11-20T11:41:56+00:00,2024-11-20T11:41:56+00:00
117440,61711030004,13656.05,50,2024,2024-12-11T16:52:51+00:00,2024-12-11T16:52:51+00:00
121703,61711030004,21525.76,51,2024,2024-12-18T12:36:38+00:00,2024-12-18T12:36:38+00:00
125867,61711030004,468684.91,1,2025,2025-01-01T20:14:08+00:00,2025-01-01T20:14:08+00:00
130107,61711030004,3413.71,3,2025,2025-01-15T21:09:22+00:00,2025-01-15T21:09:22+00:00
134382,61711030004,3413.71,6,2025,2025-02-04T20:26:48+00:00,2025-02-04T20:26:48+00:00
138830,61711030004,17031.01,10,2025,2025-03-03T17:26:45+00:00,2025-03-03T17:26:45+00:00
143343,61711030004,14491.72,11,2025,2025-03-12T11:05:55+00:00,2025-03-12T11:05:55+00:00
147846,61711030004,55720.66,13,2025,2025-03-26T16:31:03+00:00,2025-03-26T16:31:03+00:00
152371,61711030004,186902.25,15,2025,2025-04-09T13:39:40+00:00,2025-04-09T13:39:40+00:00
156873,61711030004,38695.65,17,2025,2025-04-23T12:08:52+00:00,2025-04-23T12:08:52+00:00
161346,61711030004,6360.02,19,2025,2025-05-07T13:08:01+00:00,2025-05-07T13:08:01+00:00
165858,61711030004,8023.19,21,2025,2025-05-21T19:51:48+00:00,2025-05-21T19:51:48+00:00
170284,61711030004,144966.08,23,2025,2025-06-04T11:23:12+00:00,2025-06-04T11:23:12+00:00
174782,61711030004,348573.56,25,2025,2025-06-18T11:58:23+00:00,2025-06-18T11:58:23+00:00
179298,61711030004,322506.76,26,2025,2025-06-25T17:29:50+00:00,2025-06-25T17:29:50+00:00
183755,61711030004,8827.16,28,2025,2025-07-09T13:11:30+00:00,2025-07-09T13:11:30+00:00
188186,61711030004,6022.28,30,2025,2025-07-23T20:42:26+00:00,2025-07-23T20:42:26+00:00
192590,61711030004,6022.28,32,2025,2025-08-06T13:31:35+00:00,2025-08-06T13:31:35+00:00
192591,61711030004,41786.54,36,2025,2025-09-02T09:20:56+00:00,2025-09-02T09:20:56+00:00
