id,item_id,price,week,year,date_created,date_updated
143436,61719210002,1750000.12,11,2025,2025-03-12T11:06:05+00:00,2025-03-12T11:06:05+00:00
147925,61719210002,560869.57,13,2025,2025-03-26T16:31:11+00:00,2025-03-26T16:31:11+00:00
165949,61719210002,1.00,21,2025,2025-05-21T19:51:57+00:00,2025-05-21T19:51:57+00:00
170375,61719210002,423812.97,23,2025,2025-06-04T11:23:21+00:00,2025-06-04T11:23:21+00:00
183830,61719210002,1.00,28,2025,2025-07-09T13:11:44+00:00,2025-07-09T13:11:44+00:00
188262,61719210002,2052.08,30,2025,2025-07-23T20:42:33+00:00,2025-07-23T20:42:33+00:00
192666,61719210002,2052.08,32,2025,2025-08-06T13:31:42+00:00,2025-08-06T13:31:42+00:00
192667,61719210002,77233.33,36,2025,2025-09-02T09:21:04+00:00,2025-09-02T09:21:04+00:00
192668,61719210002,122334.83,37,2025,2025-09-10T22:00:54+00:00,2025-09-10T22:00:54+00:00
192669,61719210002,86902.23,39,2025,2025-09-24T16:20:11+00:00,2025-09-24T16:20:11+00:00
