id,item_id,price,week,year,date_created,date_updated
2924,61700000006,119564.18,11,2024,2024-03-17T14:19:57+00:00,2024-03-17T14:19:57+00:00
7550,61700000006,120954.23,13,2024,2024-03-25T15:25:06+00:00,2024-03-27T11:14:27+00:00
11925,61700000006,120954.23,14,2024,2024-04-03T10:46:15+00:00,2024-04-03T10:46:15+00:00
16121,61700000006,323647.30,15,2024,2024-04-10T12:46:05+00:00,2024-04-10T12:46:05+00:00
20330,61700000006,323647.30,16,2024,2024-04-17T11:29:26+00:00,2024-04-17T11:29:26+00:00
24505,61700000006,580011.27,17,2024,2024-04-24T19:29:52+00:00,2024-04-24T19:29:52+00:00
28680,61700000006,580011.27,18,2024,2024-05-01T10:43:42+00:00,2024-05-01T10:43:42+00:00
32809,61700000006,492601.40,19,2024,2024-05-08T18:05:03+00:00,2024-05-08T18:05:03+00:00
36949,61700000006,492601.40,20,2024,2024-05-15T18:21:42+00:00,2024-05-15T18:21:42+00:00
41106,61700000006,184917.48,21,2024,2024-05-22T14:13:37+00:00,2024-05-22T14:13:37+00:00
45262,61700000006,184917.48,22,2024,2024-05-30T22:17:54+00:00,2024-05-30T22:17:54+00:00
49453,61700000006,276240.14,23,2024,2024-06-06T20:48:08+00:00,2024-06-06T20:48:08+00:00
53621,61700000006,276240.14,24,2024,2024-06-14T11:00:54+00:00,2024-06-14T11:00:54+00:00
57774,61700000006,192408.17,25,2024,2024-06-19T19:44:24+00:00,2024-06-19T19:44:24+00:00
61931,61700000006,192408.17,26,2024,2024-06-26T13:26:39+00:00,2024-06-26T13:26:39+00:00
66102,61700000006,101956.40,27,2024,2024-07-05T19:32:00+00:00,2024-07-05T19:32:00+00:00
70280,61700000006,101956.40,28,2024,2024-07-11T08:57:40+00:00,2024-07-11T08:57:40+00:00
74510,61700000006,449130.11,29,2024,2024-07-21T13:29:59+00:00,2024-07-21T13:29:59+00:00
78776,61700000006,449130.11,30,2024,2024-07-26T16:30:18+00:00,2024-07-26T16:30:18+00:00
82984,61700000006,689956.33,32,2024,2024-08-07T20:20:30+00:00,2024-08-09T14:33:12+00:00
87299,61700000006,680255.40,35,2024,2024-08-30T14:17:24+00:00,2024-08-30T14:17:24+00:00
91628,61700000006,106345.46,37,2024,2024-09-11T14:24:14+00:00,2024-09-11T14:24:14+00:00
95947,61700000006,106345.46,38,2024,2024-09-18T15:02:21+00:00,2024-09-18T15:02:21+00:00
100269,61700000006,521.00,39,2024,2024-09-25T12:13:44+00:00,2024-09-25T12:13:44+00:00
104531,61700000006,2550.22,41,2024,2024-10-11T17:09:50+00:00,2024-10-11T17:09:50+00:00
108800,61700000006,5665.61,44,2024,2024-11-03T16:47:19+00:00,2024-11-03T16:47:19+00:00
113013,61700000006,571445.97,47,2024,2024-11-20T11:41:36+00:00,2024-11-20T11:41:36+00:00
117224,61700000006,536323.27,50,2024,2024-12-11T16:52:29+00:00,2024-12-11T16:52:29+00:00
121493,61700000006,135459.60,51,2024,2024-12-18T12:36:18+00:00,2024-12-18T12:36:18+00:00
125664,61700000006,223386.59,1,2025,2025-01-01T20:13:50+00:00,2025-01-01T20:13:50+00:00
129892,61700000006,256221.51,3,2025,2025-01-15T21:08:56+00:00,2025-01-15T21:08:56+00:00
134167,61700000006,256221.51,6,2025,2025-02-04T20:25:58+00:00,2025-02-04T20:25:58+00:00
138609,61700000006,33938.96,10,2025,2025-03-03T17:26:24+00:00,2025-03-03T17:26:24+00:00
143110,61700000006,184067.60,11,2025,2025-03-12T11:05:32+00:00,2025-03-12T11:05:32+00:00
147624,61700000006,234230.50,13,2025,2025-03-26T16:30:43+00:00,2025-03-26T16:30:43+00:00
152142,61700000006,449955.20,15,2025,2025-04-09T13:39:14+00:00,2025-04-09T13:39:14+00:00
156655,61700000006,381691.25,17,2025,2025-04-23T12:08:33+00:00,2025-04-23T12:08:33+00:00
161123,61700000006,296994.32,19,2025,2025-05-07T13:07:40+00:00,2025-05-07T13:07:40+00:00
165632,61700000006,196376.80,21,2025,2025-05-21T19:51:27+00:00,2025-05-21T19:51:27+00:00
170065,61700000006,446342.31,23,2025,2025-06-04T11:22:50+00:00,2025-06-04T11:22:50+00:00
174570,61700000006,381583.63,25,2025,2025-06-18T11:58:04+00:00,2025-06-18T11:58:04+00:00
179106,61700000006,64125.18,26,2025,2025-06-25T17:29:33+00:00,2025-06-25T17:29:33+00:00
183543,61700000006,71654.71,28,2025,2025-07-09T13:10:48+00:00,2025-07-09T13:10:48+00:00
187980,61700000006,32823.30,30,2025,2025-07-23T20:42:07+00:00,2025-07-23T20:42:07+00:00
192384,61700000006,32823.30,32,2025,2025-08-06T13:31:15+00:00,2025-08-06T13:31:15+00:00
192385,61700000006,39394.62,36,2025,2025-09-02T09:20:37+00:00,2025-09-02T09:20:37+00:00
192386,61700000006,377281.50,37,2025,2025-09-10T22:00:19+00:00,2025-09-10T22:00:19+00:00
192387,61700000006,656167.48,39,2025,2025-09-24T16:19:45+00:00,2025-09-24T16:19:45+00:00
192388,61700000006,247674.00,43,2025,2025-10-22T17:36:01+00:00,2025-10-22T17:36:01+00:00
