id,item_id,price,week,year,date_created,date_updated
4137,11538000010,8000000.00,11,2024,2024-03-17T14:21:15+00:00,2024-03-17T14:21:15+00:00
5464,11538000010,6285714.29,13,2024,2024-03-25T15:23:37+00:00,2024-03-25T15:23:37+00:00
14057,11538000010,1999993.00,15,2024,2024-04-10T12:44:32+00:00,2024-04-10T12:44:32+00:00
18266,11538000010,1999993.00,16,2024,2024-04-17T11:27:53+00:00,2024-04-17T11:27:53+00:00
22469,11538000010,166757.75,17,2024,2024-04-24T19:28:23+00:00,2024-04-24T19:28:23+00:00
26644,11538000010,166757.75,18,2024,2024-05-01T10:42:16+00:00,2024-05-01T10:42:16+00:00
47403,11538000010,699000.00,23,2024,2024-06-06T20:46:35+00:00,2024-06-06T20:46:35+00:00
51571,11538000010,699000.00,24,2024,2024-06-14T10:59:16+00:00,2024-06-14T10:59:16+00:00
55745,11538000010,644357.14,25,2024,2024-06-19T19:42:53+00:00,2024-06-19T19:42:53+00:00
59902,11538000010,644357.14,26,2024,2024-06-26T13:24:59+00:00,2024-06-26T13:24:59+00:00
64074,11538000010,278771.39,27,2024,2024-07-05T19:30:24+00:00,2024-07-05T19:30:24+00:00
68252,11538000010,278771.39,28,2024,2024-07-11T08:56:06+00:00,2024-07-11T08:56:06+00:00
80947,11538000010,861666.00,32,2024,2024-08-07T20:18:50+00:00,2024-08-09T14:31:35+00:00
98191,11538000010,2000000.00,39,2024,2024-09-25T12:11:53+00:00,2024-09-25T12:11:53+00:00
106705,11538000010,50.00,44,2024,2024-11-03T16:44:57+00:00,2024-11-03T16:44:57+00:00
115202,11538000010,1012475.00,50,2024,2024-12-11T16:49:51+00:00,2024-12-11T16:49:51+00:00
127828,11538000010,154285.71,3,2025,2025-01-15T21:06:19+00:00,2025-01-15T21:06:19+00:00
132103,11538000010,154285.71,6,2025,2025-02-04T20:22:10+00:00,2025-02-04T20:22:10+00:00
136390,11538000010,294035.59,10,2025,2025-03-03T17:23:40+00:00,2025-03-03T17:23:40+00:00
140943,11538000010,256396.22,11,2025,2025-03-12T11:02:46+00:00,2025-03-12T11:02:46+00:00
149958,11538000010,450000.00,15,2025,2025-04-09T13:35:30+00:00,2025-04-09T13:35:30+00:00
154506,11538000010,400000.00,17,2025,2025-04-23T12:05:56+00:00,2025-04-23T12:05:56+00:00
172379,11538000010,550000.00,25,2025,2025-06-18T11:55:21+00:00,2025-06-18T11:55:21+00:00
176956,11538000010,390000.00,26,2025,2025-06-25T17:26:53+00:00,2025-06-25T17:26:53+00:00
176957,11538000010,290909.09,39,2025,2025-09-24T16:17:07+00:00,2025-09-24T16:17:07+00:00
