id,item_id,price,week,year,date_created,date_updated
2619,11514500010,1611501.45,11,2024,2024-03-17T14:19:41+00:00,2024-03-17T14:19:41+00:00
5367,11514500010,1662878.98,13,2024,2024-03-25T15:23:35+00:00,2024-03-27T11:13:06+00:00
9835,11514500010,1662878.98,14,2024,2024-04-03T10:44:47+00:00,2024-04-03T10:44:47+00:00
13957,11514500010,1825000.00,15,2024,2024-04-10T12:44:29+00:00,2024-04-10T12:44:29+00:00
18166,11514500010,1825000.00,16,2024,2024-04-17T11:27:51+00:00,2024-04-17T11:27:51+00:00
22371,11514500010,933496.50,17,2024,2024-04-24T19:28:20+00:00,2024-04-24T19:28:20+00:00
26546,11514500010,933496.50,18,2024,2024-05-01T10:42:13+00:00,2024-05-01T10:42:13+00:00
30720,11514500010,978571.43,19,2024,2024-05-08T18:03:35+00:00,2024-05-08T18:03:35+00:00
34860,11514500010,978571.43,20,2024,2024-05-15T18:20:16+00:00,2024-05-15T18:20:16+00:00
39003,11514500010,1397864.77,21,2024,2024-05-22T14:12:08+00:00,2024-05-22T14:12:08+00:00
43159,11514500010,1397864.77,22,2024,2024-05-30T22:16:19+00:00,2024-05-30T22:16:19+00:00
47303,11514500010,3227138.02,23,2024,2024-06-06T20:46:32+00:00,2024-06-06T20:46:32+00:00
51471,11514500010,3227138.02,24,2024,2024-06-14T10:59:13+00:00,2024-06-14T10:59:13+00:00
55644,11514500010,1439426.78,25,2024,2024-06-19T19:42:50+00:00,2024-06-19T19:42:50+00:00
59801,11514500010,1439426.78,26,2024,2024-06-26T13:24:56+00:00,2024-06-26T13:24:56+00:00
63970,11514500010,1026923.14,27,2024,2024-07-05T19:30:21+00:00,2024-07-05T19:30:21+00:00
68148,11514500010,1026923.14,28,2024,2024-07-11T08:56:02+00:00,2024-07-11T08:56:02+00:00
72334,11514500010,1077265.78,29,2024,2024-07-21T13:28:15+00:00,2024-07-21T13:28:15+00:00
76600,11514500010,1077265.78,30,2024,2024-07-26T16:28:33+00:00,2024-07-26T16:28:33+00:00
80851,11514500010,7102325.58,32,2024,2024-08-07T20:18:47+00:00,2024-08-09T14:31:32+00:00
85147,11514500010,2103448.28,35,2024,2024-08-30T14:15:41+00:00,2024-08-30T14:15:41+00:00
89434,11514500010,1105423.68,37,2024,2024-09-11T14:22:25+00:00,2024-09-11T14:22:25+00:00
93753,11514500010,1105423.68,38,2024,2024-09-18T15:00:31+00:00,2024-09-18T15:00:31+00:00
98086,11514500010,1556000.00,39,2024,2024-09-25T12:11:49+00:00,2024-09-25T12:11:49+00:00
102366,11514500010,1919285.31,41,2024,2024-10-11T17:06:09+00:00,2024-10-11T17:06:09+00:00
106605,11514500010,1423538.46,44,2024,2024-11-03T16:44:52+00:00,2024-11-03T16:44:52+00:00
110892,11514500010,1129281.77,47,2024,2024-11-20T11:39:04+00:00,2024-11-20T11:39:04+00:00
115102,11514500010,1248013.25,50,2024,2024-12-11T16:49:45+00:00,2024-12-11T16:49:45+00:00
119333,11514500010,1558376.26,51,2024,2024-12-18T12:33:27+00:00,2024-12-18T12:33:27+00:00
123542,11514500010,1517587.94,1,2025,2025-01-01T20:11:15+00:00,2025-01-01T20:11:15+00:00
127725,11514500010,1772754.49,3,2025,2025-01-15T21:06:14+00:00,2025-01-15T21:06:14+00:00
132000,11514500010,1772754.49,6,2025,2025-02-04T20:21:59+00:00,2025-02-04T20:21:59+00:00
136288,11514500010,1531409.34,10,2025,2025-03-03T17:23:35+00:00,2025-03-03T17:23:35+00:00
140835,11514500010,1114150.19,11,2025,2025-03-12T11:02:40+00:00,2025-03-12T11:02:40+00:00
145368,11514500010,932472.04,13,2025,2025-03-26T16:27:54+00:00,2025-03-26T16:27:54+00:00
149851,11514500010,1036384.44,15,2025,2025-04-09T13:35:21+00:00,2025-04-09T13:35:21+00:00
154395,11514500010,1045339.81,17,2025,2025-04-23T12:05:50+00:00,2025-04-23T12:05:50+00:00
158871,11514500010,1137609.33,19,2025,2025-05-07T13:04:56+00:00,2025-05-07T13:04:56+00:00
163351,11514500010,3534010.15,21,2025,2025-05-21T19:48:34+00:00,2025-05-21T19:48:34+00:00
167867,11514500010,3832487.31,23,2025,2025-06-04T11:19:54+00:00,2025-06-04T11:19:54+00:00
172271,11514500010,916867.18,25,2025,2025-06-18T11:55:14+00:00,2025-06-18T11:55:14+00:00
176849,11514500010,659469.64,26,2025,2025-06-25T17:26:46+00:00,2025-06-25T17:26:46+00:00
181306,11514500010,786616.97,28,2025,2025-07-09T13:04:54+00:00,2025-07-09T13:04:54+00:00
185745,11514500010,1072972.97,30,2025,2025-07-23T20:39:24+00:00,2025-07-23T20:39:24+00:00
190149,11514500010,1072972.97,32,2025,2025-08-06T13:27:51+00:00,2025-08-06T13:27:51+00:00
