id,item_id,price,week,year,date_created,date_updated
3659,11004510028,548787878.40,11,2024,2024-03-17T14:20:41+00:00,2024-03-17T14:20:41+00:00
13297,11004510028,350000000.00,15,2024,2024-04-10T12:44:15+00:00,2024-04-10T12:44:15+00:00
17506,11004510028,350000000.00,16,2024,2024-04-17T11:27:37+00:00,2024-04-17T11:27:37+00:00
21714,11004510028,378571428.57,17,2024,2024-04-24T19:28:06+00:00,2024-04-24T19:28:06+00:00
25889,11004510028,378571428.57,18,2024,2024-05-01T10:41:59+00:00,2024-05-01T10:41:59+00:00
38344,11004510028,200666666.00,21,2024,2024-05-22T14:11:53+00:00,2024-05-22T14:11:53+00:00
42500,11004510028,200666666.00,22,2024,2024-05-30T22:16:05+00:00,2024-05-30T22:16:05+00:00
54992,11004510028,176175000.00,25,2024,2024-06-19T19:42:36+00:00,2024-06-19T19:42:36+00:00
59149,11004510028,176175000.00,26,2024,2024-06-26T13:24:41+00:00,2024-06-26T13:24:41+00:00
71663,11004510028,176000000.00,29,2024,2024-07-21T13:27:59+00:00,2024-07-21T13:27:59+00:00
75929,11004510028,176000000.00,30,2024,2024-07-26T16:28:15+00:00,2024-07-26T16:28:15+00:00
101698,11004510028,100000000.00,41,2024,2024-10-11T17:05:36+00:00,2024-10-11T17:05:36+00:00
105943,11004510028,141666665.83,44,2024,2024-11-03T16:44:23+00:00,2024-11-03T16:44:23+00:00
110226,11004510028,169000000.00,47,2024,2024-11-20T11:38:05+00:00,2024-11-20T11:38:05+00:00
114434,11004510028,206555555.11,50,2024,2024-12-11T16:49:13+00:00,2024-12-11T16:49:13+00:00
118658,11004510028,253333333.00,51,2024,2024-12-18T12:32:56+00:00,2024-12-18T12:32:56+00:00
122869,11004510028,266666666.67,1,2025,2025-01-01T20:10:34+00:00,2025-01-01T20:10:34+00:00
127052,11004510028,306000000.00,3,2025,2025-01-15T21:05:40+00:00,2025-01-15T21:05:40+00:00
131327,11004510028,306000000.00,6,2025,2025-02-04T20:21:02+00:00,2025-02-04T20:21:02+00:00
135605,11004510028,303666666.40,10,2025,2025-03-03T17:23:02+00:00,2025-03-03T17:23:02+00:00
140117,11004510028,448124999.31,11,2025,2025-03-12T11:02:05+00:00,2025-03-12T11:02:05+00:00
149120,11004510028,567037329.00,15,2025,2025-04-09T13:34:14+00:00,2025-04-09T13:34:14+00:00
153668,11004510028,340354797.40,17,2025,2025-04-23T12:05:14+00:00,2025-04-23T12:05:14+00:00
158133,11004510028,443166698.70,19,2025,2025-05-07T13:04:17+00:00,2025-05-07T13:04:17+00:00
162615,11004510028,107711164.50,21,2025,2025-05-21T19:47:57+00:00,2025-05-21T19:47:57+00:00
167128,11004510028,178866593.50,23,2025,2025-06-04T11:19:16+00:00,2025-06-04T11:19:16+00:00
180553,11004510028,250000000.00,28,2025,2025-07-09T13:03:45+00:00,2025-07-09T13:03:45+00:00
184994,11004510028,357666529.41,30,2025,2025-07-23T20:38:47+00:00,2025-07-23T20:38:47+00:00
189398,11004510028,357666529.41,32,2025,2025-08-06T13:25:30+00:00,2025-08-06T13:25:30+00:00
189399,11004510028,252200000.00,36,2025,2025-09-02T09:16:55+00:00,2025-09-02T09:16:55+00:00
189400,11004510028,355999999.40,37,2025,2025-09-10T21:54:53+00:00,2025-09-10T21:54:53+00:00
