id,item_id,price,week,year,date_created,date_updated
1705,11704020006,31188744.27,11,2024,2024-03-17T14:19:04+00:00,2024-03-17T14:19:04+00:00
5569,11704020006,29306540.93,13,2024,2024-03-25T15:23:40+00:00,2024-03-27T11:13:11+00:00
10037,11704020006,29306540.93,14,2024,2024-04-03T10:44:52+00:00,2024-04-03T10:44:52+00:00
14164,11704020006,26556914.85,15,2024,2024-04-10T12:44:35+00:00,2024-04-10T12:44:35+00:00
18373,11704020006,26556914.85,16,2024,2024-04-17T11:27:56+00:00,2024-04-17T11:27:56+00:00
22573,11704020006,27935212.17,17,2024,2024-04-24T19:28:26+00:00,2024-04-24T19:28:26+00:00
26748,11704020006,27935212.17,18,2024,2024-05-01T10:42:19+00:00,2024-05-01T10:42:19+00:00
30921,11704020006,27255318.77,19,2024,2024-05-08T18:03:40+00:00,2024-05-08T18:03:40+00:00
35061,11704020006,27255318.77,20,2024,2024-05-15T18:20:22+00:00,2024-05-15T18:20:22+00:00
39202,11704020006,26994254.33,21,2024,2024-05-22T14:12:14+00:00,2024-05-22T14:12:14+00:00
43358,11704020006,26994254.33,22,2024,2024-05-30T22:16:25+00:00,2024-05-30T22:16:25+00:00
47508,11704020006,28838930.86,23,2024,2024-06-06T20:46:38+00:00,2024-06-06T20:46:38+00:00
51676,11704020006,28838930.86,24,2024,2024-06-14T10:59:20+00:00,2024-06-14T10:59:20+00:00
55849,11704020006,26973701.80,25,2024,2024-06-19T19:42:56+00:00,2024-06-19T19:42:56+00:00
60006,11704020006,26973701.80,26,2024,2024-06-26T13:25:03+00:00,2024-06-26T13:25:03+00:00
64179,11704020006,27263208.91,27,2024,2024-07-05T19:30:27+00:00,2024-07-05T19:30:27+00:00
68357,11704020006,27263208.91,28,2024,2024-07-11T08:56:09+00:00,2024-07-11T08:56:09+00:00
72541,11704020006,29954976.95,29,2024,2024-07-21T13:28:22+00:00,2024-07-21T13:28:22+00:00
76807,11704020006,29954976.95,30,2024,2024-07-26T16:28:40+00:00,2024-07-26T16:28:40+00:00
81054,11704020006,30184093.31,32,2024,2024-08-07T20:18:54+00:00,2024-08-09T14:31:38+00:00
85354,11704020006,31198762.70,35,2024,2024-08-30T14:15:48+00:00,2024-08-30T14:15:48+00:00
89640,11704020006,32335550.19,37,2024,2024-09-11T14:22:33+00:00,2024-09-11T14:22:33+00:00
93959,11704020006,32335550.19,38,2024,2024-09-18T15:00:38+00:00,2024-09-18T15:00:38+00:00
98301,11704020006,28004267.19,39,2024,2024-09-25T12:11:57+00:00,2024-09-25T12:11:57+00:00
102580,11704020006,23368119.50,41,2024,2024-10-11T17:06:21+00:00,2024-10-11T17:06:21+00:00
106817,11704020006,26493855.61,44,2024,2024-11-03T16:45:03+00:00,2024-11-03T16:45:03+00:00
111107,11704020006,36279208.66,47,2024,2024-11-20T11:39:15+00:00,2024-11-20T11:39:15+00:00
115316,11704020006,27352861.38,50,2024,2024-12-11T16:49:58+00:00,2024-12-11T16:49:58+00:00
119548,11704020006,29388332.96,51,2024,2024-12-18T12:33:39+00:00,2024-12-18T12:33:39+00:00
123757,11704020006,29250846.41,1,2025,2025-01-01T20:11:27+00:00,2025-01-01T20:11:27+00:00
127941,11704020006,26348220.77,3,2025,2025-01-15T21:06:27+00:00,2025-01-15T21:06:27+00:00
132216,11704020006,26348220.77,6,2025,2025-02-04T20:22:21+00:00,2025-02-04T20:22:21+00:00
136506,11704020006,23668931.98,10,2025,2025-03-03T17:23:46+00:00,2025-03-03T17:23:46+00:00
141059,11704020006,20605566.43,11,2025,2025-03-12T11:02:53+00:00,2025-03-12T11:02:53+00:00
145590,11704020006,19578879.37,13,2025,2025-03-26T16:28:07+00:00,2025-03-26T16:28:07+00:00
150075,11704020006,20033723.28,15,2025,2025-04-09T13:35:40+00:00,2025-04-09T13:35:40+00:00
154619,11704020006,29899699.15,17,2025,2025-04-23T12:06:03+00:00,2025-04-23T12:06:03+00:00
159093,11704020006,28094636.61,19,2025,2025-05-07T13:05:10+00:00,2025-05-07T13:05:10+00:00
163569,11704020006,33144338.30,21,2025,2025-05-21T19:48:48+00:00,2025-05-21T19:48:48+00:00
168092,11704020006,37195544.55,23,2025,2025-06-04T11:20:12+00:00,2025-06-04T11:20:12+00:00
172498,11704020006,37167524.57,25,2025,2025-06-18T11:55:28+00:00,2025-06-18T11:55:28+00:00
177063,11704020006,37846741.06,26,2025,2025-06-25T17:26:59+00:00,2025-06-25T17:26:59+00:00
181525,11704020006,36124217.16,28,2025,2025-07-09T13:05:18+00:00,2025-07-09T13:05:18+00:00
185963,11704020006,35343075.02,30,2025,2025-07-23T20:39:36+00:00,2025-07-23T20:39:36+00:00
190367,11704020006,35343075.02,32,2025,2025-08-06T13:28:33+00:00,2025-08-06T13:28:33+00:00
190368,11704020006,31454588.31,36,2025,2025-09-02T09:17:50+00:00,2025-09-02T09:17:50+00:00
190369,11704020006,34341149.77,37,2025,2025-09-10T21:56:21+00:00,2025-09-10T21:56:21+00:00
