id,item_id,price,week,year,date_created,date_updated
3042,11309300013,2423170.48,11,2024,2024-03-17T14:20:03+00:00,2024-03-17T14:20:03+00:00
5139,11309300013,2466981.45,13,2024,2024-03-25T15:23:30+00:00,2024-03-27T11:13:01+00:00
9609,11309300013,2466981.45,14,2024,2024-04-03T10:44:42+00:00,2024-04-03T10:44:42+00:00
13732,11309300013,2496502.95,15,2024,2024-04-10T12:44:24+00:00,2024-04-10T12:44:24+00:00
17941,11309300013,2496502.95,16,2024,2024-04-17T11:27:45+00:00,2024-04-17T11:27:45+00:00
22147,11309300013,2169887.02,17,2024,2024-04-24T19:28:14+00:00,2024-04-24T19:28:14+00:00
26322,11309300013,2169887.02,18,2024,2024-05-01T10:42:08+00:00,2024-05-01T10:42:08+00:00
30491,11309300013,1907806.31,19,2024,2024-05-08T18:03:29+00:00,2024-05-08T18:03:29+00:00
34631,11309300013,1907806.31,20,2024,2024-05-15T18:20:10+00:00,2024-05-15T18:20:10+00:00
38777,11309300013,1999999.62,21,2024,2024-05-22T14:12:02+00:00,2024-05-22T14:12:02+00:00
42933,11309300013,1999999.62,22,2024,2024-05-30T22:16:14+00:00,2024-05-30T22:16:14+00:00
47078,11309300013,1723093.66,23,2024,2024-06-06T20:46:27+00:00,2024-06-06T20:46:27+00:00
51246,11309300013,1723093.66,24,2024,2024-06-14T10:59:07+00:00,2024-06-14T10:59:07+00:00
55419,11309300013,1847030.31,25,2024,2024-06-19T19:42:45+00:00,2024-06-19T19:42:45+00:00
59576,11309300013,1847030.31,26,2024,2024-06-26T13:24:50+00:00,2024-06-26T13:24:50+00:00
63743,11309300013,2172757.41,27,2024,2024-07-05T19:30:15+00:00,2024-07-05T19:30:15+00:00
67921,11309300013,2172757.41,28,2024,2024-07-11T08:55:56+00:00,2024-07-11T08:55:56+00:00
72105,11309300013,1601513.17,29,2024,2024-07-21T13:28:09+00:00,2024-07-21T13:28:09+00:00
76371,11309300013,1601513.17,30,2024,2024-07-26T16:28:26+00:00,2024-07-26T16:28:26+00:00
80627,11309300013,3558156.32,32,2024,2024-08-07T20:18:40+00:00,2024-08-09T14:31:26+00:00
84919,11309300013,3899716.16,35,2024,2024-08-30T14:15:34+00:00,2024-08-30T14:15:34+00:00
89207,11309300013,3084141.61,37,2024,2024-09-11T14:22:16+00:00,2024-09-11T14:22:16+00:00
93526,11309300013,3084141.61,38,2024,2024-09-18T15:00:24+00:00,2024-09-18T15:00:24+00:00
97856,11309300013,2427840.55,39,2024,2024-09-25T12:11:40+00:00,2024-09-25T12:11:40+00:00
102143,11309300013,2196428.57,41,2024,2024-10-11T17:05:58+00:00,2024-10-11T17:05:58+00:00
106378,11309300013,2652423.19,44,2024,2024-11-03T16:44:41+00:00,2024-11-03T16:44:41+00:00
110669,11309300013,2893252.09,47,2024,2024-11-20T11:38:43+00:00,2024-11-20T11:38:43+00:00
114872,11309300013,2722096.42,50,2024,2024-12-11T16:49:33+00:00,2024-12-11T16:49:33+00:00
119106,11309300013,2022371.03,51,2024,2024-12-18T12:33:16+00:00,2024-12-18T12:33:16+00:00
123313,11309300013,2203543.54,1,2025,2025-01-01T20:11:02+00:00,2025-01-01T20:11:02+00:00
127493,11309300013,2146825.74,3,2025,2025-01-15T21:06:01+00:00,2025-01-15T21:06:01+00:00
131768,11309300013,2146825.74,6,2025,2025-02-04T20:21:39+00:00,2025-02-04T20:21:39+00:00
136055,11309300013,1759478.56,10,2025,2025-03-03T17:23:22+00:00,2025-03-03T17:23:22+00:00
140587,11309300013,2434023.22,11,2025,2025-03-12T11:02:27+00:00,2025-03-12T11:02:27+00:00
145114,11309300013,2379740.90,13,2025,2025-03-26T16:27:41+00:00,2025-03-26T16:27:41+00:00
149595,11309300013,1765570.62,15,2025,2025-04-09T13:34:58+00:00,2025-04-09T13:34:58+00:00
154143,11309300013,1080409.64,17,2025,2025-04-23T12:05:38+00:00,2025-04-23T12:05:38+00:00
158620,11309300013,1572961.13,19,2025,2025-05-07T13:04:43+00:00,2025-05-07T13:04:43+00:00
163099,11309300013,1238144.33,21,2025,2025-05-21T19:48:21+00:00,2025-05-21T19:48:21+00:00
167612,11309300013,2721681.12,23,2025,2025-06-04T11:19:39+00:00,2025-06-04T11:19:39+00:00
172014,11309300013,1809284.75,25,2025,2025-06-18T11:54:58+00:00,2025-06-18T11:54:58+00:00
176593,11309300013,2540119.84,26,2025,2025-06-25T17:26:33+00:00,2025-06-25T17:26:33+00:00
181043,11309300013,3894162.81,28,2025,2025-07-09T13:04:29+00:00,2025-07-09T13:04:29+00:00
185490,11309300013,2647787.11,30,2025,2025-07-23T20:39:10+00:00,2025-07-23T20:39:10+00:00
189894,11309300013,2647787.11,32,2025,2025-08-06T13:27:03+00:00,2025-08-06T13:27:03+00:00
189895,11309300013,3046000.00,36,2025,2025-09-02T09:17:21+00:00,2025-09-02T09:17:21+00:00
189896,11309300013,4636615.20,37,2025,2025-09-10T21:55:37+00:00,2025-09-10T21:55:37+00:00
