id,item_id,price,week,year,date_created,date_updated
1019,11705010002,1921999.00,11,2024,2024-03-17T14:18:45+00:00,2024-03-17T14:18:45+00:00
5579,11705010002,2873938.50,13,2024,2024-03-25T15:23:40+00:00,2024-03-27T11:13:12+00:00
10047,11705010002,2873938.50,14,2024,2024-04-03T10:44:53+00:00,2024-04-03T10:44:53+00:00
14174,11705010002,7646464.00,15,2024,2024-04-10T12:44:35+00:00,2024-04-10T12:44:35+00:00
18383,11705010002,7646464.00,16,2024,2024-04-17T11:27:57+00:00,2024-04-17T11:27:57+00:00
22583,11705010002,3100000.00,17,2024,2024-04-24T19:28:26+00:00,2024-04-24T19:28:26+00:00
26758,11705010002,3100000.00,18,2024,2024-05-01T10:42:19+00:00,2024-05-01T10:42:19+00:00
30933,11705010002,2991341.71,19,2024,2024-05-08T18:03:41+00:00,2024-05-08T18:03:41+00:00
35073,11705010002,2991341.71,20,2024,2024-05-15T18:20:22+00:00,2024-05-15T18:20:22+00:00
47518,11705010002,3323529.41,23,2024,2024-06-06T20:46:39+00:00,2024-06-06T20:46:39+00:00
51686,11705010002,3323529.41,24,2024,2024-06-14T10:59:20+00:00,2024-06-14T10:59:20+00:00
55858,11705010002,3555555.56,25,2024,2024-06-19T19:42:57+00:00,2024-06-19T19:42:57+00:00
60015,11705010002,3555555.56,26,2024,2024-06-26T13:25:03+00:00,2024-06-26T13:25:03+00:00
64188,11705010002,2775000.00,27,2024,2024-07-05T19:30:28+00:00,2024-07-05T19:30:28+00:00
68366,11705010002,2775000.00,28,2024,2024-07-11T08:56:09+00:00,2024-07-11T08:56:09+00:00
85364,11705010002,5999999.20,35,2024,2024-08-30T14:15:48+00:00,2024-08-30T14:15:48+00:00
98313,11705010002,4999999.00,39,2024,2024-09-25T12:11:57+00:00,2024-09-25T12:11:57+00:00
106827,11705010002,333666.67,44,2024,2024-11-03T16:45:03+00:00,2024-11-03T16:45:03+00:00
127950,11705010002,1166666.67,3,2025,2025-01-15T21:06:27+00:00,2025-01-15T21:06:27+00:00
132225,11705010002,1166666.67,6,2025,2025-02-04T20:22:22+00:00,2025-02-04T20:22:22+00:00
136517,11705010002,6250000.38,10,2025,2025-03-03T17:23:47+00:00,2025-03-03T17:23:47+00:00
150086,11705010002,1750000.00,15,2025,2025-04-09T13:35:41+00:00,2025-04-09T13:35:41+00:00
