id,item_id,price,week,year,date_created,date_updated
2838,11705030006,38482758.62,11,2024,2024-03-17T14:19:52+00:00,2024-03-17T14:19:52+00:00
5586,11705030006,49999999.59,13,2024,2024-03-25T15:23:40+00:00,2024-03-27T11:13:12+00:00
10053,11705030006,49999999.59,14,2024,2024-04-03T10:44:53+00:00,2024-04-03T10:44:53+00:00
14182,11705030006,46973332.60,15,2024,2024-04-10T12:44:36+00:00,2024-04-10T12:44:36+00:00
18391,11705030006,46973332.60,16,2024,2024-04-17T11:27:57+00:00,2024-04-17T11:27:57+00:00
22590,11705030006,54730158.48,17,2024,2024-04-24T19:28:26+00:00,2024-04-24T19:28:26+00:00
26765,11705030006,54730158.48,18,2024,2024-05-01T10:42:19+00:00,2024-05-01T10:42:19+00:00
30938,11705030006,70600000.00,19,2024,2024-05-08T18:03:41+00:00,2024-05-08T18:03:41+00:00
35078,11705030006,70600000.00,20,2024,2024-05-15T18:20:23+00:00,2024-05-15T18:20:23+00:00
39218,11705030006,69374999.61,21,2024,2024-05-22T14:12:14+00:00,2024-05-22T14:12:14+00:00
43374,11705030006,69374999.61,22,2024,2024-05-30T22:16:26+00:00,2024-05-30T22:16:26+00:00
47525,11705030006,69400000.00,23,2024,2024-06-06T20:46:39+00:00,2024-06-06T20:46:39+00:00
51693,11705030006,69400000.00,24,2024,2024-06-14T10:59:20+00:00,2024-06-14T10:59:20+00:00
55864,11705030006,68461538.46,25,2024,2024-06-19T19:42:57+00:00,2024-06-19T19:42:57+00:00
60021,11705030006,68461538.46,26,2024,2024-06-26T13:25:03+00:00,2024-06-26T13:25:03+00:00
64194,11705030006,32954545.45,27,2024,2024-07-05T19:30:28+00:00,2024-07-05T19:30:28+00:00
68372,11705030006,32954545.45,28,2024,2024-07-11T08:56:09+00:00,2024-07-11T08:56:09+00:00
72555,11705030006,68571428.00,29,2024,2024-07-21T13:28:23+00:00,2024-07-21T13:28:23+00:00
76821,11705030006,68571428.00,30,2024,2024-07-26T16:28:40+00:00,2024-07-26T16:28:40+00:00
81070,11705030006,71359887.11,32,2024,2024-08-07T20:18:54+00:00,2024-08-09T14:31:39+00:00
85370,11705030006,83148144.22,35,2024,2024-08-30T14:15:48+00:00,2024-08-30T14:15:48+00:00
89654,11705030006,109083328.00,37,2024,2024-09-11T14:22:33+00:00,2024-09-11T14:22:33+00:00
93973,11705030006,109083328.00,38,2024,2024-09-18T15:00:38+00:00,2024-09-18T15:00:38+00:00
98320,11705030006,118768115.13,39,2024,2024-09-25T12:11:58+00:00,2024-09-25T12:11:58+00:00
102594,11705030006,114131686.81,41,2024,2024-10-11T17:06:22+00:00,2024-10-11T17:06:22+00:00
106834,11705030006,114095238.10,44,2024,2024-11-03T16:45:04+00:00,2024-11-03T16:45:04+00:00
111122,11705030006,138157894.74,47,2024,2024-11-20T11:39:16+00:00,2024-11-20T11:39:16+00:00
115328,11705030006,106566666.67,50,2024,2024-12-11T16:49:59+00:00,2024-12-11T16:49:59+00:00
119562,11705030006,41837499.88,51,2024,2024-12-18T12:33:40+00:00,2024-12-18T12:33:40+00:00
123772,11705030006,69292132.80,1,2025,2025-01-01T20:11:28+00:00,2025-01-01T20:11:28+00:00
127956,11705030006,95522851.35,3,2025,2025-01-15T21:06:28+00:00,2025-01-15T21:06:28+00:00
132231,11705030006,95522851.35,6,2025,2025-02-04T20:22:22+00:00,2025-02-04T20:22:22+00:00
136523,11705030006,52788176.21,10,2025,2025-03-03T17:23:47+00:00,2025-03-03T17:23:47+00:00
141076,11705030006,53151690.09,11,2025,2025-03-12T11:02:54+00:00,2025-03-12T11:02:54+00:00
145606,11705030006,77733332.93,13,2025,2025-03-26T16:28:08+00:00,2025-03-26T16:28:08+00:00
150093,11705030006,84129629.00,15,2025,2025-04-09T13:35:42+00:00,2025-04-09T13:35:42+00:00
154632,11705030006,132083332.92,17,2025,2025-04-23T12:06:04+00:00,2025-04-23T12:06:04+00:00
159106,11705030006,126956521.52,19,2025,2025-05-07T13:05:11+00:00,2025-05-07T13:05:11+00:00
163585,11705030006,126666666.67,21,2025,2025-05-21T19:48:49+00:00,2025-05-21T19:48:49+00:00
168109,11705030006,117058822.65,23,2025,2025-06-04T11:20:13+00:00,2025-06-04T11:20:13+00:00
172513,11705030006,122857142.86,25,2025,2025-06-18T11:55:29+00:00,2025-06-18T11:55:29+00:00
177079,11705030006,81250000.00,26,2025,2025-06-25T17:27:00+00:00,2025-06-25T17:27:00+00:00
181541,11705030006,112105262.84,28,2025,2025-07-09T13:05:19+00:00,2025-07-09T13:05:19+00:00
185982,11705030006,158564285.71,30,2025,2025-07-23T20:39:37+00:00,2025-07-23T20:39:37+00:00
190386,11705030006,158564285.71,32,2025,2025-08-06T13:28:37+00:00,2025-08-06T13:28:37+00:00
190387,11705030006,126666666.67,36,2025,2025-09-02T09:17:51+00:00,2025-09-02T09:17:51+00:00
190388,11705030006,208582830.08,37,2025,2025-09-10T21:56:22+00:00,2025-09-10T21:56:22+00:00
