id,item_id,price,week,year,date_created,date_updated
3908,11334000021,36155913.98,11,2024,2024-03-17T14:20:57+00:00,2024-03-17T14:20:57+00:00
5205,11334000021,38524861.62,13,2024,2024-03-25T15:23:31+00:00,2024-03-27T11:13:02+00:00
9672,11334000021,38524861.62,14,2024,2024-04-03T10:44:43+00:00,2024-04-03T10:44:43+00:00
13796,11334000021,30559943.18,15,2024,2024-04-10T12:44:25+00:00,2024-04-10T12:44:25+00:00
18005,11334000021,30559943.18,16,2024,2024-04-17T11:27:47+00:00,2024-04-17T11:27:47+00:00
22211,11334000021,25160909.09,17,2024,2024-04-24T19:28:16+00:00,2024-04-24T19:28:16+00:00
26386,11334000021,25160909.09,18,2024,2024-05-01T10:42:10+00:00,2024-05-01T10:42:10+00:00
30557,11334000021,32297296.86,19,2024,2024-05-08T18:03:31+00:00,2024-05-08T18:03:31+00:00
34697,11334000021,32297296.86,20,2024,2024-05-15T18:20:12+00:00,2024-05-15T18:20:12+00:00
38841,11334000021,37694560.27,21,2024,2024-05-22T14:12:04+00:00,2024-05-22T14:12:04+00:00
42997,11334000021,37694560.27,22,2024,2024-05-30T22:16:15+00:00,2024-05-30T22:16:15+00:00
47142,11334000021,61217171.72,23,2024,2024-06-06T20:46:28+00:00,2024-06-06T20:46:28+00:00
51310,11334000021,61217171.72,24,2024,2024-06-14T10:59:09+00:00,2024-06-14T10:59:09+00:00
55482,11334000021,96130498.52,25,2024,2024-06-19T19:42:46+00:00,2024-06-19T19:42:46+00:00
59639,11334000021,96130498.52,26,2024,2024-06-26T13:24:52+00:00,2024-06-26T13:24:52+00:00
63807,11334000021,93887850.47,27,2024,2024-07-05T19:30:17+00:00,2024-07-05T19:30:17+00:00
67985,11334000021,93887850.47,28,2024,2024-07-11T08:55:57+00:00,2024-07-11T08:55:57+00:00
72169,11334000021,81512156.10,29,2024,2024-07-21T13:28:10+00:00,2024-07-21T13:28:10+00:00
76435,11334000021,81512156.10,30,2024,2024-07-26T16:28:28+00:00,2024-07-26T16:28:28+00:00
80691,11334000021,102657497.42,32,2024,2024-08-07T20:18:42+00:00,2024-08-09T14:31:28+00:00
84983,11334000021,121530733.94,35,2024,2024-08-30T14:15:36+00:00,2024-08-30T14:15:36+00:00
89272,11334000021,136804254.90,37,2024,2024-09-11T14:22:18+00:00,2024-09-11T14:22:18+00:00
93591,11334000021,136804254.90,38,2024,2024-09-18T15:00:26+00:00,2024-09-18T15:00:26+00:00
97922,11334000021,176999999.68,39,2024,2024-09-25T12:11:43+00:00,2024-09-25T12:11:43+00:00
102208,11334000021,141394958.26,41,2024,2024-10-11T17:06:01+00:00,2024-10-11T17:06:01+00:00
106443,11334000021,78724757.00,44,2024,2024-11-03T16:44:45+00:00,2024-11-03T16:44:45+00:00
110734,11334000021,102791907.00,47,2024,2024-11-20T11:38:49+00:00,2024-11-20T11:38:49+00:00
114936,11334000021,147370370.10,50,2024,2024-12-11T16:49:37+00:00,2024-12-11T16:49:37+00:00
119169,11334000021,108788659.79,51,2024,2024-12-18T12:33:18+00:00,2024-12-18T12:33:18+00:00
123379,11334000021,109411880.85,1,2025,2025-01-01T20:11:06+00:00,2025-01-01T20:11:06+00:00
127559,11334000021,98492646.72,3,2025,2025-01-15T21:06:04+00:00,2025-01-15T21:06:04+00:00
131834,11334000021,98492646.72,6,2025,2025-02-04T20:21:44+00:00,2025-02-04T20:21:44+00:00
136121,11334000021,97412396.33,10,2025,2025-03-03T17:23:26+00:00,2025-03-03T17:23:26+00:00
140659,11334000021,110838502.67,11,2025,2025-03-12T11:02:31+00:00,2025-03-12T11:02:31+00:00
145186,11334000021,94608938.55,13,2025,2025-03-26T16:27:45+00:00,2025-03-26T16:27:45+00:00
149669,11334000021,108901734.10,15,2025,2025-04-09T13:35:06+00:00,2025-04-09T13:35:06+00:00
154216,11334000021,74355371.90,17,2025,2025-04-23T12:05:41+00:00,2025-04-23T12:05:41+00:00
158693,11334000021,74144104.80,19,2025,2025-05-07T13:04:47+00:00,2025-05-07T13:04:47+00:00
163172,11334000021,94022346.37,21,2025,2025-05-21T19:48:24+00:00,2025-05-21T19:48:24+00:00
167686,11334000021,89905175.95,23,2025,2025-06-04T11:19:43+00:00,2025-06-04T11:19:43+00:00
172087,11334000021,80852126.02,25,2025,2025-06-18T11:55:02+00:00,2025-06-18T11:55:02+00:00
176665,11334000021,79468421.05,26,2025,2025-06-25T17:26:36+00:00,2025-06-25T17:26:36+00:00
181116,11334000021,66150837.99,28,2025,2025-07-09T13:04:36+00:00,2025-07-09T13:04:36+00:00
185561,11334000021,66919075.14,30,2025,2025-07-23T20:39:14+00:00,2025-07-23T20:39:14+00:00
189965,11334000021,66919075.14,32,2025,2025-08-06T13:27:17+00:00,2025-08-06T13:27:17+00:00
189966,11334000021,55110497.24,36,2025,2025-09-02T09:17:25+00:00,2025-09-02T09:17:25+00:00
189967,11334000021,83065614.49,37,2025,2025-09-10T21:55:43+00:00,2025-09-10T21:55:43+00:00
