id,item_id,price,week,year,date_created,date_updated
80,11506000002,9133.45,11,2024,2024-03-17T13:13:31+00:00,2024-03-17T14:18:30+00:00
5291,11506000002,8746.88,13,2024,2024-03-25T15:23:33+00:00,2024-03-27T11:13:04+00:00
9760,11506000002,8746.88,14,2024,2024-04-03T10:44:45+00:00,2024-04-03T10:44:45+00:00
13883,11506000002,7209.91,15,2024,2024-04-10T12:44:28+00:00,2024-04-10T12:44:28+00:00
18092,11506000002,7209.91,16,2024,2024-04-17T11:27:49+00:00,2024-04-17T11:27:49+00:00
22297,11506000002,4676.26,17,2024,2024-04-24T19:28:18+00:00,2024-04-24T19:28:18+00:00
26472,11506000002,4676.26,18,2024,2024-05-01T10:42:12+00:00,2024-05-01T10:42:12+00:00
30645,11506000002,2906.25,19,2024,2024-05-08T18:03:33+00:00,2024-05-08T18:03:33+00:00
34785,11506000002,2906.25,20,2024,2024-05-15T18:20:14+00:00,2024-05-15T18:20:14+00:00
38928,11506000002,3606.36,21,2024,2024-05-22T14:12:06+00:00,2024-05-22T14:12:06+00:00
43084,11506000002,3606.36,22,2024,2024-05-30T22:16:17+00:00,2024-05-30T22:16:17+00:00
47229,11506000002,7000.00,23,2024,2024-06-06T20:46:31+00:00,2024-06-06T20:46:31+00:00
51397,11506000002,7000.00,24,2024,2024-06-14T10:59:11+00:00,2024-06-14T10:59:11+00:00
55569,11506000002,8236.71,25,2024,2024-06-19T19:42:48+00:00,2024-06-19T19:42:48+00:00
59726,11506000002,8236.71,26,2024,2024-06-26T13:24:54+00:00,2024-06-26T13:24:54+00:00
63894,11506000002,8790.00,27,2024,2024-07-05T19:30:19+00:00,2024-07-05T19:30:19+00:00
68072,11506000002,8790.00,28,2024,2024-07-11T08:56:00+00:00,2024-07-11T08:56:00+00:00
72258,11506000002,8196.72,29,2024,2024-07-21T13:28:13+00:00,2024-07-21T13:28:13+00:00
76524,11506000002,8196.72,30,2024,2024-07-26T16:28:31+00:00,2024-07-26T16:28:31+00:00
80777,11506000002,8773.44,32,2024,2024-08-07T20:18:45+00:00,2024-08-09T14:31:30+00:00
85072,11506000002,8322.10,35,2024,2024-08-30T14:15:38+00:00,2024-08-30T14:15:38+00:00
89359,11506000002,7795.81,37,2024,2024-09-11T14:22:21+00:00,2024-09-11T14:22:21+00:00
93678,11506000002,7795.81,38,2024,2024-09-18T15:00:28+00:00,2024-09-18T15:00:28+00:00
98011,11506000002,9000.00,39,2024,2024-09-25T12:11:46+00:00,2024-09-25T12:11:46+00:00
102293,11506000002,9000.00,41,2024,2024-10-11T17:06:05+00:00,2024-10-11T17:06:05+00:00
106529,11506000002,9000.00,44,2024,2024-11-03T16:44:48+00:00,2024-11-03T16:44:48+00:00
110818,11506000002,8507.46,47,2024,2024-11-20T11:38:59+00:00,2024-11-20T11:38:59+00:00
115029,11506000002,8319.09,50,2024,2024-12-11T16:49:42+00:00,2024-12-11T16:49:42+00:00
119260,11506000002,4031.07,51,2024,2024-12-18T12:33:23+00:00,2024-12-18T12:33:23+00:00
123469,11506000002,6140.49,1,2025,2025-01-01T20:11:11+00:00,2025-01-01T20:11:11+00:00
127651,11506000002,5866.53,3,2025,2025-01-15T21:06:09+00:00,2025-01-15T21:06:09+00:00
131926,11506000002,5866.53,6,2025,2025-02-04T20:21:52+00:00,2025-02-04T20:21:52+00:00
136213,11506000002,591.43,10,2025,2025-03-03T17:23:31+00:00,2025-03-03T17:23:31+00:00
140758,11506000002,3946.49,11,2025,2025-03-12T11:02:36+00:00,2025-03-12T11:02:36+00:00
145291,11506000002,4505.33,13,2025,2025-03-26T16:27:50+00:00,2025-03-26T16:27:50+00:00
149775,11506000002,737.69,15,2025,2025-04-09T13:35:15+00:00,2025-04-09T13:35:15+00:00
154318,11506000002,1386.60,17,2025,2025-04-23T12:05:46+00:00,2025-04-23T12:05:46+00:00
158795,11506000002,1282.55,19,2025,2025-05-07T13:04:52+00:00,2025-05-07T13:04:52+00:00
163274,11506000002,304.50,21,2025,2025-05-21T19:48:30+00:00,2025-05-21T19:48:30+00:00
167791,11506000002,370.25,23,2025,2025-06-04T11:19:49+00:00,2025-06-04T11:19:49+00:00
172194,11506000002,300.92,25,2025,2025-06-18T11:55:09+00:00,2025-06-18T11:55:09+00:00
176773,11506000002,301.55,26,2025,2025-06-25T17:26:42+00:00,2025-06-25T17:26:42+00:00
181228,11506000002,12404.76,28,2025,2025-07-09T13:04:47+00:00,2025-07-09T13:04:47+00:00
185669,11506000002,4293.12,30,2025,2025-07-23T20:39:20+00:00,2025-07-23T20:39:20+00:00
190073,11506000002,4293.12,32,2025,2025-08-06T13:27:37+00:00,2025-08-06T13:27:37+00:00
190074,11506000002,708.66,36,2025,2025-09-02T09:17:32+00:00,2025-09-02T09:17:32+00:00
