id,item_id,price,week,year,date_created,date_updated
2666,11002410010,2889380.94,11,2024,2024-03-17T14:19:43+00:00,2024-03-17T14:19:43+00:00
4619,11002410010,3289473.68,13,2024,2024-03-25T15:23:21+00:00,2024-03-27T11:12:53+00:00
9092,11002410010,3289473.68,14,2024,2024-04-03T10:44:33+00:00,2024-04-03T10:44:33+00:00
13208,11002410010,2399742.27,15,2024,2024-04-10T12:44:14+00:00,2024-04-10T12:44:14+00:00
17417,11002410010,2399742.27,16,2024,2024-04-17T11:27:35+00:00,2024-04-17T11:27:35+00:00
21632,11002410010,2321461.41,17,2024,2024-04-24T19:28:05+00:00,2024-04-24T19:28:05+00:00
25807,11002410010,2321461.41,18,2024,2024-05-01T10:41:58+00:00,2024-05-01T10:41:58+00:00
29978,11002410010,2388322.33,19,2024,2024-05-08T18:03:19+00:00,2024-05-08T18:03:19+00:00
34118,11002410010,2388322.33,20,2024,2024-05-15T18:20:00+00:00,2024-05-15T18:20:00+00:00
38257,11002410010,2930047.63,21,2024,2024-05-22T14:11:52+00:00,2024-05-22T14:11:52+00:00
42413,11002410010,2930047.63,22,2024,2024-05-30T22:16:03+00:00,2024-05-30T22:16:03+00:00
46563,11002410010,2480262.55,23,2024,2024-06-06T20:46:14+00:00,2024-06-06T20:46:14+00:00
50731,11002410010,2480262.55,24,2024,2024-06-14T10:58:57+00:00,2024-06-14T10:58:57+00:00
54906,11002410010,1587501.00,25,2024,2024-06-19T19:42:34+00:00,2024-06-19T19:42:34+00:00
59063,11002410010,1587501.00,26,2024,2024-06-26T13:24:39+00:00,2024-06-26T13:24:39+00:00
63226,11002410010,1714431.12,27,2024,2024-07-05T19:30:03+00:00,2024-07-05T19:30:03+00:00
67404,11002410010,1714431.12,28,2024,2024-07-11T08:55:44+00:00,2024-07-11T08:55:44+00:00
71580,11002410010,1465202.79,29,2024,2024-07-21T13:27:57+00:00,2024-07-21T13:27:57+00:00
75846,11002410010,1465202.79,30,2024,2024-07-26T16:28:14+00:00,2024-07-26T16:28:14+00:00
80107,11002410010,1998429.32,32,2024,2024-08-07T20:18:28+00:00,2024-08-09T14:31:14+00:00
84394,11002410010,2494845.82,35,2024,2024-08-30T14:15:21+00:00,2024-08-30T14:15:21+00:00
88678,11002410010,1807796.61,37,2024,2024-09-11T14:22:01+00:00,2024-09-11T14:22:01+00:00
92997,11002410010,1807796.61,38,2024,2024-09-18T15:00:11+00:00,2024-09-18T15:00:11+00:00
97325,11002410010,1553676.19,39,2024,2024-09-25T12:11:25+00:00,2024-09-25T12:11:25+00:00
101613,11002410010,1780850.52,41,2024,2024-10-11T17:05:31+00:00,2024-10-11T17:05:31+00:00
105858,11002410010,1698823.53,44,2024,2024-11-03T16:44:20+00:00,2024-11-03T16:44:20+00:00
110140,11002410010,2117272.42,47,2024,2024-11-20T11:38:02+00:00,2024-11-20T11:38:02+00:00
114349,11002410010,1753318.58,50,2024,2024-12-11T16:49:10+00:00,2024-12-11T16:49:10+00:00
118574,11002410010,2017676.16,51,2024,2024-12-18T12:32:52+00:00,2024-12-18T12:32:52+00:00
122784,11002410010,1747232.47,1,2025,2025-01-01T20:10:30+00:00,2025-01-01T20:10:30+00:00
126967,11002410010,1614493.03,3,2025,2025-01-15T21:05:36+00:00,2025-01-15T21:05:36+00:00
131242,11002410010,1614493.03,6,2025,2025-02-04T20:20:55+00:00,2025-02-04T20:20:55+00:00
135521,11002410010,4902914.63,10,2025,2025-03-03T17:22:58+00:00,2025-03-03T17:22:58+00:00
140032,11002410010,2803250.67,11,2025,2025-03-12T11:02:01+00:00,2025-03-12T11:02:01+00:00
144548,11002410010,2026862.14,13,2025,2025-03-26T16:27:13+00:00,2025-03-26T16:27:13+00:00
149028,11002410010,1669035.86,15,2025,2025-04-09T13:34:07+00:00,2025-04-09T13:34:07+00:00
153579,11002410010,1470545.60,17,2025,2025-04-23T12:05:10+00:00,2025-04-23T12:05:10+00:00
158041,11002410010,827943.39,19,2025,2025-05-07T13:04:14+00:00,2025-05-07T13:04:14+00:00
162524,11002410010,562948.21,21,2025,2025-05-21T19:47:54+00:00,2025-05-21T19:47:54+00:00
167036,11002410010,2084247.47,23,2025,2025-06-04T11:19:12+00:00,2025-06-04T11:19:12+00:00
171433,11002410010,2779896.44,25,2025,2025-06-18T11:54:15+00:00,2025-06-18T11:54:15+00:00
176005,11002410010,1631005.47,26,2025,2025-06-25T17:26:04+00:00,2025-06-25T17:26:04+00:00
180462,11002410010,767200.95,28,2025,2025-07-09T13:03:37+00:00,2025-07-09T13:03:37+00:00
184896,11002410010,1020676.86,30,2025,2025-07-23T20:38:43+00:00,2025-07-23T20:38:43+00:00
189300,11002410010,1020676.86,32,2025,2025-08-06T13:25:12+00:00,2025-08-06T13:25:12+00:00
189301,11002410010,2153108.73,36,2025,2025-09-02T09:16:51+00:00,2025-09-02T09:16:51+00:00
189302,11002410010,1015550.95,37,2025,2025-09-10T21:54:46+00:00,2025-09-10T21:54:46+00:00
189303,11002410010,1551336.05,39,2025,2025-09-24T16:16:16+00:00,2025-09-24T16:16:16+00:00
189304,11002410010,1970892.86,43,2025,2025-10-22T17:32:51+00:00,2025-10-22T17:32:51+00:00
189305,11002410010,273766.39,51,2025,2025-12-20T14:24:34+00:00,2025-12-20T14:24:34+00:00
