id,item_id,price,week,year,date_created,date_updated
3822,11710070006,1099999904.67,11,2024,2024-03-17T14:20:52+00:00,2024-03-17T14:20:52+00:00
5737,11710070006,788571428.11,13,2024,2024-03-25T15:23:44+00:00,2024-03-27T11:13:16+00:00
10199,11710070006,788571428.11,14,2024,2024-04-03T10:44:57+00:00,2024-04-03T10:44:57+00:00
14334,11710070006,932476190.10,15,2024,2024-04-10T12:44:40+00:00,2024-04-10T12:44:40+00:00
18543,11710070006,932476190.10,16,2024,2024-04-17T11:28:02+00:00,2024-04-17T11:28:02+00:00
22734,11710070006,854656250.00,17,2024,2024-04-24T19:28:31+00:00,2024-04-24T19:28:31+00:00
26909,11710070006,854656250.00,18,2024,2024-05-01T10:42:23+00:00,2024-05-01T10:42:23+00:00
31079,11710070006,788372093.02,19,2024,2024-05-08T18:03:45+00:00,2024-05-08T18:03:45+00:00
35219,11710070006,788372093.02,20,2024,2024-05-15T18:20:27+00:00,2024-05-15T18:20:27+00:00
39364,11710070006,737545454.55,21,2024,2024-05-22T14:12:19+00:00,2024-05-22T14:12:19+00:00
43520,11710070006,737545454.55,22,2024,2024-05-30T22:16:31+00:00,2024-05-30T22:16:31+00:00
47682,11710070006,739928571.43,23,2024,2024-06-06T20:46:44+00:00,2024-06-06T20:46:44+00:00
51850,11710070006,739928571.43,24,2024,2024-06-14T10:59:25+00:00,2024-06-14T10:59:25+00:00
56016,11710070006,759043478.00,25,2024,2024-06-19T19:43:02+00:00,2024-06-19T19:43:02+00:00
60173,11710070006,759043478.00,26,2024,2024-06-26T13:25:08+00:00,2024-06-26T13:25:08+00:00
64344,11710070006,952576468.67,27,2024,2024-07-05T19:30:33+00:00,2024-07-05T19:30:33+00:00
68522,11710070006,952576468.67,28,2024,2024-07-11T08:56:15+00:00,2024-07-11T08:56:15+00:00
72709,11710070006,795256366.44,29,2024,2024-07-21T13:28:28+00:00,2024-07-21T13:28:28+00:00
76975,11710070006,795256366.44,30,2024,2024-07-26T16:28:46+00:00,2024-07-26T16:28:46+00:00
81225,11710070006,831211267.61,32,2024,2024-08-07T20:19:00+00:00,2024-08-09T14:31:44+00:00
85523,11710070006,632888888.36,35,2024,2024-08-30T14:15:54+00:00,2024-08-30T14:15:54+00:00
89807,11710070006,548070570.12,37,2024,2024-09-11T14:22:39+00:00,2024-09-11T14:22:39+00:00
94126,11710070006,548070570.12,38,2024,2024-09-18T15:00:44+00:00,2024-09-18T15:00:44+00:00
98477,11710070006,591421856.52,39,2024,2024-09-25T12:12:04+00:00,2024-09-25T12:12:04+00:00
102741,11710070006,549659259.07,41,2024,2024-10-11T17:06:32+00:00,2024-10-11T17:06:32+00:00
106988,11710070006,580508196.72,44,2024,2024-11-03T16:45:13+00:00,2024-11-03T16:45:13+00:00
111266,11710070006,430805555.56,47,2024,2024-11-20T11:39:24+00:00,2024-11-20T11:39:24+00:00
115480,11710070006,418306122.08,50,2024,2024-12-11T16:50:08+00:00,2024-12-11T16:50:08+00:00
119705,11710070006,628338027.49,51,2024,2024-12-18T12:33:50+00:00,2024-12-18T12:33:50+00:00
123918,11710070006,616430555.56,1,2025,2025-01-01T20:11:36+00:00,2025-01-01T20:11:36+00:00
128104,11710070006,422999999.62,3,2025,2025-01-15T21:06:36+00:00,2025-01-15T21:06:36+00:00
132379,11710070006,422999999.62,6,2025,2025-02-04T20:22:36+00:00,2025-02-04T20:22:36+00:00
136678,11710070006,433869158.88,10,2025,2025-03-03T17:23:57+00:00,2025-03-03T17:23:57+00:00
141226,11710070006,445617777.76,11,2025,2025-03-12T11:03:04+00:00,2025-03-12T11:03:04+00:00
145759,11710070006,426846334.83,13,2025,2025-03-26T16:28:17+00:00,2025-03-26T16:28:17+00:00
150245,11710070006,486185543.55,15,2025,2025-04-09T13:35:55+00:00,2025-04-09T13:35:55+00:00
154787,11710070006,480325925.59,17,2025,2025-04-23T12:06:13+00:00,2025-04-23T12:06:13+00:00
159259,11710070006,455440298.51,19,2025,2025-05-07T13:05:20+00:00,2025-05-07T13:05:20+00:00
163731,11710070006,506586776.86,21,2025,2025-05-21T19:48:58+00:00,2025-05-21T19:48:58+00:00
168257,11710070006,668258333.33,23,2025,2025-06-04T11:20:22+00:00,2025-06-04T11:20:22+00:00
172659,11710070006,656777777.61,25,2025,2025-06-18T11:55:39+00:00,2025-06-18T11:55:39+00:00
177231,11710070006,524034258.76,26,2025,2025-06-25T17:27:09+00:00,2025-06-25T17:27:09+00:00
181688,11710070006,459372548.28,28,2025,2025-07-09T13:05:42+00:00,2025-07-09T13:05:42+00:00
186131,11710070006,528965985.74,30,2025,2025-07-23T20:39:46+00:00,2025-07-23T20:39:46+00:00
190535,11710070006,528965985.74,32,2025,2025-08-06T13:28:52+00:00,2025-08-06T13:28:52+00:00
190536,11710070006,501454544.86,36,2025,2025-09-02T09:18:04+00:00,2025-09-02T09:18:04+00:00
190537,11710070006,566309177.54,37,2025,2025-09-10T21:56:36+00:00,2025-09-10T21:56:36+00:00
190538,11710070006,605950247.32,39,2025,2025-09-24T16:17:23+00:00,2025-09-24T16:17:23+00:00
190539,11710070006,516018326.79,43,2025,2025-10-22T17:33:55+00:00,2025-10-22T17:33:55+00:00
