id,item_id,price,week,year,date_created,date_updated
248,11304600028,357142857.14,11,2024,2024-03-17T14:18:32+00:00,2024-03-17T14:18:32+00:00
8440,11304600028,417857142.86,13,2024,2024-03-27T11:13:00+00:00,2024-03-27T11:13:00+00:00
9570,11304600028,417857142.86,14,2024,2024-04-03T10:44:41+00:00,2024-04-03T10:44:41+00:00
13692,11304600028,423666666.67,15,2024,2024-04-10T12:44:23+00:00,2024-04-10T12:44:23+00:00
17901,11304600028,423666666.67,16,2024,2024-04-17T11:27:44+00:00,2024-04-17T11:27:44+00:00
22109,11304600028,640500000.00,17,2024,2024-04-24T19:28:14+00:00,2024-04-24T19:28:14+00:00
26284,11304600028,640500000.00,18,2024,2024-05-01T10:42:07+00:00,2024-05-01T10:42:07+00:00
30454,11304600028,505000000.00,19,2024,2024-05-08T18:03:28+00:00,2024-05-08T18:03:28+00:00
34594,11304600028,505000000.00,20,2024,2024-05-15T18:20:09+00:00,2024-05-15T18:20:09+00:00
38739,11304600028,379836365.75,21,2024,2024-05-22T14:12:02+00:00,2024-05-22T14:12:02+00:00
42895,11304600028,379836365.75,22,2024,2024-05-30T22:16:13+00:00,2024-05-30T22:16:13+00:00
47041,11304600028,481002021.17,23,2024,2024-06-06T20:46:26+00:00,2024-06-06T20:46:26+00:00
51209,11304600028,481002021.17,24,2024,2024-06-14T10:59:07+00:00,2024-06-14T10:59:07+00:00
55382,11304600028,638000000.00,25,2024,2024-06-19T19:42:44+00:00,2024-06-19T19:42:44+00:00
59539,11304600028,638000000.00,26,2024,2024-06-26T13:24:49+00:00,2024-06-26T13:24:49+00:00
80589,11304600028,683333333.33,32,2024,2024-08-07T20:18:39+00:00,2024-08-09T14:31:25+00:00
84879,11304600028,719833333.33,35,2024,2024-08-30T14:15:33+00:00,2024-08-30T14:15:33+00:00
89169,11304600028,547250000.00,37,2024,2024-09-11T14:22:15+00:00,2024-09-11T14:22:15+00:00
93488,11304600028,547250000.00,38,2024,2024-09-18T15:00:23+00:00,2024-09-18T15:00:23+00:00
97816,11304600028,538333333.33,39,2024,2024-09-25T12:11:39+00:00,2024-09-25T12:11:39+00:00
102105,11304600028,508888888.89,41,2024,2024-10-11T17:05:56+00:00,2024-10-11T17:05:56+00:00
110630,11304600028,518737499.62,47,2024,2024-11-20T11:38:39+00:00,2024-11-20T11:38:39+00:00
114836,11304600028,608316666.67,50,2024,2024-12-11T16:49:31+00:00,2024-12-11T16:49:31+00:00
119067,11304600028,595238095.00,51,2024,2024-12-18T12:33:14+00:00,2024-12-18T12:33:14+00:00
127455,11304600028,562500000.00,3,2025,2025-01-15T21:05:59+00:00,2025-01-15T21:05:59+00:00
131730,11304600028,562500000.00,6,2025,2025-02-04T20:21:36+00:00,2025-02-04T20:21:36+00:00
136017,11304600028,679356554.50,10,2025,2025-03-03T17:23:20+00:00,2025-03-03T17:23:20+00:00
140544,11304600028,459090909.09,11,2025,2025-03-12T11:02:25+00:00,2025-03-12T11:02:25+00:00
145069,11304600028,766666666.44,13,2025,2025-03-26T16:27:39+00:00,2025-03-26T16:27:39+00:00
149552,11304600028,966666666.67,15,2025,2025-04-09T13:34:53+00:00,2025-04-09T13:34:53+00:00
158575,11304600028,497999999.50,19,2025,2025-05-07T13:04:40+00:00,2025-05-07T13:04:40+00:00
163054,11304600028,678000000.00,21,2025,2025-05-21T19:48:18+00:00,2025-05-21T19:48:18+00:00
171970,11304600028,850000000.00,25,2025,2025-06-18T11:54:55+00:00,2025-06-18T11:54:55+00:00
176549,11304600028,838000000.00,26,2025,2025-06-25T17:26:30+00:00,2025-06-25T17:26:30+00:00
180998,11304600028,538132583.33,28,2025,2025-07-09T13:04:23+00:00,2025-07-09T13:04:23+00:00
185444,11304600028,465017568.09,30,2025,2025-07-23T20:39:08+00:00,2025-07-23T20:39:08+00:00
189848,11304600028,465017568.09,32,2025,2025-08-06T13:26:55+00:00,2025-08-06T13:26:55+00:00
