id,item_id,price,week,year,date_created,date_updated
5086,11304500017,26500000.00,13,2024,2024-03-25T15:23:29+00:00,2024-03-27T11:13:00+00:00
9553,11304500017,26500000.00,14,2024,2024-04-03T10:44:41+00:00,2024-04-03T10:44:41+00:00
13674,11304500017,30375000.00,15,2024,2024-04-10T12:44:23+00:00,2024-04-10T12:44:23+00:00
17883,11304500017,30375000.00,16,2024,2024-04-17T11:27:44+00:00,2024-04-17T11:27:44+00:00
22092,11304500017,28230769.15,17,2024,2024-04-24T19:28:13+00:00,2024-04-24T19:28:13+00:00
26267,11304500017,28230769.15,18,2024,2024-05-01T10:42:07+00:00,2024-05-01T10:42:07+00:00
30437,11304500017,30249999.88,19,2024,2024-05-08T18:03:28+00:00,2024-05-08T18:03:28+00:00
34577,11304500017,30249999.88,20,2024,2024-05-15T18:20:09+00:00,2024-05-15T18:20:09+00:00
38724,11304500017,28527777.75,21,2024,2024-05-22T14:12:01+00:00,2024-05-22T14:12:01+00:00
42880,11304500017,28527777.75,22,2024,2024-05-30T22:16:12+00:00,2024-05-30T22:16:12+00:00
55369,11304500017,28500000.00,25,2024,2024-06-19T19:42:43+00:00,2024-06-19T19:42:43+00:00
59526,11304500017,28500000.00,26,2024,2024-06-26T13:24:49+00:00,2024-06-26T13:24:49+00:00
89153,11304500017,20000000.00,37,2024,2024-09-11T14:22:14+00:00,2024-09-11T14:22:14+00:00
93472,11304500017,20000000.00,38,2024,2024-09-18T15:00:22+00:00,2024-09-18T15:00:22+00:00
102088,11304500017,51342598.00,41,2024,2024-10-11T17:05:55+00:00,2024-10-11T17:05:55+00:00
114821,11304500017,852370.00,50,2024,2024-12-11T16:49:30+00:00,2024-12-11T16:49:30+00:00
119052,11304500017,432435.00,51,2024,2024-12-18T12:33:13+00:00,2024-12-18T12:33:13+00:00
123260,11304500017,29251250.00,1,2025,2025-01-01T20:11:00+00:00,2025-01-01T20:11:00+00:00
136002,11304500017,150000000.00,10,2025,2025-03-03T17:23:20+00:00,2025-03-03T17:23:20+00:00
145053,11304500017,60000000.00,13,2025,2025-03-26T16:27:38+00:00,2025-03-26T16:27:38+00:00
158559,11304500017,852370.00,19,2025,2025-05-07T13:04:40+00:00,2025-05-07T13:04:40+00:00
158560,11304500017,852370.00,36,2025,2025-09-02T09:17:18+00:00,2025-09-02T09:17:18+00:00
158561,11304500017,852370.00,39,2025,2025-09-24T16:16:42+00:00,2025-09-24T16:16:42+00:00
158562,11304500017,11000000.00,51,2025,2025-12-20T14:24:41+00:00,2025-12-20T14:24:41+00:00
