id,item_id,price,week,year,date_created,date_updated
1518,11000720012,492855.71,11,2024,2024-03-17T14:18:58+00:00,2024-03-17T14:18:58+00:00
4579,11000720012,605799.21,13,2024,2024-03-25T15:23:20+00:00,2024-03-27T11:12:52+00:00
9053,11000720012,605799.21,14,2024,2024-04-03T10:44:33+00:00,2024-04-03T10:44:33+00:00
13169,11000720012,569267.43,15,2024,2024-04-10T12:44:14+00:00,2024-04-10T12:44:14+00:00
17378,11000720012,569267.43,16,2024,2024-04-17T11:27:35+00:00,2024-04-17T11:27:35+00:00
21595,11000720012,694336.81,17,2024,2024-04-24T19:28:04+00:00,2024-04-24T19:28:04+00:00
25770,11000720012,694336.81,18,2024,2024-05-01T10:41:57+00:00,2024-05-01T10:41:57+00:00
29938,11000720012,593734.79,19,2024,2024-05-08T18:03:19+00:00,2024-05-08T18:03:19+00:00
34078,11000720012,593734.79,20,2024,2024-05-15T18:19:59+00:00,2024-05-15T18:19:59+00:00
38217,11000720012,525065.58,21,2024,2024-05-22T14:11:51+00:00,2024-05-22T14:11:51+00:00
42373,11000720012,525065.58,22,2024,2024-05-30T22:16:03+00:00,2024-05-30T22:16:03+00:00
46525,11000720012,502633.14,23,2024,2024-06-06T20:46:13+00:00,2024-06-06T20:46:13+00:00
50693,11000720012,502633.14,24,2024,2024-06-14T10:58:56+00:00,2024-06-14T10:58:56+00:00
54868,11000720012,407700.30,25,2024,2024-06-19T19:42:34+00:00,2024-06-19T19:42:34+00:00
59025,11000720012,407700.30,26,2024,2024-06-26T13:24:39+00:00,2024-06-26T13:24:39+00:00
63188,11000720012,436921.61,27,2024,2024-07-05T19:30:03+00:00,2024-07-05T19:30:03+00:00
67366,11000720012,436921.61,28,2024,2024-07-11T08:55:43+00:00,2024-07-11T08:55:43+00:00
71541,11000720012,433768.84,29,2024,2024-07-21T13:27:56+00:00,2024-07-21T13:27:56+00:00
75807,11000720012,433768.84,30,2024,2024-07-26T16:28:13+00:00,2024-07-26T16:28:13+00:00
80069,11000720012,614722.22,32,2024,2024-08-07T20:18:27+00:00,2024-08-09T14:31:13+00:00
84355,11000720012,562160.49,35,2024,2024-08-30T14:15:21+00:00,2024-08-30T14:15:21+00:00
88638,11000720012,653799.41,37,2024,2024-09-11T14:22:00+00:00,2024-09-11T14:22:00+00:00
92957,11000720012,653799.41,38,2024,2024-09-18T15:00:10+00:00,2024-09-18T15:00:10+00:00
97286,11000720012,693236.41,39,2024,2024-09-25T12:11:24+00:00,2024-09-25T12:11:24+00:00
101572,11000720012,641441.59,41,2024,2024-10-11T17:05:27+00:00,2024-10-11T17:05:27+00:00
105819,11000720012,473588.70,44,2024,2024-11-03T16:44:18+00:00,2024-11-03T16:44:18+00:00
110102,11000720012,287491.39,47,2024,2024-11-20T11:38:01+00:00,2024-11-20T11:38:01+00:00
114310,11000720012,464516.13,50,2024,2024-12-11T16:49:08+00:00,2024-12-11T16:49:08+00:00
118536,11000720012,588019.48,51,2024,2024-12-18T12:32:50+00:00,2024-12-18T12:32:50+00:00
122744,11000720012,518587.17,1,2025,2025-01-01T20:10:28+00:00,2025-01-01T20:10:28+00:00
126925,11000720012,333947.94,3,2025,2025-01-15T21:05:34+00:00,2025-01-15T21:05:34+00:00
131200,11000720012,333947.94,6,2025,2025-02-04T20:20:52+00:00,2025-02-04T20:20:52+00:00
135481,11000720012,678588.53,10,2025,2025-03-03T17:22:57+00:00,2025-03-03T17:22:57+00:00
139989,11000720012,679789.62,11,2025,2025-03-12T11:02:00+00:00,2025-03-12T11:02:00+00:00
144502,11000720012,569551.43,13,2025,2025-03-26T16:27:12+00:00,2025-03-26T16:27:12+00:00
148982,11000720012,642391.30,15,2025,2025-04-09T13:34:03+00:00,2025-04-09T13:34:03+00:00
153533,11000720012,555570.79,17,2025,2025-04-23T12:05:07+00:00,2025-04-23T12:05:07+00:00
157995,11000720012,477385.74,19,2025,2025-05-07T13:04:12+00:00,2025-05-07T13:04:12+00:00
162480,11000720012,438081.59,21,2025,2025-05-21T19:47:52+00:00,2025-05-21T19:47:52+00:00
166991,11000720012,382935.11,23,2025,2025-06-04T11:19:10+00:00,2025-06-04T11:19:10+00:00
171387,11000720012,270191.95,25,2025,2025-06-18T11:54:11+00:00,2025-06-18T11:54:11+00:00
175960,11000720012,276457.35,26,2025,2025-06-25T17:26:02+00:00,2025-06-25T17:26:02+00:00
180415,11000720012,332949.24,28,2025,2025-07-09T13:03:33+00:00,2025-07-09T13:03:33+00:00
184851,11000720012,421189.50,30,2025,2025-07-23T20:38:41+00:00,2025-07-23T20:38:41+00:00
189255,11000720012,421189.50,32,2025,2025-08-06T13:25:02+00:00,2025-08-06T13:25:02+00:00
