id,item_id,price,week,year,date_created,date_updated
2866,11100100008,15370.33,11,2024,2024-03-17T14:19:53+00:00,2024-03-17T14:19:53+00:00
4889,11100100008,15726.17,13,2024,2024-03-25T15:23:25+00:00,2024-03-27T11:12:56+00:00
9355,11100100008,15726.17,14,2024,2024-04-03T10:44:37+00:00,2024-04-03T10:44:37+00:00
13477,11100100008,14097.05,15,2024,2024-04-10T12:44:19+00:00,2024-04-10T12:44:19+00:00
17686,11100100008,14097.05,16,2024,2024-04-17T11:27:40+00:00,2024-04-17T11:27:40+00:00
21894,11100100008,16478.77,17,2024,2024-04-24T19:28:09+00:00,2024-04-24T19:28:09+00:00
26069,11100100008,16478.77,18,2024,2024-05-01T10:42:02+00:00,2024-05-01T10:42:02+00:00
30242,11100100008,22779.43,19,2024,2024-05-08T18:03:24+00:00,2024-05-08T18:03:24+00:00
34382,11100100008,22779.43,20,2024,2024-05-15T18:20:05+00:00,2024-05-15T18:20:05+00:00
38527,11100100008,26169.08,21,2024,2024-05-22T14:11:57+00:00,2024-05-22T14:11:57+00:00
42683,11100100008,26169.08,22,2024,2024-05-30T22:16:08+00:00,2024-05-30T22:16:08+00:00
46828,11100100008,33924.70,23,2024,2024-06-06T20:46:19+00:00,2024-06-06T20:46:19+00:00
50996,11100100008,33924.70,24,2024,2024-06-14T10:59:02+00:00,2024-06-14T10:59:02+00:00
55170,11100100008,31879.37,25,2024,2024-06-19T19:42:39+00:00,2024-06-19T19:42:39+00:00
59327,11100100008,31879.37,26,2024,2024-06-26T13:24:44+00:00,2024-06-26T13:24:44+00:00
63493,11100100008,27152.10,27,2024,2024-07-05T19:30:09+00:00,2024-07-05T19:30:09+00:00
67671,11100100008,27152.10,28,2024,2024-07-11T08:55:49+00:00,2024-07-11T08:55:49+00:00
71848,11100100008,19092.65,29,2024,2024-07-21T13:28:03+00:00,2024-07-21T13:28:03+00:00
76114,11100100008,19092.65,30,2024,2024-07-26T16:28:19+00:00,2024-07-26T16:28:19+00:00
80376,11100100008,10531.10,32,2024,2024-08-07T20:18:34+00:00,2024-08-09T14:31:20+00:00
84665,11100100008,17051.93,35,2024,2024-08-30T14:15:27+00:00,2024-08-30T14:15:27+00:00
88952,11100100008,21078.02,37,2024,2024-09-11T14:22:09+00:00,2024-09-11T14:22:09+00:00
93271,11100100008,21078.02,38,2024,2024-09-18T15:00:17+00:00,2024-09-18T15:00:17+00:00
97597,11100100008,20093.34,39,2024,2024-09-25T12:11:32+00:00,2024-09-25T12:11:32+00:00
101885,11100100008,37161.53,41,2024,2024-10-11T17:05:45+00:00,2024-10-11T17:05:45+00:00
106124,11100100008,32754.15,44,2024,2024-11-03T16:44:30+00:00,2024-11-03T16:44:30+00:00
110412,11100100008,43665.68,47,2024,2024-11-20T11:38:19+00:00,2024-11-20T11:38:19+00:00
114618,11100100008,50996.68,50,2024,2024-12-11T16:49:21+00:00,2024-12-11T16:49:21+00:00
118846,11100100008,46310.87,51,2024,2024-12-18T12:33:04+00:00,2024-12-18T12:33:04+00:00
123056,11100100008,42892.44,1,2025,2025-01-01T20:10:49+00:00,2025-01-01T20:10:49+00:00
127237,11100100008,40721.66,3,2025,2025-01-15T21:05:48+00:00,2025-01-15T21:05:48+00:00
131512,11100100008,40721.66,6,2025,2025-02-04T20:21:18+00:00,2025-02-04T20:21:18+00:00
135796,11100100008,63421.80,10,2025,2025-03-03T17:23:10+00:00,2025-03-03T17:23:10+00:00
140313,11100100008,79223.14,11,2025,2025-03-12T11:02:14+00:00,2025-03-12T11:02:14+00:00
144836,11100100008,28920.35,13,2025,2025-03-26T16:27:28+00:00,2025-03-26T16:27:28+00:00
149324,11100100008,32059.99,15,2025,2025-04-09T13:34:31+00:00,2025-04-09T13:34:31+00:00
153874,11100100008,32411.30,17,2025,2025-04-23T12:05:23+00:00,2025-04-23T12:05:23+00:00
158344,11100100008,57027.49,19,2025,2025-05-07T13:04:29+00:00,2025-05-07T13:04:29+00:00
162823,11100100008,60443.57,21,2025,2025-05-21T19:48:07+00:00,2025-05-21T19:48:07+00:00
167345,11100100008,40253.66,23,2025,2025-06-04T11:19:25+00:00,2025-06-04T11:19:25+00:00
171739,11100100008,48282.20,25,2025,2025-06-18T11:54:42+00:00,2025-06-18T11:54:42+00:00
176323,11100100008,48466.90,26,2025,2025-06-25T17:26:19+00:00,2025-06-25T17:26:19+00:00
180768,11100100008,32853.47,28,2025,2025-07-09T13:04:04+00:00,2025-07-09T13:04:04+00:00
185209,11100100008,17019.23,30,2025,2025-07-23T20:38:56+00:00,2025-07-23T20:38:56+00:00
189613,11100100008,17019.23,32,2025,2025-08-06T13:26:13+00:00,2025-08-06T13:26:13+00:00
