id,item_id,price,week,year,date_created,date_updated
4073,11708020006,992596.87,11,2024,2024-03-17T14:21:11+00:00,2024-03-17T14:21:11+00:00
5670,11708020006,1032413.33,13,2024,2024-03-25T15:23:43+00:00,2024-03-27T11:13:14+00:00
10136,11708020006,1032413.33,14,2024,2024-04-03T10:44:55+00:00,2024-04-03T10:44:55+00:00
14267,11708020006,521926.61,15,2024,2024-04-10T12:44:38+00:00,2024-04-10T12:44:38+00:00
18476,11708020006,521926.61,16,2024,2024-04-17T11:28:00+00:00,2024-04-17T11:28:00+00:00
22674,11708020006,654490.76,17,2024,2024-04-24T19:28:29+00:00,2024-04-24T19:28:29+00:00
26849,11708020006,654490.76,18,2024,2024-05-01T10:42:22+00:00,2024-05-01T10:42:22+00:00
31017,11708020006,1820958.08,19,2024,2024-05-08T18:03:43+00:00,2024-05-08T18:03:43+00:00
35157,11708020006,1820958.08,20,2024,2024-05-15T18:20:25+00:00,2024-05-15T18:20:25+00:00
39303,11708020006,2869884.73,21,2024,2024-05-22T14:12:17+00:00,2024-05-22T14:12:17+00:00
43459,11708020006,2869884.73,22,2024,2024-05-30T22:16:28+00:00,2024-05-30T22:16:28+00:00
47615,11708020006,1163471.84,23,2024,2024-06-06T20:46:42+00:00,2024-06-06T20:46:42+00:00
51783,11708020006,1163471.84,24,2024,2024-06-14T10:59:23+00:00,2024-06-14T10:59:23+00:00
55950,11708020006,1149045.71,25,2024,2024-06-19T19:43:00+00:00,2024-06-19T19:43:00+00:00
60107,11708020006,1149045.71,26,2024,2024-06-26T13:25:06+00:00,2024-06-26T13:25:06+00:00
64281,11708020006,1137723.27,27,2024,2024-07-05T19:30:31+00:00,2024-07-05T19:30:31+00:00
68459,11708020006,1137723.27,28,2024,2024-07-11T08:56:12+00:00,2024-07-11T08:56:12+00:00
72642,11708020006,4092307.82,29,2024,2024-07-21T13:28:25+00:00,2024-07-21T13:28:25+00:00
76908,11708020006,4092307.82,30,2024,2024-07-26T16:28:43+00:00,2024-07-26T16:28:43+00:00
81158,11708020006,3468760.68,32,2024,2024-08-07T20:18:57+00:00,2024-08-09T14:31:42+00:00
85457,11708020006,1383020.28,35,2024,2024-08-30T14:15:51+00:00,2024-08-30T14:15:51+00:00
89740,11708020006,1376068.01,37,2024,2024-09-11T14:22:36+00:00,2024-09-11T14:22:36+00:00
94059,11708020006,1376068.01,38,2024,2024-09-18T15:00:41+00:00,2024-09-18T15:00:41+00:00
98413,11708020006,1294844.29,39,2024,2024-09-25T12:12:01+00:00,2024-09-25T12:12:01+00:00
102681,11708020006,1184312.21,41,2024,2024-10-11T17:06:26+00:00,2024-10-11T17:06:26+00:00
106920,11708020006,832049.10,44,2024,2024-11-03T16:45:09+00:00,2024-11-03T16:45:09+00:00
111202,11708020006,1906862.42,47,2024,2024-11-20T11:39:20+00:00,2024-11-20T11:39:20+00:00
115416,11708020006,1453549.95,50,2024,2024-12-11T16:50:05+00:00,2024-12-11T16:50:05+00:00
119648,11708020006,986494.85,51,2024,2024-12-18T12:33:46+00:00,2024-12-18T12:33:46+00:00
123854,11708020006,1084106.39,1,2025,2025-01-01T20:11:33+00:00,2025-01-01T20:11:33+00:00
128042,11708020006,1108503.74,3,2025,2025-01-15T21:06:32+00:00,2025-01-15T21:06:32+00:00
132317,11708020006,1108503.74,6,2025,2025-02-04T20:22:30+00:00,2025-02-04T20:22:30+00:00
136614,11708020006,865188.81,10,2025,2025-03-03T17:23:53+00:00,2025-03-03T17:23:53+00:00
141164,11708020006,544162.09,11,2025,2025-03-12T11:03:00+00:00,2025-03-12T11:03:00+00:00
145695,11708020006,726560.96,13,2025,2025-03-26T16:28:13+00:00,2025-03-26T16:28:13+00:00
150178,11708020006,791613.40,15,2025,2025-04-09T13:35:50+00:00,2025-04-09T13:35:50+00:00
154720,11708020006,964022.99,17,2025,2025-04-23T12:06:09+00:00,2025-04-23T12:06:09+00:00
159195,11708020006,971917.93,19,2025,2025-05-07T13:05:16+00:00,2025-05-07T13:05:16+00:00
163667,11708020006,629788.62,21,2025,2025-05-21T19:48:54+00:00,2025-05-21T19:48:54+00:00
168197,11708020006,847953.27,23,2025,2025-06-04T11:20:18+00:00,2025-06-04T11:20:18+00:00
172596,11708020006,1922682.06,25,2025,2025-06-18T11:55:34+00:00,2025-06-18T11:55:34+00:00
177164,11708020006,2560810.85,26,2025,2025-06-25T17:27:05+00:00,2025-06-25T17:27:05+00:00
181630,11708020006,3043001.60,28,2025,2025-07-09T13:05:33+00:00,2025-07-09T13:05:33+00:00
186068,11708020006,2069133.52,30,2025,2025-07-23T20:39:43+00:00,2025-07-23T20:39:43+00:00
190472,11708020006,2069133.52,32,2025,2025-08-06T13:28:47+00:00,2025-08-06T13:28:47+00:00
190473,11708020006,785819.42,36,2025,2025-09-02T09:17:57+00:00,2025-09-02T09:17:57+00:00
190474,11708020006,2151359.96,37,2025,2025-09-10T21:56:30+00:00,2025-09-10T21:56:30+00:00
190475,11708020006,1316192.64,39,2025,2025-09-24T16:17:19+00:00,2025-09-24T16:17:19+00:00
190476,11708020006,963333.00,43,2025,2025-10-22T17:33:52+00:00,2025-10-22T17:33:52+00:00
