id,item_id,price,week,year,date_created,date_updated
633,11707000002,49458.50,11,2024,2024-03-17T14:18:37+00:00,2024-03-17T14:18:37+00:00
5613,11707000002,13716.95,13,2024,2024-03-25T15:23:41+00:00,2024-03-27T11:13:13+00:00
10082,11707000002,13716.95,14,2024,2024-04-03T10:44:54+00:00,2024-04-03T10:44:54+00:00
14210,11707000002,26502.93,15,2024,2024-04-10T12:44:36+00:00,2024-04-10T12:44:36+00:00
18419,11707000002,26502.93,16,2024,2024-04-17T11:27:58+00:00,2024-04-17T11:27:58+00:00
22620,11707000002,99140.27,17,2024,2024-04-24T19:28:27+00:00,2024-04-24T19:28:27+00:00
26795,11707000002,99140.27,18,2024,2024-05-01T10:42:20+00:00,2024-05-01T10:42:20+00:00
30967,11707000002,62448.67,19,2024,2024-05-08T18:03:42+00:00,2024-05-08T18:03:42+00:00
35107,11707000002,62448.67,20,2024,2024-05-15T18:20:23+00:00,2024-05-15T18:20:23+00:00
39245,11707000002,44055.56,21,2024,2024-05-22T14:12:15+00:00,2024-05-22T14:12:15+00:00
43401,11707000002,44055.56,22,2024,2024-05-30T22:16:26+00:00,2024-05-30T22:16:26+00:00
47558,11707000002,100476.19,23,2024,2024-06-06T20:46:40+00:00,2024-06-06T20:46:40+00:00
51726,11707000002,100476.19,24,2024,2024-06-14T10:59:21+00:00,2024-06-14T10:59:21+00:00
55892,11707000002,55410.09,25,2024,2024-06-19T19:42:58+00:00,2024-06-19T19:42:58+00:00
60049,11707000002,55410.09,26,2024,2024-06-26T13:25:04+00:00,2024-06-26T13:25:04+00:00
64224,11707000002,42344.85,27,2024,2024-07-05T19:30:29+00:00,2024-07-05T19:30:29+00:00
68402,11707000002,42344.85,28,2024,2024-07-11T08:56:10+00:00,2024-07-11T08:56:10+00:00
72584,11707000002,26013.78,29,2024,2024-07-21T13:28:24+00:00,2024-07-21T13:28:24+00:00
76850,11707000002,26013.78,30,2024,2024-07-26T16:28:41+00:00,2024-07-26T16:28:41+00:00
81100,11707000002,52189.55,32,2024,2024-08-07T20:18:55+00:00,2024-08-09T14:31:40+00:00
85398,11707000002,54960.29,35,2024,2024-08-30T14:15:49+00:00,2024-08-30T14:15:49+00:00
89683,11707000002,151562.12,37,2024,2024-09-11T14:22:34+00:00,2024-09-11T14:22:34+00:00
94002,11707000002,151562.12,38,2024,2024-09-18T15:00:39+00:00,2024-09-18T15:00:39+00:00
98349,11707000002,13992.51,39,2024,2024-09-25T12:11:59+00:00,2024-09-25T12:11:59+00:00
102621,11707000002,66689.03,41,2024,2024-10-11T17:06:23+00:00,2024-10-11T17:06:23+00:00
106863,11707000002,131427.57,44,2024,2024-11-03T16:45:05+00:00,2024-11-03T16:45:05+00:00
111148,11707000002,39850.00,47,2024,2024-11-20T11:39:17+00:00,2024-11-20T11:39:17+00:00
115357,11707000002,43761.51,50,2024,2024-12-11T16:50:01+00:00,2024-12-11T16:50:01+00:00
119590,11707000002,65070.57,51,2024,2024-12-18T12:33:42+00:00,2024-12-18T12:33:42+00:00
123800,11707000002,27664.59,1,2025,2025-01-01T20:11:29+00:00,2025-01-01T20:11:29+00:00
127984,11707000002,43108.36,3,2025,2025-01-15T21:06:29+00:00,2025-01-15T21:06:29+00:00
132259,11707000002,43108.36,6,2025,2025-02-04T20:22:25+00:00,2025-02-04T20:22:25+00:00
136554,11707000002,4557.32,10,2025,2025-03-03T17:23:49+00:00,2025-03-03T17:23:49+00:00
141106,11707000002,8958.04,11,2025,2025-03-12T11:02:56+00:00,2025-03-12T11:02:56+00:00
145635,11707000002,29239.99,13,2025,2025-03-26T16:28:10+00:00,2025-03-26T16:28:10+00:00
150121,11707000002,6298.49,15,2025,2025-04-09T13:35:44+00:00,2025-04-09T13:35:44+00:00
154662,11707000002,14979.23,17,2025,2025-04-23T12:06:05+00:00,2025-04-23T12:06:05+00:00
159135,11707000002,38590.20,19,2025,2025-05-07T13:05:12+00:00,2025-05-07T13:05:12+00:00
163612,11707000002,177410.17,21,2025,2025-05-21T19:48:50+00:00,2025-05-21T19:48:50+00:00
168138,11707000002,167209.88,23,2025,2025-06-04T11:20:15+00:00,2025-06-04T11:20:15+00:00
172543,11707000002,91954.55,25,2025,2025-06-18T11:55:31+00:00,2025-06-18T11:55:31+00:00
177109,11707000002,35027.91,26,2025,2025-06-25T17:27:02+00:00,2025-06-25T17:27:02+00:00
181568,11707000002,68726.33,28,2025,2025-07-09T13:05:24+00:00,2025-07-09T13:05:24+00:00
186014,11707000002,175771.68,30,2025,2025-07-23T20:39:39+00:00,2025-07-23T20:39:39+00:00
190418,11707000002,175771.68,32,2025,2025-08-06T13:28:43+00:00,2025-08-06T13:28:43+00:00
190419,11707000002,27134.37,36,2025,2025-09-02T09:17:53+00:00,2025-09-02T09:17:53+00:00
190420,11707000002,34557.89,37,2025,2025-09-10T21:56:25+00:00,2025-09-10T21:56:25+00:00
190421,11707000002,29678.19,39,2025,2025-09-24T16:17:16+00:00,2025-09-24T16:17:16+00:00
190422,11707000002,159914.99,43,2025,2025-10-22T17:33:48+00:00,2025-10-22T17:33:48+00:00
