id,item_id,price,week,year,date_created,date_updated
3637,11714010002,17659.89,11,2024,2024-03-17T14:20:39+00:00,2024-03-17T14:20:39+00:00
5773,11714010002,336018.12,13,2024,2024-03-25T15:23:46+00:00,2024-03-27T11:13:17+00:00
10235,11714010002,336018.12,14,2024,2024-04-03T10:44:58+00:00,2024-04-03T10:44:58+00:00
14369,11714010002,54582.16,15,2024,2024-04-10T12:44:41+00:00,2024-04-10T12:44:41+00:00
18578,11714010002,54582.16,16,2024,2024-04-17T11:28:03+00:00,2024-04-17T11:28:03+00:00
22770,11714010002,46914.89,17,2024,2024-04-24T19:28:32+00:00,2024-04-24T19:28:32+00:00
26945,11714010002,46914.89,18,2024,2024-05-01T10:42:25+00:00,2024-05-01T10:42:25+00:00
31115,11714010002,40390.52,19,2024,2024-05-08T18:03:46+00:00,2024-05-08T18:03:46+00:00
35255,11714010002,40390.52,20,2024,2024-05-15T18:20:28+00:00,2024-05-15T18:20:28+00:00
39399,11714010002,12819.00,21,2024,2024-05-22T14:12:20+00:00,2024-05-22T14:12:20+00:00
43555,11714010002,12819.00,22,2024,2024-05-30T22:16:32+00:00,2024-05-30T22:16:32+00:00
47719,11714010002,2549.00,23,2024,2024-06-06T20:46:45+00:00,2024-06-06T20:46:45+00:00
51887,11714010002,2549.00,24,2024,2024-06-14T10:59:27+00:00,2024-06-14T10:59:27+00:00
56053,11714010002,21481.00,25,2024,2024-06-19T19:43:03+00:00,2024-06-19T19:43:03+00:00
60210,11714010002,21481.00,26,2024,2024-06-26T13:25:10+00:00,2024-06-26T13:25:10+00:00
64381,11714010002,19121.39,27,2024,2024-07-05T19:30:34+00:00,2024-07-05T19:30:34+00:00
68559,11714010002,19121.39,28,2024,2024-07-11T08:56:16+00:00,2024-07-11T08:56:16+00:00
72745,11714010002,12461.12,29,2024,2024-07-21T13:28:29+00:00,2024-07-21T13:28:29+00:00
77011,11714010002,12461.12,30,2024,2024-07-26T16:28:47+00:00,2024-07-26T16:28:47+00:00
81262,11714010002,8723.79,32,2024,2024-08-07T20:19:01+00:00,2024-08-09T14:31:46+00:00
85560,11714010002,15220.53,35,2024,2024-08-30T14:15:55+00:00,2024-08-30T14:15:55+00:00
89844,11714010002,159799.82,37,2024,2024-09-11T14:22:41+00:00,2024-09-11T14:22:41+00:00
94163,11714010002,159799.82,38,2024,2024-09-18T15:00:45+00:00,2024-09-18T15:00:45+00:00
98514,11714010002,227664.98,39,2024,2024-09-25T12:12:05+00:00,2024-09-25T12:12:05+00:00
102778,11714010002,139945.56,41,2024,2024-10-11T17:06:36+00:00,2024-10-11T17:06:36+00:00
107025,11714010002,36297.88,44,2024,2024-11-03T16:45:16+00:00,2024-11-03T16:45:16+00:00
111303,11714010002,21925.52,47,2024,2024-11-20T11:39:26+00:00,2024-11-20T11:39:26+00:00
115517,11714010002,20385.64,50,2024,2024-12-11T16:50:10+00:00,2024-12-11T16:50:10+00:00
119747,11714010002,28127.56,51,2024,2024-12-18T12:33:52+00:00,2024-12-18T12:33:52+00:00
123961,11714010002,61500.00,1,2025,2025-01-01T20:11:39+00:00,2025-01-01T20:11:39+00:00
128147,11714010002,17940.59,3,2025,2025-01-15T21:06:39+00:00,2025-01-15T21:06:39+00:00
132422,11714010002,17940.59,6,2025,2025-02-04T20:22:40+00:00,2025-02-04T20:22:40+00:00
136720,11714010002,43129.21,10,2025,2025-03-03T17:24:00+00:00,2025-03-03T17:24:00+00:00
141267,11714010002,2529.50,11,2025,2025-03-12T11:03:06+00:00,2025-03-12T11:03:06+00:00
145802,11714010002,30405.22,13,2025,2025-03-26T16:28:20+00:00,2025-03-26T16:28:20+00:00
150286,11714010002,15645.77,15,2025,2025-04-09T13:35:59+00:00,2025-04-09T13:35:59+00:00
154829,11714010002,47052.38,17,2025,2025-04-23T12:06:15+00:00,2025-04-23T12:06:15+00:00
159301,11714010002,32415.33,19,2025,2025-05-07T13:05:24+00:00,2025-05-07T13:05:24+00:00
163773,11714010002,60385.88,21,2025,2025-05-21T19:49:01+00:00,2025-05-21T19:49:01+00:00
168300,11714010002,28367.89,23,2025,2025-06-04T11:20:25+00:00,2025-06-04T11:20:25+00:00
172702,11714010002,11724.45,25,2025,2025-06-18T11:55:42+00:00,2025-06-18T11:55:42+00:00
177274,11714010002,1222.72,26,2025,2025-06-25T17:27:12+00:00,2025-06-25T17:27:12+00:00
181733,11714010002,16262.24,28,2025,2025-07-09T13:05:49+00:00,2025-07-09T13:05:49+00:00
186177,11714010002,82222.22,30,2025,2025-07-23T20:39:49+00:00,2025-07-23T20:39:49+00:00
190581,11714010002,82222.22,32,2025,2025-08-06T13:28:55+00:00,2025-08-06T13:28:55+00:00
190582,11714010002,624958.68,36,2025,2025-09-02T09:18:09+00:00,2025-09-02T09:18:09+00:00
190583,11714010002,297570.86,37,2025,2025-09-10T21:56:41+00:00,2025-09-10T21:56:41+00:00
190584,11714010002,81317.51,39,2025,2025-09-24T16:17:26+00:00,2025-09-24T16:17:26+00:00
190585,11714010002,23000.75,43,2025,2025-10-22T17:33:58+00:00,2025-10-22T17:33:58+00:00
190586,11714010002,56376.26,51,2025,2025-12-20T14:24:54+00:00,2025-12-20T14:24:54+00:00
