id,item_id,price,week,year,date_created,date_updated
2858,11302000028,333617610.22,11,2024,2024-03-17T14:19:53+00:00,2024-03-17T14:19:53+00:00
8435,11302000028,323500000.00,13,2024,2024-03-27T11:12:59+00:00,2024-03-27T11:12:59+00:00
9483,11302000028,323500000.00,14,2024,2024-04-03T10:44:39+00:00,2024-04-03T10:44:39+00:00
13603,11302000028,474250000.00,15,2024,2024-04-10T12:44:21+00:00,2024-04-10T12:44:21+00:00
17812,11302000028,474250000.00,16,2024,2024-04-17T11:27:42+00:00,2024-04-17T11:27:42+00:00
30369,11302000028,232666666.60,19,2024,2024-05-08T18:03:27+00:00,2024-05-08T18:03:27+00:00
34509,11302000028,232666666.60,20,2024,2024-05-15T18:20:08+00:00,2024-05-15T18:20:08+00:00
46958,11302000028,249999999.50,23,2024,2024-06-06T20:46:24+00:00,2024-06-06T20:46:24+00:00
51126,11302000028,249999999.50,24,2024,2024-06-14T10:59:05+00:00,2024-06-14T10:59:05+00:00
63623,11302000028,460000000.00,27,2024,2024-07-05T19:30:12+00:00,2024-07-05T19:30:12+00:00
67801,11302000028,460000000.00,28,2024,2024-07-11T08:55:53+00:00,2024-07-11T08:55:53+00:00
71980,11302000028,580000000.00,29,2024,2024-07-21T13:28:06+00:00,2024-07-21T13:28:06+00:00
76246,11302000028,580000000.00,30,2024,2024-07-26T16:28:23+00:00,2024-07-26T16:28:23+00:00
80506,11302000028,312142857.14,32,2024,2024-08-07T20:18:37+00:00,2024-08-09T14:31:23+00:00
84796,11302000028,320000000.00,35,2024,2024-08-30T14:15:31+00:00,2024-08-30T14:15:31+00:00
102019,11302000028,620000000.00,41,2024,2024-10-11T17:05:52+00:00,2024-10-11T17:05:52+00:00
106257,11302000028,479950000.00,44,2024,2024-11-03T16:44:36+00:00,2024-11-03T16:44:36+00:00
110545,11302000028,425000000.00,47,2024,2024-11-20T11:38:30+00:00,2024-11-20T11:38:30+00:00
118980,11302000028,361120000.00,51,2024,2024-12-18T12:33:10+00:00,2024-12-18T12:33:10+00:00
123189,11302000028,348672000.00,1,2025,2025-01-01T20:10:55+00:00,2025-01-01T20:10:55+00:00
127370,11302000028,231666666.67,3,2025,2025-01-15T21:05:54+00:00,2025-01-15T21:05:54+00:00
131645,11302000028,231666666.67,6,2025,2025-02-04T20:21:29+00:00,2025-02-04T20:21:29+00:00
135929,11302000028,215384593.92,10,2025,2025-03-03T17:23:16+00:00,2025-03-03T17:23:16+00:00
140452,11302000028,223076901.54,11,2025,2025-03-12T11:02:20+00:00,2025-03-12T11:02:20+00:00
144975,11302000028,176666666.33,13,2025,2025-03-26T16:27:34+00:00,2025-03-26T16:27:34+00:00
149462,11302000028,318888888.89,15,2025,2025-04-09T13:34:44+00:00,2025-04-09T13:34:44+00:00
154010,11302000028,369743213.93,17,2025,2025-04-23T12:05:31+00:00,2025-04-23T12:05:31+00:00
158481,11302000028,293466666.67,19,2025,2025-05-07T13:04:36+00:00,2025-05-07T13:04:36+00:00
162958,11302000028,132400003.00,21,2025,2025-05-21T19:48:14+00:00,2025-05-21T19:48:14+00:00
167478,11302000028,340000001.20,23,2025,2025-06-04T11:19:33+00:00,2025-06-04T11:19:33+00:00
171876,11302000028,544285714.29,25,2025,2025-06-18T11:54:50+00:00,2025-06-18T11:54:50+00:00
176460,11302000028,571980000.00,26,2025,2025-06-25T17:26:26+00:00,2025-06-25T17:26:26+00:00
180906,11302000028,364300000.00,28,2025,2025-07-09T13:04:15+00:00,2025-07-09T13:04:15+00:00
185347,11302000028,286142856.86,30,2025,2025-07-23T20:39:03+00:00,2025-07-23T20:39:03+00:00
189751,11302000028,286142856.86,32,2025,2025-08-06T13:26:37+00:00,2025-08-06T13:26:37+00:00
189752,11302000028,188357142.86,36,2025,2025-09-02T09:17:13+00:00,2025-09-02T09:17:13+00:00
189753,11302000028,253999999.50,37,2025,2025-09-10T21:55:24+00:00,2025-09-10T21:55:24+00:00
189754,11302000028,398571427.86,39,2025,2025-09-24T16:16:38+00:00,2025-09-24T16:16:38+00:00
