id,item_id,price,week,year,date_created,date_updated
4007,11300200013,3681972.36,11,2024,2024-03-17T14:21:04+00:00,2024-03-17T14:21:04+00:00
4986,11300200013,3191065.76,13,2024,2024-03-25T15:23:27+00:00,2024-03-27T11:12:58+00:00
9452,11300200013,3191065.76,14,2024,2024-04-03T10:44:39+00:00,2024-04-03T10:44:39+00:00
13572,11300200013,4901010.10,15,2024,2024-04-10T12:44:21+00:00,2024-04-10T12:44:21+00:00
17781,11300200013,4901010.10,16,2024,2024-04-17T11:27:42+00:00,2024-04-17T11:27:42+00:00
21991,11300200013,8578770.05,17,2024,2024-04-24T19:28:11+00:00,2024-04-24T19:28:11+00:00
26166,11300200013,8578770.05,18,2024,2024-05-01T10:42:05+00:00,2024-05-01T10:42:05+00:00
30336,11300200013,8933338.31,19,2024,2024-05-08T18:03:26+00:00,2024-05-08T18:03:26+00:00
34476,11300200013,8933338.31,20,2024,2024-05-15T18:20:07+00:00,2024-05-15T18:20:07+00:00
38625,11300200013,9676523.30,21,2024,2024-05-22T14:11:59+00:00,2024-05-22T14:11:59+00:00
42781,11300200013,9676523.30,22,2024,2024-05-30T22:16:10+00:00,2024-05-30T22:16:10+00:00
46924,11300200013,10330060.99,23,2024,2024-06-06T20:46:22+00:00,2024-06-06T20:46:22+00:00
51092,11300200013,10330060.99,24,2024,2024-06-14T10:59:04+00:00,2024-06-14T10:59:04+00:00
55268,11300200013,10492258.05,25,2024,2024-06-19T19:42:41+00:00,2024-06-19T19:42:41+00:00
59425,11300200013,10492258.05,26,2024,2024-06-26T13:24:47+00:00,2024-06-26T13:24:47+00:00
63589,11300200013,10478827.99,27,2024,2024-07-05T19:30:11+00:00,2024-07-05T19:30:11+00:00
67767,11300200013,10478827.99,28,2024,2024-07-11T08:55:52+00:00,2024-07-11T08:55:52+00:00
71947,11300200013,7969792.31,29,2024,2024-07-21T13:28:05+00:00,2024-07-21T13:28:05+00:00
76213,11300200013,7969792.31,30,2024,2024-07-26T16:28:22+00:00,2024-07-26T16:28:22+00:00
80474,11300200013,8122614.23,32,2024,2024-08-07T20:18:36+00:00,2024-08-09T14:31:22+00:00
84764,11300200013,6583398.04,35,2024,2024-08-30T14:15:30+00:00,2024-08-30T14:15:30+00:00
89051,11300200013,6413220.89,37,2024,2024-09-11T14:22:11+00:00,2024-09-11T14:22:11+00:00
93370,11300200013,6413220.89,38,2024,2024-09-18T15:00:20+00:00,2024-09-18T15:00:20+00:00
97696,11300200013,7138904.84,39,2024,2024-09-25T12:11:35+00:00,2024-09-25T12:11:35+00:00
101985,11300200013,8355091.69,41,2024,2024-10-11T17:05:50+00:00,2024-10-11T17:05:50+00:00
106223,11300200013,8508735.15,44,2024,2024-11-03T16:44:34+00:00,2024-11-03T16:44:34+00:00
110511,11300200013,7907808.65,47,2024,2024-11-20T11:38:27+00:00,2024-11-20T11:38:27+00:00
114716,11300200013,7115936.86,50,2024,2024-12-11T16:49:26+00:00,2024-12-11T16:49:26+00:00
118946,11300200013,7958942.14,51,2024,2024-12-18T12:33:08+00:00,2024-12-18T12:33:08+00:00
123155,11300200013,8425769.76,1,2025,2025-01-01T20:10:53+00:00,2025-01-01T20:10:53+00:00
127337,11300200013,8152893.79,3,2025,2025-01-15T21:05:53+00:00,2025-01-15T21:05:53+00:00
131612,11300200013,8152893.79,6,2025,2025-02-04T20:21:27+00:00,2025-02-04T20:21:27+00:00
135895,11300200013,8186606.99,10,2025,2025-03-03T17:23:15+00:00,2025-03-03T17:23:15+00:00
140415,11300200013,9437898.65,11,2025,2025-03-12T11:02:19+00:00,2025-03-12T11:02:19+00:00
144938,11300200013,9950583.02,13,2025,2025-03-26T16:27:33+00:00,2025-03-26T16:27:33+00:00
149425,11300200013,11002245.55,15,2025,2025-04-09T13:34:41+00:00,2025-04-09T13:34:41+00:00
153973,11300200013,12088125.65,17,2025,2025-04-23T12:05:29+00:00,2025-04-23T12:05:29+00:00
158444,11300200013,11359010.63,19,2025,2025-05-07T13:04:34+00:00,2025-05-07T13:04:34+00:00
162922,11300200013,10854170.45,21,2025,2025-05-21T19:48:12+00:00,2025-05-21T19:48:12+00:00
167442,11300200013,9945380.10,23,2025,2025-06-04T11:19:30+00:00,2025-06-04T11:19:30+00:00
171839,11300200013,9701654.32,25,2025,2025-06-18T11:54:48+00:00,2025-06-18T11:54:48+00:00
176423,11300200013,10032025.82,26,2025,2025-06-25T17:26:24+00:00,2025-06-25T17:26:24+00:00
180869,11300200013,11917338.46,28,2025,2025-07-09T13:04:11+00:00,2025-07-09T13:04:11+00:00
185310,11300200013,12289628.76,30,2025,2025-07-23T20:39:01+00:00,2025-07-23T20:39:01+00:00
189714,11300200013,12289628.76,32,2025,2025-08-06T13:26:30+00:00,2025-08-06T13:26:30+00:00
189715,11300200013,14116065.43,36,2025,2025-09-02T09:17:11+00:00,2025-09-02T09:17:11+00:00
189716,11300200013,15006003.55,37,2025,2025-09-10T21:55:20+00:00,2025-09-10T21:55:20+00:00
