id,item_id,price,week,year,date_created,date_updated
145205,11347000020,384285714.29,13,2025,2025-03-26T16:27:46+00:00,2025-03-26T16:27:46+00:00
149688,11347000020,492333333.33,15,2025,2025-04-09T13:35:08+00:00,2025-04-09T13:35:08+00:00
154234,11347000020,603225806.45,17,2025,2025-04-23T12:05:42+00:00,2025-04-23T12:05:42+00:00
158712,11347000020,744666666.60,19,2025,2025-05-07T13:04:48+00:00,2025-05-07T13:04:48+00:00
163191,11347000020,547447450.59,21,2025,2025-05-21T19:48:25+00:00,2025-05-21T19:48:25+00:00
167705,11347000020,457658112.98,23,2025,2025-06-04T11:19:44+00:00,2025-06-04T11:19:44+00:00
172106,11347000020,418060605.55,25,2025,2025-06-18T11:55:04+00:00,2025-06-18T11:55:04+00:00
176684,11347000020,395407406.56,26,2025,2025-06-25T17:26:37+00:00,2025-06-25T17:26:37+00:00
181135,11347000020,275161289.85,28,2025,2025-07-09T13:04:38+00:00,2025-07-09T13:04:38+00:00
185580,11347000020,332352940.47,30,2025,2025-07-23T20:39:15+00:00,2025-07-23T20:39:15+00:00
189984,11347000020,332352940.47,32,2025,2025-08-06T13:27:20+00:00,2025-08-06T13:27:20+00:00
189985,11347000020,406734693.31,36,2025,2025-09-02T09:17:26+00:00,2025-09-02T09:17:26+00:00
189986,11347000020,460447761.19,37,2025,2025-09-10T21:55:45+00:00,2025-09-10T21:55:45+00:00
189987,11347000020,483968253.97,39,2025,2025-09-24T16:16:50+00:00,2025-09-24T16:16:50+00:00
