id,item_id,price,week,year,date_created,date_updated
145202,11347000017,349666712.44,13,2025,2025-03-26T16:27:46+00:00,2025-03-26T16:27:46+00:00
149685,11347000017,535999999.35,15,2025,2025-04-09T13:35:08+00:00,2025-04-09T13:35:08+00:00
154232,11347000017,548555555.67,17,2025,2025-04-23T12:05:42+00:00,2025-04-23T12:05:42+00:00
158709,11347000017,423416666.75,19,2025,2025-05-07T13:04:47+00:00,2025-05-07T13:04:47+00:00
163188,11347000017,394323076.92,21,2025,2025-05-21T19:48:25+00:00,2025-05-21T19:48:25+00:00
167702,11347000017,415030630.67,23,2025,2025-06-04T11:19:44+00:00,2025-06-04T11:19:44+00:00
172103,11347000017,404800360.40,25,2025,2025-06-18T11:55:03+00:00,2025-06-18T11:55:03+00:00
176681,11347000017,365900000.00,26,2025,2025-06-25T17:26:37+00:00,2025-06-25T17:26:37+00:00
181132,11347000017,414615384.08,28,2025,2025-07-09T13:04:38+00:00,2025-07-09T13:04:38+00:00
185577,11347000017,336206895.03,30,2025,2025-07-23T20:39:15+00:00,2025-07-23T20:39:15+00:00
189981,11347000017,336206895.03,32,2025,2025-08-06T13:27:20+00:00,2025-08-06T13:27:20+00:00
189982,11347000017,405710571.43,36,2025,2025-09-02T09:17:26+00:00,2025-09-02T09:17:26+00:00
