id,item_id,price,week,year,date_created,date_updated
33457,80503801240,15000000.00,19,2024,2024-05-08T18:05:42+00:00,2024-05-08T18:05:42+00:00
37597,80503801240,15000000.00,20,2024,2024-05-15T18:22:24+00:00,2024-05-15T18:22:24+00:00
41776,80503801240,15000000.00,21,2024,2024-05-22T14:14:20+00:00,2024-05-22T14:14:20+00:00
45932,80503801240,15000000.00,22,2024,2024-05-30T22:18:38+00:00,2024-05-30T22:18:38+00:00
66753,80503801240,15000000.00,27,2024,2024-07-05T19:32:46+00:00,2024-07-05T19:32:46+00:00
70931,80503801240,15000000.00,28,2024,2024-07-11T08:58:25+00:00,2024-07-11T08:58:25+00:00
83683,80503801240,2500000.00,32,2024,2024-08-07T20:21:20+00:00,2024-08-09T14:34:02+00:00
87985,80503801240,2500000.00,35,2024,2024-08-30T14:18:15+00:00,2024-08-30T14:18:15+00:00
105181,80503801240,2500000.00,41,2024,2024-10-11T17:11:13+00:00,2024-10-11T17:11:13+00:00
109470,80503801240,1253337.00,44,2024,2024-11-03T16:48:24+00:00,2024-11-03T16:48:24+00:00
161855,80503801240,2500000.00,19,2025,2025-05-07T13:08:49+00:00,2025-05-07T13:08:49+00:00
161856,80503801240,1275000.00,26,2025,2025-06-25T17:30:42+00:00,2025-06-25T17:30:42+00:00
161857,80503801240,2500000.00,28,2025,2025-07-09T13:13:06+00:00,2025-07-09T13:13:06+00:00
