id,item_id,price,week,year,date_created,date_updated
33531,80555802950,5000000.00,19,2024,2024-05-08T18:05:47+00:00,2024-05-08T18:05:47+00:00
37671,80555802950,5000000.00,20,2024,2024-05-15T18:22:29+00:00,2024-05-15T18:22:29+00:00
58467,80555802950,158525454.00,25,2024,2024-06-19T19:45:08+00:00,2024-06-19T19:45:08+00:00
62624,80555802950,158525454.00,26,2024,2024-06-26T13:27:27+00:00,2024-06-26T13:27:27+00:00
83753,80555802950,40000000.00,32,2024,2024-08-07T20:21:25+00:00,2024-08-09T14:34:07+00:00
88050,80555802950,437500000.00,35,2024,2024-08-30T14:18:22+00:00,2024-08-30T14:18:22+00:00
92370,80555802950,212500000.00,37,2024,2024-09-11T14:25:09+00:00,2024-09-11T14:25:09+00:00
96689,80555802950,212500000.00,38,2024,2024-09-18T15:03:14+00:00,2024-09-18T15:03:14+00:00
101006,80555802950,289600000.00,39,2024,2024-09-25T12:14:39+00:00,2024-09-25T12:14:39+00:00
105242,80555802950,283329983.33,41,2024,2024-10-11T17:11:21+00:00,2024-10-11T17:11:21+00:00
117962,80555802950,200000000.00,50,2024,2024-12-11T16:53:42+00:00,2024-12-11T16:53:42+00:00
161902,80555802950,200000000.00,19,2025,2025-05-07T13:08:54+00:00,2025-05-07T13:08:54+00:00
166419,80555802950,150000000.00,21,2025,2025-05-21T19:52:43+00:00,2025-05-21T19:52:43+00:00
184314,80555802950,90000000.00,28,2025,2025-07-09T13:13:14+00:00,2025-07-09T13:13:14+00:00
184315,80555802950,1.00,43,2025,2025-10-22T17:37:04+00:00,2025-10-22T17:37:04+00:00
