id,item_id,price,week,year,date_created,date_updated
3554,80504601360,2333333.33,11,2024,2024-03-17T14:20:34+00:00,2024-03-17T14:20:34+00:00
8614,80504601360,2000000.00,13,2024,2024-03-27T11:15:04+00:00,2024-03-27T11:15:04+00:00
12549,80504601360,2000000.00,14,2024,2024-04-03T10:46:55+00:00,2024-04-03T10:46:55+00:00
25161,80504601360,1966666.67,17,2024,2024-04-24T19:30:36+00:00,2024-04-24T19:30:36+00:00
29336,80504601360,1966666.67,18,2024,2024-05-01T10:44:25+00:00,2024-05-01T10:44:25+00:00
33476,80504601360,5300000.00,19,2024,2024-05-08T18:05:44+00:00,2024-05-08T18:05:44+00:00
37616,80504601360,5300000.00,20,2024,2024-05-15T18:22:26+00:00,2024-05-15T18:22:26+00:00
50109,80504601360,1799999.00,23,2024,2024-06-06T20:48:52+00:00,2024-06-06T20:48:52+00:00
54277,80504601360,1799999.00,24,2024,2024-06-14T11:01:46+00:00,2024-06-14T11:01:46+00:00
75178,80504601360,10000000.00,29,2024,2024-07-21T13:30:46+00:00,2024-07-21T13:30:46+00:00
79444,80504601360,10000000.00,30,2024,2024-07-26T16:31:06+00:00,2024-07-26T16:31:06+00:00
83699,80504601360,8375000.00,32,2024,2024-08-07T20:21:21+00:00,2024-08-09T14:34:03+00:00
87999,80504601360,2000000.00,35,2024,2024-08-30T14:18:17+00:00,2024-08-30T14:18:17+00:00
92317,80504601360,2000000.00,37,2024,2024-09-11T14:25:05+00:00,2024-09-11T14:25:05+00:00
96636,80504601360,2000000.00,38,2024,2024-09-18T15:03:10+00:00,2024-09-18T15:03:10+00:00
100952,80504601360,1999999.75,39,2024,2024-09-25T12:14:35+00:00,2024-09-25T12:14:35+00:00
105190,80504601360,1919999.80,41,2024,2024-10-11T17:11:14+00:00,2024-10-11T17:11:14+00:00
109478,80504601360,2000000.00,44,2024,2024-11-03T16:48:25+00:00,2024-11-03T16:48:25+00:00
113698,80504601360,2000000.00,47,2024,2024-11-20T11:42:43+00:00,2024-11-20T11:42:43+00:00
117907,80504601360,1272727.27,50,2024,2024-12-11T16:53:36+00:00,2024-12-11T16:53:36+00:00
126320,80504601360,999998.17,1,2025,2025-01-01T20:14:53+00:00,2025-01-01T20:14:53+00:00
130607,80504601360,1333333.00,3,2025,2025-01-15T21:10:39+00:00,2025-01-15T21:10:39+00:00
134882,80504601360,1333333.00,6,2025,2025-02-04T20:28:57+00:00,2025-02-04T20:28:57+00:00
143878,80504601360,2000000.00,11,2025,2025-03-12T11:06:53+00:00,2025-03-12T11:06:53+00:00
152922,80504601360,1987500.00,15,2025,2025-04-09T13:40:45+00:00,2025-04-09T13:40:45+00:00
157397,80504601360,2600000.00,17,2025,2025-04-23T12:09:42+00:00,2025-04-23T12:09:42+00:00
161859,80504601360,1999999.75,19,2025,2025-05-07T13:08:49+00:00,2025-05-07T13:08:49+00:00
166375,80504601360,2000000.00,21,2025,2025-05-21T19:52:39+00:00,2025-05-21T19:52:39+00:00
166376,80504601360,260592592.33,25,2025,2025-06-18T11:59:16+00:00,2025-06-18T11:59:16+00:00
166377,80504601360,195944444.25,26,2025,2025-06-25T17:30:43+00:00,2025-06-25T17:30:43+00:00
