id,item_id,price,week,year,date_created,date_updated
4140,80502300650,4200000.00,11,2024,2024-03-17T14:21:16+00:00,2024-03-17T14:21:16+00:00
8181,80502300650,4200000.00,13,2024,2024-03-25T15:25:46+00:00,2024-03-27T11:15:03+00:00
12540,80502300650,4200000.00,14,2024,2024-04-03T10:46:55+00:00,2024-04-03T10:46:55+00:00
25148,80502300650,77777777.00,17,2024,2024-04-24T19:30:35+00:00,2024-04-24T19:30:35+00:00
29323,80502300650,77777777.00,18,2024,2024-05-01T10:44:24+00:00,2024-05-01T10:44:24+00:00
33451,80502300650,55555680.00,19,2024,2024-05-08T18:05:42+00:00,2024-05-08T18:05:42+00:00
37591,80502300650,55555680.00,20,2024,2024-05-15T18:22:24+00:00,2024-05-15T18:22:24+00:00
50099,80502300650,37500250.00,23,2024,2024-06-06T20:48:51+00:00,2024-06-06T20:48:51+00:00
54267,80502300650,37500250.00,24,2024,2024-06-14T11:01:45+00:00,2024-06-14T11:01:45+00:00
66748,80502300650,500.00,27,2024,2024-07-05T19:32:45+00:00,2024-07-05T19:32:45+00:00
70926,80502300650,500.00,28,2024,2024-07-11T08:58:25+00:00,2024-07-11T08:58:25+00:00
83672,80502300650,500.00,32,2024,2024-08-07T20:21:19+00:00,2024-08-09T14:34:01+00:00
87979,80502300650,6666916.67,35,2024,2024-08-30T14:18:15+00:00,2024-08-30T14:18:15+00:00
126312,80502300650,67333333.33,1,2025,2025-01-01T20:14:52+00:00,2025-01-01T20:14:52+00:00
130600,80502300650,67333333.33,3,2025,2025-01-15T21:10:38+00:00,2025-01-15T21:10:38+00:00
134875,80502300650,67333333.33,6,2025,2025-02-04T20:28:54+00:00,2025-02-04T20:28:54+00:00
143875,80502300650,500.00,11,2025,2025-03-12T11:06:53+00:00,2025-03-12T11:06:53+00:00
152902,80502300650,10000166.67,15,2025,2025-04-09T13:40:43+00:00,2025-04-09T13:40:43+00:00
