id,item_id,price,week,year,date_created,date_updated
16808,80519301770,49950000.00,15,2024,2024-04-10T12:46:51+00:00,2024-04-10T12:46:51+00:00
21017,80519301770,49950000.00,16,2024,2024-04-17T11:30:14+00:00,2024-04-17T11:30:14+00:00
66783,80519301770,1750000000.00,27,2024,2024-07-05T19:32:48+00:00,2024-07-05T19:32:48+00:00
70961,80519301770,1750000000.00,28,2024,2024-07-11T08:58:28+00:00,2024-07-11T08:58:28+00:00
113717,80519301770,31788194.00,47,2024,2024-11-20T11:42:45+00:00,2024-11-20T11:42:45+00:00
126342,80519301770,35000000.00,1,2025,2025-01-01T20:14:55+00:00,2025-01-01T20:14:55+00:00
152943,80519301770,25000000.00,15,2025,2025-04-09T13:40:47+00:00,2025-04-09T13:40:47+00:00
166389,80519301770,1000000.00,21,2025,2025-05-21T19:52:40+00:00,2025-05-21T19:52:40+00:00
188709,80519301770,50000000.00,30,2025,2025-07-23T20:43:20+00:00,2025-07-23T20:43:20+00:00
193113,80519301770,50000000.00,32,2025,2025-08-06T13:32:27+00:00,2025-08-06T13:32:27+00:00
