id,item_id,price,week,year,date_created,date_updated
2942,80519301390,77343750.00,11,2024,2024-03-17T14:19:57+00:00,2024-03-17T14:19:57+00:00
8626,80519301390,64500000.00,13,2024,2024-03-27T11:15:05+00:00,2024-03-27T11:15:05+00:00
12577,80519301390,64500000.00,14,2024,2024-04-03T10:46:57+00:00,2024-04-03T10:46:57+00:00
33502,80519301390,30000000.00,19,2024,2024-05-08T18:05:45+00:00,2024-05-08T18:05:45+00:00
37642,80519301390,30000000.00,20,2024,2024-05-15T18:22:27+00:00,2024-05-15T18:22:27+00:00
109493,80519301390,48000000.00,44,2024,2024-11-03T16:48:26+00:00,2024-11-03T16:48:26+00:00
113715,80519301390,46763888.11,47,2024,2024-11-20T11:42:45+00:00,2024-11-20T11:42:45+00:00
117927,80519301390,40136363.09,50,2024,2024-12-11T16:53:38+00:00,2024-12-11T16:53:38+00:00
126339,80519301390,39259259.00,1,2025,2025-01-01T20:14:55+00:00,2025-01-01T20:14:55+00:00
130622,80519301390,31555555.40,3,2025,2025-01-15T21:10:42+00:00,2025-01-15T21:10:42+00:00
134897,80519301390,31555555.40,6,2025,2025-02-04T20:29:00+00:00,2025-02-04T20:29:00+00:00
139378,80519301390,29600000.00,10,2025,2025-03-03T17:27:40+00:00,2025-03-03T17:27:40+00:00
143893,80519301390,38599999.60,11,2025,2025-03-12T11:06:55+00:00,2025-03-12T11:06:55+00:00
148383,80519301390,29079999.80,13,2025,2025-03-26T16:31:57+00:00,2025-03-26T16:31:57+00:00
152942,80519301390,42797221.78,15,2025,2025-04-09T13:40:47+00:00,2025-04-09T13:40:47+00:00
157407,80519301390,44137499.60,17,2025,2025-04-23T12:09:43+00:00,2025-04-23T12:09:43+00:00
166386,80519301390,26666666.67,21,2025,2025-05-21T19:52:40+00:00,2025-05-21T19:52:40+00:00
