id,item_id,price,week,year,date_created,date_updated
3163,80519603460,70000000.00,11,2024,2024-03-17T14:20:11+00:00,2024-03-17T14:20:11+00:00
8225,80519603460,71000000.00,13,2024,2024-03-25T15:25:49+00:00,2024-03-25T15:25:49+00:00
16813,80519603460,24000200.00,15,2024,2024-04-10T12:46:52+00:00,2024-04-10T12:46:52+00:00
21022,80519603460,24000200.00,16,2024,2024-04-17T11:30:15+00:00,2024-04-17T11:30:15+00:00
25189,80519603460,59999600.00,17,2024,2024-04-24T19:30:38+00:00,2024-04-24T19:30:38+00:00
29364,80519603460,59999600.00,18,2024,2024-05-01T10:44:27+00:00,2024-05-01T10:44:27+00:00
33508,80519603460,88571142.86,19,2024,2024-05-08T18:05:46+00:00,2024-05-08T18:05:46+00:00
37648,80519603460,88571142.86,20,2024,2024-05-15T18:22:28+00:00,2024-05-15T18:22:28+00:00
41801,80519603460,105800000.00,21,2024,2024-05-22T14:14:22+00:00,2024-05-22T14:14:22+00:00
45957,80519603460,105800000.00,22,2024,2024-05-30T22:18:40+00:00,2024-05-30T22:18:40+00:00
58441,80519603460,68999000.00,25,2024,2024-06-19T19:45:06+00:00,2024-06-19T19:45:06+00:00
62598,80519603460,68999000.00,26,2024,2024-06-26T13:27:25+00:00,2024-06-26T13:27:25+00:00
66786,80519603460,65749000.00,27,2024,2024-07-05T19:32:48+00:00,2024-07-05T19:32:48+00:00
70964,80519603460,65749000.00,28,2024,2024-07-11T08:58:28+00:00,2024-07-11T08:58:28+00:00
75209,80519603460,62499857.14,29,2024,2024-07-21T13:30:48+00:00,2024-07-21T13:30:48+00:00
79475,80519603460,62499857.14,30,2024,2024-07-26T16:31:09+00:00,2024-07-26T16:31:09+00:00
83717,80519603460,100666777.78,32,2024,2024-08-07T20:21:23+00:00,2024-08-09T14:34:05+00:00
100977,80519603460,37500000.00,39,2024,2024-09-25T12:14:37+00:00,2024-09-25T12:14:37+00:00
105218,80519603460,39500000.00,41,2024,2024-10-11T17:11:18+00:00,2024-10-11T17:11:18+00:00
109508,80519603460,48750000.00,44,2024,2024-11-03T16:48:28+00:00,2024-11-03T16:48:28+00:00
117944,80519603460,50000000.00,50,2024,2024-12-11T16:53:40+00:00,2024-12-11T16:53:40+00:00
122179,80519603460,67916666.33,51,2024,2024-12-18T12:37:26+00:00,2024-12-18T12:37:26+00:00
126353,80519603460,68749999.83,1,2025,2025-01-01T20:14:56+00:00,2025-01-01T20:14:56+00:00
148394,80519603460,100000000.00,13,2025,2025-03-26T16:31:58+00:00,2025-03-26T16:31:58+00:00
166407,80519603460,88333333.33,21,2025,2025-05-21T19:52:42+00:00,2025-05-21T19:52:42+00:00
