id,item_id,price,week,year,date_created,date_updated
1400,10500000202,329317647.06,11,2024,2024-03-17T14:18:55+00:00,2024-03-17T14:18:55+00:00
4459,10500000202,342025000.00,13,2024,2024-03-25T15:23:19+00:00,2024-03-27T11:12:51+00:00
8933,10500000202,342025000.00,14,2024,2024-04-03T10:44:31+00:00,2024-04-03T10:44:31+00:00
13054,10500000202,355624999.56,15,2024,2024-04-10T12:44:12+00:00,2024-04-10T12:44:12+00:00
17263,10500000202,355624999.56,16,2024,2024-04-17T11:27:33+00:00,2024-04-17T11:27:33+00:00
21475,10500000202,428177105.60,17,2024,2024-04-24T19:28:03+00:00,2024-04-24T19:28:03+00:00
25650,10500000202,428177105.60,18,2024,2024-05-01T10:41:56+00:00,2024-05-01T10:41:56+00:00
29819,10500000202,485019607.31,19,2024,2024-05-08T18:03:17+00:00,2024-05-08T18:03:17+00:00
33959,10500000202,485019607.31,20,2024,2024-05-15T18:19:58+00:00,2024-05-15T18:19:58+00:00
38097,10500000202,407323943.07,21,2024,2024-05-22T14:11:49+00:00,2024-05-22T14:11:49+00:00
42253,10500000202,407323943.07,22,2024,2024-05-30T22:16:01+00:00,2024-05-30T22:16:01+00:00
46408,10500000202,423396226.13,23,2024,2024-06-06T20:46:11+00:00,2024-06-06T20:46:11+00:00
50576,10500000202,423396226.13,24,2024,2024-06-14T10:58:54+00:00,2024-06-14T10:58:54+00:00
54748,10500000202,381818181.51,25,2024,2024-06-19T19:42:32+00:00,2024-06-19T19:42:32+00:00
58905,10500000202,381818181.51,26,2024,2024-06-26T13:24:37+00:00,2024-06-26T13:24:37+00:00
63067,10500000202,393972602.74,27,2024,2024-07-05T19:30:00+00:00,2024-07-05T19:30:00+00:00
67245,10500000202,393972602.74,28,2024,2024-07-11T08:55:41+00:00,2024-07-11T08:55:41+00:00
71419,10500000202,356469879.52,29,2024,2024-07-21T13:27:54+00:00,2024-07-21T13:27:54+00:00
75685,10500000202,356469879.52,30,2024,2024-07-26T16:28:11+00:00,2024-07-26T16:28:11+00:00
79947,10500000202,360987804.88,32,2024,2024-08-07T20:18:25+00:00,2024-08-09T14:31:11+00:00
84233,10500000202,325411764.41,35,2024,2024-08-30T14:15:19+00:00,2024-08-30T14:15:19+00:00
88508,10500000202,380460525.99,37,2024,2024-09-11T14:21:58+00:00,2024-09-11T14:21:58+00:00
92827,10500000202,380460525.99,38,2024,2024-09-18T15:00:08+00:00,2024-09-18T15:00:08+00:00
97154,10500000202,362472972.55,39,2024,2024-09-25T12:11:20+00:00,2024-09-25T12:11:20+00:00
101443,10500000202,405946397.38,41,2024,2024-10-11T17:05:18+00:00,2024-10-11T17:05:18+00:00
105689,10500000202,430235293.79,44,2024,2024-11-03T16:44:14+00:00,2024-11-03T16:44:14+00:00
109977,10500000202,409714285.40,47,2024,2024-11-20T11:37:56+00:00,2024-11-20T11:37:56+00:00
114182,10500000202,445302770.67,50,2024,2024-12-11T16:49:03+00:00,2024-12-11T16:49:03+00:00
118401,10500000202,481930882.35,51,2024,2024-12-18T12:32:45+00:00,2024-12-18T12:32:45+00:00
122615,10500000202,464519701.36,1,2025,2025-01-01T20:10:22+00:00,2025-01-01T20:10:22+00:00
126795,10500000202,531807692.31,3,2025,2025-01-15T21:05:29+00:00,2025-01-15T21:05:29+00:00
131070,10500000202,531807692.31,6,2025,2025-02-04T20:20:42+00:00,2025-02-04T20:20:42+00:00
135339,10500000202,388955223.60,10,2025,2025-03-03T17:22:51+00:00,2025-03-03T17:22:51+00:00
139846,10500000202,360750000.00,11,2025,2025-03-12T11:01:54+00:00,2025-03-12T11:01:54+00:00
144359,10500000202,322665887.07,13,2025,2025-03-26T16:27:07+00:00,2025-03-26T16:27:07+00:00
148842,10500000202,362737701.35,15,2025,2025-04-09T13:33:53+00:00,2025-04-09T13:33:53+00:00
153393,10500000202,384472739.84,17,2025,2025-04-23T12:05:01+00:00,2025-04-23T12:05:01+00:00
157852,10500000202,450740586.81,19,2025,2025-05-07T13:04:06+00:00,2025-05-07T13:04:06+00:00
162340,10500000202,408500175.93,21,2025,2025-05-21T19:47:46+00:00,2025-05-21T19:47:46+00:00
166854,10500000202,450782984.38,23,2025,2025-06-04T11:19:04+00:00,2025-06-04T11:19:04+00:00
171245,10500000202,358639640.72,25,2025,2025-06-18T11:53:58+00:00,2025-06-18T11:53:58+00:00
175817,10500000202,371924189.36,26,2025,2025-06-25T17:25:56+00:00,2025-06-25T17:25:56+00:00
180275,10500000202,420250000.00,28,2025,2025-07-09T13:03:22+00:00,2025-07-09T13:03:22+00:00
184709,10500000202,440875742.06,30,2025,2025-07-23T20:38:36+00:00,2025-07-23T20:38:36+00:00
189113,10500000202,440875742.06,32,2025,2025-08-06T13:24:38+00:00,2025-08-06T13:24:38+00:00
189114,10500000202,406229969.73,36,2025,2025-09-02T09:16:43+00:00,2025-09-02T09:16:43+00:00
189115,10500000202,429000000.00,37,2025,2025-09-10T21:54:32+00:00,2025-09-10T21:54:32+00:00
189116,10500000202,501388888.89,39,2025,2025-09-24T16:16:09+00:00,2025-09-24T16:16:09+00:00
189117,10500000202,457638888.67,43,2025,2025-10-22T17:32:43+00:00,2025-10-22T17:32:43+00:00
