id,item_id,price,week,year,date_created,date_updated
1108,10300000216,852244443.20,11,2024,2024-03-17T14:18:47+00:00,2024-03-17T14:18:47+00:00
4364,10300000216,734749999.25,13,2024,2024-03-25T15:23:17+00:00,2024-03-25T15:23:17+00:00
21378,10300000216,896400399.20,17,2024,2024-04-24T19:28:02+00:00,2024-04-24T19:28:02+00:00
25553,10300000216,896400399.20,18,2024,2024-05-01T10:41:55+00:00,2024-05-01T10:41:55+00:00
38003,10300000216,975000000.00,21,2024,2024-05-22T14:11:48+00:00,2024-05-22T14:11:48+00:00
42159,10300000216,975000000.00,22,2024,2024-05-30T22:16:00+00:00,2024-05-30T22:16:00+00:00
46314,10300000216,942857142.43,23,2024,2024-06-06T20:46:10+00:00,2024-06-06T20:46:10+00:00
50482,10300000216,942857142.43,24,2024,2024-06-14T10:58:53+00:00,2024-06-14T10:58:53+00:00
54650,10300000216,889114285.29,25,2024,2024-06-19T19:42:30+00:00,2024-06-19T19:42:30+00:00
58807,10300000216,889114285.29,26,2024,2024-06-26T13:24:35+00:00,2024-06-26T13:24:35+00:00
62971,10300000216,757799999.50,27,2024,2024-07-05T19:29:59+00:00,2024-07-05T19:29:59+00:00
67149,10300000216,757799999.50,28,2024,2024-07-11T08:55:40+00:00,2024-07-11T08:55:40+00:00
71323,10300000216,683636362.64,29,2024,2024-07-21T13:27:53+00:00,2024-07-21T13:27:53+00:00
75589,10300000216,683636362.64,30,2024,2024-07-26T16:28:09+00:00,2024-07-26T16:28:09+00:00
79854,10300000216,680999999.38,32,2024,2024-08-07T20:18:23+00:00,2024-08-09T14:31:10+00:00
84137,10300000216,537818181.36,35,2024,2024-08-30T12:14:18+00:00,2024-08-30T14:15:17+00:00
88415,10300000216,514999999.80,37,2024,2024-09-11T14:21:56+00:00,2024-09-11T14:21:56+00:00
92734,10300000216,514999999.80,38,2024,2024-09-18T15:00:06+00:00,2024-09-18T15:00:06+00:00
97058,10300000216,744700867.80,39,2024,2024-09-25T12:11:19+00:00,2024-09-25T12:11:19+00:00
101351,10300000216,731857111.16,41,2024,2024-10-11T17:05:12+00:00,2024-10-11T17:05:12+00:00
105593,10300000216,821428571.07,44,2024,2024-11-03T16:44:10+00:00,2024-11-03T16:44:10+00:00
109881,10300000216,854545313.09,47,2024,2024-11-20T11:37:52+00:00,2024-11-20T11:37:52+00:00
114083,10300000216,737499611.00,50,2024,2024-12-11T16:48:59+00:00,2024-12-11T16:48:59+00:00
118305,10300000216,971428571.43,51,2024,2024-12-18T12:32:41+00:00,2024-12-18T12:32:41+00:00
122520,10300000216,870625000.00,1,2025,2025-01-01T20:10:16+00:00,2025-01-01T20:10:16+00:00
126699,10300000216,800000000.00,3,2025,2025-01-15T21:05:25+00:00,2025-01-15T21:05:25+00:00
130974,10300000216,800000000.00,6,2025,2025-02-04T20:20:35+00:00,2025-02-04T20:20:35+00:00
135245,10300000216,842200000.00,10,2025,2025-03-03T17:22:48+00:00,2025-03-03T17:22:48+00:00
139750,10300000216,771000004.50,11,2025,2025-03-12T11:01:50+00:00,2025-03-12T11:01:50+00:00
144260,10300000216,849444444.44,13,2025,2025-03-26T16:27:03+00:00,2025-03-26T16:27:03+00:00
148742,10300000216,932961660.33,15,2025,2025-04-09T13:33:45+00:00,2025-04-09T13:33:45+00:00
153295,10300000216,997472216.18,17,2025,2025-04-23T12:04:56+00:00,2025-04-23T12:04:56+00:00
157755,10300000216,990367446.56,19,2025,2025-05-07T13:04:02+00:00,2025-05-07T13:04:02+00:00
162241,10300000216,928518221.17,21,2025,2025-05-21T19:47:42+00:00,2025-05-21T19:47:42+00:00
166760,10300000216,754000000.00,23,2025,2025-06-04T11:19:01+00:00,2025-06-04T11:19:01+00:00
171146,10300000216,743909090.91,25,2025,2025-06-18T11:53:51+00:00,2025-06-18T11:53:51+00:00
175720,10300000216,707629555.50,26,2025,2025-06-25T17:25:52+00:00,2025-06-25T17:25:52+00:00
180186,10300000216,650462888.83,28,2025,2025-07-09T13:03:15+00:00,2025-07-09T13:03:15+00:00
180187,10300000216,560728258.42,37,2025,2025-09-10T21:54:26+00:00,2025-09-10T21:54:26+00:00
180188,10300000216,536650895.56,39,2025,2025-09-24T16:16:05+00:00,2025-09-24T16:16:05+00:00
