id,item_id,price,week,year,date_created,date_updated
720,10100000122,430882352.29,11,2024,2024-03-17T14:18:39+00:00,2024-03-17T14:18:39+00:00
4223,10100000122,384742857.14,13,2024,2024-03-25T14:21:00+00:00,2024-03-27T11:12:48+00:00
8699,10100000122,384742857.14,14,2024,2024-04-03T10:44:29+00:00,2024-04-03T10:44:29+00:00
12818,10100000122,347029864.59,15,2024,2024-04-10T12:44:10+00:00,2024-04-10T12:44:10+00:00
17027,10100000122,347029864.59,16,2024,2024-04-17T11:27:31+00:00,2024-04-17T11:27:31+00:00
21236,10100000122,271622218.73,17,2024,2024-04-24T19:28:01+00:00,2024-04-24T19:28:01+00:00
25411,10100000122,271622218.73,18,2024,2024-05-01T10:41:53+00:00,2024-05-01T10:41:53+00:00
29586,10100000122,245126433.72,19,2024,2024-05-08T18:03:15+00:00,2024-05-08T18:03:15+00:00
33726,10100000122,245126433.72,20,2024,2024-05-15T18:19:55+00:00,2024-05-15T18:19:55+00:00
37866,10100000122,289718749.25,21,2024,2024-05-22T14:11:47+00:00,2024-05-22T14:11:47+00:00
42022,10100000122,289718749.25,22,2024,2024-05-30T22:15:58+00:00,2024-05-30T22:15:58+00:00
46179,10100000122,431635904.76,23,2024,2024-06-06T20:46:08+00:00,2024-06-06T20:46:08+00:00
50347,10100000122,431635904.76,24,2024,2024-06-14T10:58:51+00:00,2024-06-14T10:58:51+00:00
54515,10100000122,441195428.57,25,2024,2024-06-19T19:20:31+00:00,2024-06-19T19:42:29+00:00
58672,10100000122,441195428.57,26,2024,2024-06-26T13:24:33+00:00,2024-06-26T13:24:33+00:00
62829,10100000122,389220338.98,27,2024,2024-07-05T19:29:57+00:00,2024-07-05T19:29:57+00:00
67007,10100000122,389220338.98,28,2024,2024-07-11T08:55:38+00:00,2024-07-11T08:55:38+00:00
71185,10100000122,367647058.71,29,2024,2024-07-21T13:27:51+00:00,2024-07-21T13:27:51+00:00
75451,10100000122,367647058.71,30,2024,2024-07-26T16:28:07+00:00,2024-07-26T16:28:07+00:00
79717,10100000122,246599999.60,32,2024,2024-08-07T20:18:22+00:00,2024-08-09T14:31:08+00:00
83998,10100000122,345384615.19,35,2024,2024-08-30T12:13:37+00:00,2024-08-30T14:15:15+00:00
88275,10100000122,297819444.04,37,2024,2024-09-11T14:21:54+00:00,2024-09-11T14:21:54+00:00
92594,10100000122,297819444.04,38,2024,2024-09-18T15:00:04+00:00,2024-09-18T15:00:04+00:00
96913,10100000122,307266666.67,39,2024,2024-09-25T12:11:16+00:00,2024-09-25T12:11:16+00:00
101213,10100000122,294244444.22,41,2024,2024-10-11T17:05:03+00:00,2024-10-11T17:05:03+00:00
105451,10100000122,348333332.73,44,2024,2024-11-03T16:44:06+00:00,2024-11-03T16:44:06+00:00
109739,10100000122,213838709.68,47,2024,2024-11-20T11:37:47+00:00,2024-11-20T11:37:47+00:00
113945,10100000122,267142857.14,50,2024,2024-12-11T16:48:54+00:00,2024-12-11T16:48:54+00:00
118165,10100000122,311068965.52,51,2024,2024-12-18T12:32:36+00:00,2024-12-18T12:32:36+00:00
122382,10100000122,279230769.23,1,2025,2025-01-01T20:10:11+00:00,2025-01-01T20:10:11+00:00
126555,10100000122,267827725.00,3,2025,2025-01-15T21:05:20+00:00,2025-01-15T21:05:20+00:00
130830,10100000122,267827725.00,6,2025,2025-02-04T20:20:25+00:00,2025-02-04T20:20:25+00:00
135105,10100000122,331110995.74,10,2025,2025-03-03T17:22:43+00:00,2025-03-03T17:22:43+00:00
139605,10100000122,388620689.41,11,2025,2025-03-12T11:01:45+00:00,2025-03-12T11:01:45+00:00
144113,10100000122,374924722.97,13,2025,2025-03-26T16:26:58+00:00,2025-03-26T16:26:58+00:00
148597,10100000122,307671200.69,15,2025,2025-04-09T13:33:34+00:00,2025-04-09T13:33:34+00:00
153151,10100000122,266536584.61,17,2025,2025-04-23T12:04:51+00:00,2025-04-23T12:04:51+00:00
157616,10100000122,287390242.90,19,2025,2025-05-07T13:03:46+00:00,2025-05-07T13:03:46+00:00
162095,10100000122,249599998.68,21,2025,2025-05-21T19:47:37+00:00,2025-05-21T19:47:37+00:00
166618,10100000122,294439653.90,23,2025,2025-06-04T11:18:55+00:00,2025-06-04T11:18:55+00:00
171000,10100000122,252139568.50,25,2025,2025-06-18T11:53:39+00:00,2025-06-18T11:53:39+00:00
175578,10100000122,250240653.34,26,2025,2025-06-25T17:25:47+00:00,2025-06-25T17:25:47+00:00
180047,10100000122,259174056.97,28,2025,2025-07-09T13:03:03+00:00,2025-07-09T13:03:03+00:00
184483,10100000122,268999999.73,30,2025,2025-07-23T20:38:26+00:00,2025-07-23T20:38:26+00:00
188887,10100000122,268999999.73,32,2025,2025-08-06T13:23:57+00:00,2025-08-06T13:23:57+00:00
193292,10100000122,285199999.50,36,2025,2025-09-02T09:16:32+00:00,2025-09-02T09:16:32+00:00
197664,10100000122,301603928.64,37,2025,2025-09-10T21:54:17+00:00,2025-09-10T21:54:17+00:00
202181,10100000122,299035714.36,39,2025,2025-09-24T16:16:00+00:00,2025-09-24T16:16:00+00:00
206554,10100000122,275649954.50,43,2025,2025-10-22T17:32:35+00:00,2025-10-22T17:32:35+00:00
210592,10100000122,258478260.04,47,2025,2025-11-23T11:31:33+00:00,2025-11-23T11:31:33+00:00
214879,10100000122,258624329.14,51,2025,2025-12-20T14:24:29+00:00,2025-12-20T14:24:29+00:00
