id,item_id,price,week,year,date_created,date_updated
3888,60500000107,18093243.24,11,2024,2024-03-17T14:20:56+00:00,2024-03-17T14:20:56+00:00
7400,60500000107,18822058.82,13,2024,2024-03-25T15:24:57+00:00,2024-03-27T11:14:20+00:00
11782,60500000107,18822058.82,14,2024,2024-04-03T10:46:07+00:00,2024-04-03T10:46:07+00:00
15976,60500000107,10318017.24,15,2024,2024-04-10T12:45:56+00:00,2024-04-10T12:45:56+00:00
20185,60500000107,10318017.24,16,2024,2024-04-17T11:29:17+00:00,2024-04-17T11:29:17+00:00
24366,60500000107,14789386.27,17,2024,2024-04-24T19:29:44+00:00,2024-04-24T19:29:44+00:00
28541,60500000107,14789386.27,18,2024,2024-05-01T10:43:34+00:00,2024-05-01T10:43:34+00:00
32663,60500000107,23977400.81,19,2024,2024-05-08T18:04:54+00:00,2024-05-08T18:04:54+00:00
36803,60500000107,23977400.81,20,2024,2024-05-15T18:21:34+00:00,2024-05-15T18:21:34+00:00
40959,60500000107,23430104.40,21,2024,2024-05-22T14:13:28+00:00,2024-05-22T14:13:28+00:00
45115,60500000107,23430104.40,22,2024,2024-05-30T22:17:44+00:00,2024-05-30T22:17:44+00:00
49308,60500000107,11877939.55,23,2024,2024-06-06T20:47:59+00:00,2024-06-06T20:47:59+00:00
53476,60500000107,11877939.55,24,2024,2024-06-14T11:00:45+00:00,2024-06-14T11:00:45+00:00
57631,60500000107,13739967.45,25,2024,2024-06-19T19:44:15+00:00,2024-06-19T19:44:15+00:00
61788,60500000107,13739967.45,26,2024,2024-06-26T13:26:30+00:00,2024-06-26T13:26:30+00:00
65950,60500000107,12289142.54,27,2024,2024-07-05T19:31:51+00:00,2024-07-05T19:31:51+00:00
70128,60500000107,12289142.54,28,2024,2024-07-11T08:57:31+00:00,2024-07-11T08:57:31+00:00
74362,60500000107,19403845.92,29,2024,2024-07-21T13:29:49+00:00,2024-07-21T13:29:49+00:00
78628,60500000107,19403845.92,30,2024,2024-07-26T16:30:09+00:00,2024-07-26T16:30:09+00:00
82828,60500000107,17443428.36,32,2024,2024-08-07T20:20:20+00:00,2024-08-09T14:33:03+00:00
87141,60500000107,19611111.11,35,2024,2024-08-30T14:17:14+00:00,2024-08-30T14:17:14+00:00
91477,60500000107,24861904.76,37,2024,2024-09-11T14:24:04+00:00,2024-09-11T14:24:04+00:00
95796,60500000107,24861904.76,38,2024,2024-09-18T15:02:11+00:00,2024-09-18T15:02:11+00:00
100116,60500000107,18966666.54,39,2024,2024-09-25T12:13:33+00:00,2024-09-25T12:13:33+00:00
104374,60500000107,9636862.16,41,2024,2024-10-11T17:09:31+00:00,2024-10-11T17:09:31+00:00
108637,60500000107,12432926.83,44,2024,2024-11-03T16:47:05+00:00,2024-11-03T16:47:05+00:00
112859,60500000107,23888888.52,47,2024,2024-11-20T11:41:21+00:00,2024-11-20T11:41:21+00:00
117067,60500000107,22604650.93,50,2024,2024-12-11T16:52:16+00:00,2024-12-11T16:52:16+00:00
121330,60500000107,25149574.62,51,2024,2024-12-18T12:36:03+00:00,2024-12-18T12:36:03+00:00
125525,60500000107,21707625.00,1,2025,2025-01-01T20:13:38+00:00,2025-01-01T20:13:38+00:00
129737,60500000107,14314814.81,3,2025,2025-01-15T21:08:41+00:00,2025-01-15T21:08:41+00:00
134012,60500000107,14314814.81,6,2025,2025-02-04T20:25:26+00:00,2025-02-04T20:25:26+00:00
138434,60500000107,10297297.30,10,2025,2025-03-03T17:26:08+00:00,2025-03-03T17:26:08+00:00
142955,60500000107,4269841.65,11,2025,2025-03-12T11:05:18+00:00,2025-03-12T11:05:18+00:00
147472,60500000107,8195121.95,13,2025,2025-03-26T16:30:29+00:00,2025-03-26T16:30:29+00:00
151987,60500000107,14622641.25,15,2025,2025-04-09T13:38:56+00:00,2025-04-09T13:38:56+00:00
156501,60500000107,18703703.44,17,2025,2025-04-23T12:08:20+00:00,2025-04-23T12:08:20+00:00
160964,60500000107,28330768.38,19,2025,2025-05-07T13:07:26+00:00,2025-05-07T13:07:26+00:00
165474,60500000107,26265517.00,21,2025,2025-05-21T19:51:12+00:00,2025-05-21T19:51:12+00:00
165475,60500000107,23813792.97,23,2025,2025-06-04T11:22:37+00:00,2025-06-04T11:22:37+00:00
165476,60500000107,21351850.89,25,2025,2025-06-18T11:57:50+00:00,2025-06-18T11:57:50+00:00
