id,item_id,price,week,year,date_created,date_updated
1334,60300000314,4833333.33,11,2024,2024-03-17T14:18:53+00:00,2024-03-17T14:18:53+00:00
7340,60300000314,4376666.67,13,2024,2024-03-25T15:24:54+00:00,2024-03-27T11:14:17+00:00
11721,60300000314,4376666.67,14,2024,2024-04-03T10:46:04+00:00,2024-04-03T10:46:04+00:00
15910,60300000314,8189882.82,15,2024,2024-04-10T12:45:52+00:00,2024-04-10T12:45:52+00:00
20119,60300000314,8189882.82,16,2024,2024-04-17T11:29:12+00:00,2024-04-17T11:29:12+00:00
24294,60300000314,9167999.24,17,2024,2024-04-24T19:29:40+00:00,2024-04-24T19:29:40+00:00
28469,60300000314,9167999.24,18,2024,2024-05-01T10:43:29+00:00,2024-05-01T10:43:29+00:00
32600,60300000314,8394358.72,19,2024,2024-05-08T18:04:51+00:00,2024-05-08T18:04:51+00:00
36740,60300000314,8394358.72,20,2024,2024-05-15T18:21:31+00:00,2024-05-15T18:21:31+00:00
40901,60300000314,8230710.11,21,2024,2024-05-22T14:13:25+00:00,2024-05-22T14:13:25+00:00
45057,60300000314,8230710.11,22,2024,2024-05-30T22:17:41+00:00,2024-05-30T22:17:41+00:00
49250,60300000314,6532163.32,23,2024,2024-06-06T20:47:56+00:00,2024-06-06T20:47:56+00:00
53418,60300000314,6532163.32,24,2024,2024-06-14T11:00:41+00:00,2024-06-14T11:00:41+00:00
57567,60300000314,5219511.83,25,2024,2024-06-19T19:44:11+00:00,2024-06-19T19:44:11+00:00
61724,60300000314,5219511.83,26,2024,2024-06-26T13:26:26+00:00,2024-06-26T13:26:26+00:00
65888,60300000314,6463234.85,27,2024,2024-07-05T19:31:47+00:00,2024-07-05T19:31:47+00:00
70066,60300000314,6463234.85,28,2024,2024-07-11T08:57:27+00:00,2024-07-11T08:57:27+00:00
74298,60300000314,6186666.67,29,2024,2024-07-21T13:29:45+00:00,2024-07-21T13:29:45+00:00
78564,60300000314,6186666.67,30,2024,2024-07-26T16:30:05+00:00,2024-07-26T16:30:05+00:00
82772,60300000314,3900044.40,32,2024,2024-08-07T20:20:17+00:00,2024-08-09T14:32:59+00:00
87084,60300000314,8844888.89,35,2024,2024-08-30T14:17:10+00:00,2024-08-30T14:17:10+00:00
91425,60300000314,6200000.00,37,2024,2024-09-11T14:24:00+00:00,2024-09-11T14:24:00+00:00
95744,60300000314,6200000.00,38,2024,2024-09-18T15:02:07+00:00,2024-09-18T15:02:07+00:00
100064,60300000314,5023978.77,39,2024,2024-09-25T12:13:30+00:00,2024-09-25T12:13:30+00:00
104321,60300000314,9087999.74,41,2024,2024-10-11T17:09:25+00:00,2024-10-11T17:09:25+00:00
108575,60300000314,9844000.00,44,2024,2024-11-03T16:46:59+00:00,2024-11-03T16:46:59+00:00
112806,60300000314,8489088.55,47,2024,2024-11-20T11:41:17+00:00,2024-11-20T11:41:17+00:00
117009,60300000314,5917141.93,50,2024,2024-12-11T16:52:11+00:00,2024-12-11T16:52:11+00:00
121273,60300000314,5472881.36,51,2024,2024-12-18T12:35:58+00:00,2024-12-18T12:35:58+00:00
129670,60300000314,6750000.00,3,2025,2025-01-15T21:08:35+00:00,2025-01-15T21:08:35+00:00
133945,60300000314,6750000.00,6,2025,2025-02-04T20:25:19+00:00,2025-02-04T20:25:19+00:00
138371,60300000314,5612499.56,10,2025,2025-03-03T17:26:02+00:00,2025-03-03T17:26:02+00:00
142900,60300000314,2272727.27,11,2025,2025-03-12T11:05:13+00:00,2025-03-12T11:05:13+00:00
147417,60300000314,2441176.24,13,2025,2025-03-26T16:30:24+00:00,2025-03-26T16:30:24+00:00
151934,60300000314,2677418.94,15,2025,2025-04-09T13:38:51+00:00,2025-04-09T13:38:51+00:00
156445,60300000314,5136452.18,17,2025,2025-04-23T12:08:15+00:00,2025-04-23T12:08:15+00:00
160909,60300000314,7714567.71,19,2025,2025-05-07T13:07:22+00:00,2025-05-07T13:07:22+00:00
165409,60300000314,8280000.00,21,2025,2025-05-21T19:51:06+00:00,2025-05-21T19:51:06+00:00
165410,60300000314,7036363.64,23,2025,2025-06-04T11:22:33+00:00,2025-06-04T11:22:33+00:00
165411,60300000314,7369399.60,25,2025,2025-06-18T11:57:46+00:00,2025-06-18T11:57:46+00:00
165412,60300000314,6279112.14,26,2025,2025-06-25T17:29:17+00:00,2025-06-25T17:29:17+00:00
165413,60300000314,6079633.72,28,2025,2025-07-09T13:10:10+00:00,2025-07-09T13:10:10+00:00
