id,item_id,price,week,year,date_created,date_updated
421,60200000106,22965.00,11,2024,2024-03-17T14:18:34+00:00,2024-03-17T14:18:34+00:00
7281,60200000106,22965.00,13,2024,2024-03-25T15:24:51+00:00,2024-03-27T11:14:14+00:00
11656,60200000106,22965.00,14,2024,2024-04-03T10:46:00+00:00,2024-04-03T10:46:00+00:00
15841,60200000106,22965.00,15,2024,2024-04-10T12:45:47+00:00,2024-04-10T12:45:47+00:00
20050,60200000106,22965.00,16,2024,2024-04-17T11:29:08+00:00,2024-04-17T11:29:08+00:00
24226,60200000106,22965.00,17,2024,2024-04-24T19:29:36+00:00,2024-04-24T19:29:36+00:00
28401,60200000106,22965.00,18,2024,2024-05-01T10:43:26+00:00,2024-05-01T10:43:26+00:00
32544,60200000106,22965.00,19,2024,2024-05-08T18:04:48+00:00,2024-05-08T18:04:48+00:00
36684,60200000106,22965.00,20,2024,2024-05-15T18:21:28+00:00,2024-05-15T18:21:28+00:00
40845,60200000106,22965.00,21,2024,2024-05-22T14:13:22+00:00,2024-05-22T14:13:22+00:00
45001,60200000106,22965.00,22,2024,2024-05-30T22:17:38+00:00,2024-05-30T22:17:38+00:00
49193,60200000106,22965.00,23,2024,2024-06-06T20:47:52+00:00,2024-06-06T20:47:52+00:00
53361,60200000106,22965.00,24,2024,2024-06-14T11:00:37+00:00,2024-06-14T11:00:37+00:00
57506,60200000106,22965.00,25,2024,2024-06-19T19:44:08+00:00,2024-06-19T19:44:08+00:00
61663,60200000106,22965.00,26,2024,2024-06-26T13:26:23+00:00,2024-06-26T13:26:23+00:00
65830,60200000106,22965.00,27,2024,2024-07-05T19:31:43+00:00,2024-07-05T19:31:43+00:00
70008,60200000106,22965.00,28,2024,2024-07-11T08:57:24+00:00,2024-07-11T08:57:24+00:00
74241,60200000106,22965.00,29,2024,2024-07-21T13:29:41+00:00,2024-07-21T13:29:41+00:00
78507,60200000106,22965.00,30,2024,2024-07-26T16:30:01+00:00,2024-07-26T16:30:01+00:00
82716,60200000106,22965.00,32,2024,2024-08-07T20:20:14+00:00,2024-08-09T14:32:56+00:00
87027,60200000106,22965.00,35,2024,2024-08-30T14:17:07+00:00,2024-08-30T14:17:07+00:00
91363,60200000106,22965.00,37,2024,2024-09-11T14:23:56+00:00,2024-09-11T14:23:56+00:00
95682,60200000106,22965.00,38,2024,2024-09-18T15:02:04+00:00,2024-09-18T15:02:04+00:00
100009,60200000106,22965.00,39,2024,2024-09-25T12:13:26+00:00,2024-09-25T12:13:26+00:00
104257,60200000106,22965.00,41,2024,2024-10-11T17:09:18+00:00,2024-10-11T17:09:18+00:00
108513,60200000106,22965.00,44,2024,2024-11-03T16:46:54+00:00,2024-11-03T16:46:54+00:00
112750,60200000106,22469.24,47,2024,2024-11-20T11:41:12+00:00,2024-11-20T11:41:12+00:00
116953,60200000106,22965.00,50,2024,2024-12-11T16:52:06+00:00,2024-12-11T16:52:06+00:00
121224,60200000106,22965.00,51,2024,2024-12-18T12:35:54+00:00,2024-12-18T12:35:54+00:00
125426,60200000106,22551.43,1,2025,2025-01-01T20:13:29+00:00,2025-01-01T20:13:29+00:00
129621,60200000106,22965.00,3,2025,2025-01-15T21:08:30+00:00,2025-01-15T21:08:30+00:00
133896,60200000106,22965.00,6,2025,2025-02-04T20:25:13+00:00,2025-02-04T20:25:13+00:00
138312,60200000106,22965.00,10,2025,2025-03-03T17:25:57+00:00,2025-03-03T17:25:57+00:00
142848,60200000106,22965.00,11,2025,2025-03-12T11:05:08+00:00,2025-03-12T11:05:08+00:00
147366,60200000106,22965.00,13,2025,2025-03-26T16:30:20+00:00,2025-03-26T16:30:20+00:00
151883,60200000106,22965.00,15,2025,2025-04-09T13:38:45+00:00,2025-04-09T13:38:45+00:00
156400,60200000106,22965.00,17,2025,2025-04-23T12:08:11+00:00,2025-04-23T12:08:11+00:00
160857,60200000106,22965.00,19,2025,2025-05-07T13:07:17+00:00,2025-05-07T13:07:17+00:00
165347,60200000106,22965.00,21,2025,2025-05-21T19:51:01+00:00,2025-05-21T19:51:01+00:00
169824,60200000106,22965.00,23,2025,2025-06-04T11:22:29+00:00,2025-06-04T11:22:29+00:00
174315,60200000106,22965.00,25,2025,2025-06-18T11:57:41+00:00,2025-06-18T11:57:41+00:00
178870,60200000106,22965.00,26,2025,2025-06-25T17:29:13+00:00,2025-06-25T17:29:13+00:00
183296,60200000106,22965.00,28,2025,2025-07-09T13:10:02+00:00,2025-07-09T13:10:02+00:00
187753,60200000106,22964.41,30,2025,2025-07-23T20:41:46+00:00,2025-07-23T20:41:46+00:00
192157,60200000106,22964.41,32,2025,2025-08-06T13:30:55+00:00,2025-08-06T13:30:55+00:00
192158,60200000106,22965.00,36,2025,2025-09-02T09:20:16+00:00,2025-09-02T09:20:16+00:00
