id,item_id,price,week,year,date_created,date_updated
3842,60200000207,33594.54,11,2024,2024-03-17T14:20:53+00:00,2024-03-17T14:20:53+00:00
7291,60200000207,2782323.44,13,2024,2024-03-25T15:24:51+00:00,2024-03-27T11:14:14+00:00
11664,60200000207,2782323.44,14,2024,2024-04-03T10:46:00+00:00,2024-04-03T10:46:00+00:00
24237,60200000207,33594.54,17,2024,2024-04-24T19:29:36+00:00,2024-04-24T19:29:36+00:00
28412,60200000207,33594.54,18,2024,2024-05-01T10:43:26+00:00,2024-05-01T10:43:26+00:00
65841,60200000207,100000.00,27,2024,2024-07-05T19:31:44+00:00,2024-07-05T19:31:44+00:00
70019,60200000207,100000.00,28,2024,2024-07-11T08:57:24+00:00,2024-07-11T08:57:24+00:00
91372,60200000207,1002500000.00,37,2024,2024-09-11T14:23:57+00:00,2024-09-11T14:23:57+00:00
95691,60200000207,1002500000.00,38,2024,2024-09-18T15:02:04+00:00,2024-09-18T15:02:04+00:00
104266,60200000207,1859542.47,41,2024,2024-10-11T17:09:19+00:00,2024-10-11T17:09:19+00:00
125435,60200000207,4000000.00,1,2025,2025-01-01T20:13:30+00:00,2025-01-01T20:13:30+00:00
129631,60200000207,4000000.00,3,2025,2025-01-15T21:08:31+00:00,2025-01-15T21:08:31+00:00
133906,60200000207,4000000.00,6,2025,2025-02-04T20:25:14+00:00,2025-02-04T20:25:14+00:00
138321,60200000207,1537500.00,10,2025,2025-03-03T17:25:58+00:00,2025-03-03T17:25:58+00:00
147372,60200000207,1537000.00,13,2025,2025-03-26T16:30:20+00:00,2025-03-26T16:30:20+00:00
147373,60200000207,1498000.00,25,2025,2025-06-18T11:57:42+00:00,2025-06-18T11:57:42+00:00
147374,60200000207,1494400.00,26,2025,2025-06-25T17:29:14+00:00,2025-06-25T17:29:14+00:00
147375,60200000207,1484545.45,28,2025,2025-07-09T13:10:04+00:00,2025-07-09T13:10:04+00:00
147376,60200000207,2462500.00,30,2025,2025-07-23T20:41:47+00:00,2025-07-23T20:41:47+00:00
147377,60200000207,2462500.00,32,2025,2025-08-06T13:30:56+00:00,2025-08-06T13:30:56+00:00
