id,item_id,price,week,year,date_created,date_updated
3523,60200000212,15199999.00,11,2024,2024-03-17T14:20:32+00:00,2024-03-17T14:20:32+00:00
7292,60200000212,23666666.00,13,2024,2024-03-25T15:24:51+00:00,2024-03-27T11:14:14+00:00
11667,60200000212,23666666.00,14,2024,2024-04-03T10:46:00+00:00,2024-04-03T10:46:00+00:00
15851,60200000212,20285713.43,15,2024,2024-04-10T12:45:48+00:00,2024-04-10T12:45:48+00:00
20060,60200000212,20285713.43,16,2024,2024-04-17T11:29:09+00:00,2024-04-17T11:29:09+00:00
24238,60200000212,20555549.28,17,2024,2024-04-24T19:29:37+00:00,2024-04-24T19:29:37+00:00
28413,60200000212,20555549.28,18,2024,2024-05-01T10:43:26+00:00,2024-05-01T10:43:26+00:00
32553,60200000212,18142854.86,19,2024,2024-05-08T18:04:48+00:00,2024-05-08T18:04:48+00:00
36693,60200000212,18142854.86,20,2024,2024-05-15T18:21:29+00:00,2024-05-15T18:21:29+00:00
40854,60200000212,17655536.33,21,2024,2024-05-22T14:13:22+00:00,2024-05-22T14:13:22+00:00
45010,60200000212,17655536.33,22,2024,2024-05-30T22:17:39+00:00,2024-05-30T22:17:39+00:00
49202,60200000212,19879932.40,23,2024,2024-06-06T20:47:53+00:00,2024-06-06T20:47:53+00:00
53370,60200000212,19879932.40,24,2024,2024-06-14T11:00:38+00:00,2024-06-14T11:00:38+00:00
57516,60200000212,10000055.00,25,2024,2024-06-19T19:44:08+00:00,2024-06-19T19:44:08+00:00
61673,60200000212,10000055.00,26,2024,2024-06-26T13:26:23+00:00,2024-06-26T13:26:23+00:00
65844,60200000212,8272258.67,27,2024,2024-07-05T19:31:44+00:00,2024-07-05T19:31:44+00:00
70022,60200000212,8272258.67,28,2024,2024-07-11T08:57:25+00:00,2024-07-11T08:57:25+00:00
91374,60200000212,17566137.52,37,2024,2024-09-11T14:23:57+00:00,2024-09-11T14:23:57+00:00
95693,60200000212,17566137.52,38,2024,2024-09-18T15:02:04+00:00,2024-09-18T15:02:04+00:00
100016,60200000212,19470587.88,39,2024,2024-09-25T12:13:26+00:00,2024-09-25T12:13:26+00:00
104268,60200000212,10000000.00,41,2024,2024-10-11T17:09:19+00:00,2024-10-11T17:09:19+00:00
108526,60200000212,13645714.29,44,2024,2024-11-03T16:46:55+00:00,2024-11-03T16:46:55+00:00
112758,60200000212,19999999.00,47,2024,2024-11-20T11:41:13+00:00,2024-11-20T11:41:13+00:00
116960,60200000212,15458995.69,50,2024,2024-12-11T16:52:06+00:00,2024-12-11T16:52:06+00:00
121233,60200000212,11206831.17,51,2024,2024-12-18T12:35:55+00:00,2024-12-18T12:35:55+00:00
125436,60200000212,12199999.40,1,2025,2025-01-01T20:13:30+00:00,2025-01-01T20:13:30+00:00
129632,60200000212,14958333.21,3,2025,2025-01-15T21:08:31+00:00,2025-01-15T21:08:31+00:00
133907,60200000212,14958333.21,6,2025,2025-02-04T20:25:14+00:00,2025-02-04T20:25:14+00:00
138324,60200000212,11500000.00,10,2025,2025-03-03T17:25:58+00:00,2025-03-03T17:25:58+00:00
142857,60200000212,6369616.31,11,2025,2025-03-12T11:05:09+00:00,2025-03-12T11:05:09+00:00
147373,60200000212,10913076.87,13,2025,2025-03-26T16:30:20+00:00,2025-03-26T16:30:20+00:00
151893,60200000212,15388888.44,15,2025,2025-04-09T13:38:46+00:00,2025-04-09T13:38:46+00:00
156407,60200000212,13910525.58,17,2025,2025-04-23T12:08:12+00:00,2025-04-23T12:08:12+00:00
160864,60200000212,10893616.15,19,2025,2025-05-07T13:07:18+00:00,2025-05-07T13:07:18+00:00
165354,60200000212,17090908.09,21,2025,2025-05-21T19:51:01+00:00,2025-05-21T19:51:01+00:00
165355,60200000212,24049999.00,23,2025,2025-06-04T11:22:29+00:00,2025-06-04T11:22:29+00:00
