id,item_id,price,week,year,date_created,date_updated
317,60701000302,15000000000.00,11,2024,2024-03-17T14:18:33+00:00,2024-03-17T14:18:33+00:00
7459,60701000302,10146480002.80,13,2024,2024-03-25T15:25:01+00:00,2024-03-27T11:14:23+00:00
11843,60701000302,10146480002.80,14,2024,2024-04-03T10:46:11+00:00,2024-04-03T10:46:11+00:00
24421,60701000302,12000000000.00,17,2024,2024-04-24T19:29:47+00:00,2024-04-24T19:29:47+00:00
28596,60701000302,12000000000.00,18,2024,2024-05-01T10:43:37+00:00,2024-05-01T10:43:37+00:00
41018,60701000302,17333333333.33,21,2024,2024-05-22T14:13:32+00:00,2024-05-22T14:13:32+00:00
45174,60701000302,17333333333.33,22,2024,2024-05-30T22:17:48+00:00,2024-05-30T22:17:48+00:00
49366,60701000302,13812500000.50,23,2024,2024-06-06T20:48:03+00:00,2024-06-06T20:48:03+00:00
53534,60701000302,13812500000.50,24,2024,2024-06-14T11:00:49+00:00,2024-06-14T11:00:49+00:00
100180,60701000302,10750000000.00,39,2024,2024-09-25T12:13:38+00:00,2024-09-25T12:13:38+00:00
125581,60701000302,6400000000.00,1,2025,2025-01-01T20:13:43+00:00,2025-01-01T20:13:43+00:00
129799,60701000302,5600000000.00,3,2025,2025-01-15T21:08:48+00:00,2025-01-15T21:08:48+00:00
134074,60701000302,5600000000.00,6,2025,2025-02-04T20:25:36+00:00,2025-02-04T20:25:36+00:00
