id,item_id,price,week,year,date_created,date_updated
3319,60100000113,3758399.71,11,2024,2024-03-17T14:20:20+00:00,2024-03-17T14:20:20+00:00
7233,60100000113,2766666.60,13,2024,2024-03-25T15:24:48+00:00,2024-03-27T11:14:12+00:00
11613,60100000113,2766666.60,14,2024,2024-04-03T10:45:57+00:00,2024-04-03T10:45:57+00:00
15791,60100000113,2318229.21,15,2024,2024-04-10T12:45:45+00:00,2024-04-10T12:45:45+00:00
20000,60100000113,2318229.21,16,2024,2024-04-17T11:29:06+00:00,2024-04-17T11:29:06+00:00
24174,60100000113,2190253.72,17,2024,2024-04-24T19:29:33+00:00,2024-04-24T19:29:33+00:00
28349,60100000113,2190253.72,18,2024,2024-05-01T10:43:22+00:00,2024-05-01T10:43:22+00:00
32498,60100000113,2336961.33,19,2024,2024-05-08T18:04:45+00:00,2024-05-08T18:04:45+00:00
36638,60100000113,2336961.33,20,2024,2024-05-15T18:21:26+00:00,2024-05-15T18:21:26+00:00
40800,60100000113,1951355.93,21,2024,2024-05-22T14:13:19+00:00,2024-05-22T14:13:19+00:00
44956,60100000113,1951355.93,22,2024,2024-05-30T22:17:35+00:00,2024-05-30T22:17:35+00:00
49147,60100000113,2493000.00,23,2024,2024-06-06T20:47:50+00:00,2024-06-06T20:47:50+00:00
53315,60100000113,2493000.00,24,2024,2024-06-14T11:00:35+00:00,2024-06-14T11:00:35+00:00
57457,60100000113,2499588.24,25,2024,2024-06-19T19:44:05+00:00,2024-06-19T19:44:05+00:00
61614,60100000113,2499588.24,26,2024,2024-06-26T13:26:19+00:00,2024-06-26T13:26:19+00:00
65779,60100000113,1379644.40,27,2024,2024-07-05T19:31:40+00:00,2024-07-05T19:31:40+00:00
69957,60100000113,1379644.40,28,2024,2024-07-11T08:57:21+00:00,2024-07-11T08:57:21+00:00
74194,60100000113,2807407.41,29,2024,2024-07-21T13:29:39+00:00,2024-07-21T13:29:39+00:00
78460,60100000113,2807407.41,30,2024,2024-07-26T16:29:58+00:00,2024-07-26T16:29:58+00:00
82669,60100000113,2375357.14,32,2024,2024-08-07T20:20:10+00:00,2024-08-09T14:32:53+00:00
86980,60100000113,2675000.00,35,2024,2024-08-30T14:17:04+00:00,2024-08-30T14:17:04+00:00
91318,60100000113,3325000.00,37,2024,2024-09-11T14:23:54+00:00,2024-09-11T14:23:54+00:00
95637,60100000113,3325000.00,38,2024,2024-09-18T15:02:01+00:00,2024-09-18T15:02:01+00:00
99959,60100000113,3017857.14,39,2024,2024-09-25T12:13:23+00:00,2024-09-25T12:13:23+00:00
104209,60100000113,4990290.97,41,2024,2024-10-11T17:09:12+00:00,2024-10-11T17:09:12+00:00
108464,60100000113,5946931.94,44,2024,2024-11-03T16:46:50+00:00,2024-11-03T16:46:50+00:00
112707,60100000113,3750036.50,47,2024,2024-11-20T11:41:09+00:00,2024-11-20T11:41:09+00:00
116906,60100000113,1925399.40,50,2024,2024-12-11T16:52:02+00:00,2024-12-11T16:52:02+00:00
121179,60100000113,1292562.16,51,2024,2024-12-18T12:35:50+00:00,2024-12-18T12:35:50+00:00
125384,60100000113,8355555.00,1,2025,2025-01-01T20:13:26+00:00,2025-01-01T20:13:26+00:00
129579,60100000113,7017360.31,3,2025,2025-01-15T21:08:27+00:00,2025-01-15T21:08:27+00:00
133854,60100000113,7017360.31,6,2025,2025-02-04T20:25:09+00:00,2025-02-04T20:25:09+00:00
138268,60100000113,1300400.00,10,2025,2025-03-03T17:25:53+00:00,2025-03-03T17:25:53+00:00
142805,60100000113,1986250.00,11,2025,2025-03-12T11:05:04+00:00,2025-03-12T11:05:04+00:00
147314,60100000113,1560000.00,13,2025,2025-03-26T16:30:15+00:00,2025-03-26T16:30:15+00:00
151840,60100000113,785990.47,15,2025,2025-04-09T13:38:41+00:00,2025-04-09T13:38:41+00:00
160816,60100000113,677777.78,19,2025,2025-05-07T13:07:14+00:00,2025-05-07T13:07:14+00:00
165302,60100000113,215216.54,21,2025,2025-05-21T19:50:57+00:00,2025-05-21T19:50:57+00:00
165303,60100000113,155665.90,23,2025,2025-06-04T11:22:25+00:00,2025-06-04T11:22:25+00:00
