id,item_id,price,week,year,date_created,date_updated
3324,60100000122,9717866.47,11,2024,2024-03-17T14:20:20+00:00,2024-03-17T14:20:20+00:00
7238,60100000122,11051199.80,13,2024,2024-03-25T15:24:48+00:00,2024-03-25T15:24:48+00:00
15795,60100000122,11169599.20,15,2024,2024-04-10T12:45:45+00:00,2024-04-10T12:45:45+00:00
20004,60100000122,11169599.20,16,2024,2024-04-17T11:29:06+00:00,2024-04-17T11:29:06+00:00
24179,60100000122,3884077.41,17,2024,2024-04-24T19:29:33+00:00,2024-04-24T19:29:33+00:00
28354,60100000122,3884077.41,18,2024,2024-05-01T10:43:23+00:00,2024-05-01T10:43:23+00:00
32502,60100000122,3858854.18,19,2024,2024-05-08T18:04:46+00:00,2024-05-08T18:04:46+00:00
36642,60100000122,3858854.18,20,2024,2024-05-15T18:21:26+00:00,2024-05-15T18:21:26+00:00
40804,60100000122,7648000.00,21,2024,2024-05-22T14:13:20+00:00,2024-05-22T14:13:20+00:00
44960,60100000122,7648000.00,22,2024,2024-05-30T22:17:36+00:00,2024-05-30T22:17:36+00:00
49151,60100000122,10777142.86,23,2024,2024-06-06T20:47:50+00:00,2024-06-06T20:47:50+00:00
53319,60100000122,10777142.86,24,2024,2024-06-14T11:00:35+00:00,2024-06-14T11:00:35+00:00
57462,60100000122,12753845.85,25,2024,2024-06-19T19:44:05+00:00,2024-06-19T19:44:05+00:00
61619,60100000122,12753845.85,26,2024,2024-06-26T13:26:19+00:00,2024-06-26T13:26:19+00:00
65784,60100000122,15494400.00,27,2024,2024-07-05T19:31:40+00:00,2024-07-05T19:31:40+00:00
69962,60100000122,15494400.00,28,2024,2024-07-11T08:57:21+00:00,2024-07-11T08:57:21+00:00
74199,60100000122,13882926.83,29,2024,2024-07-21T13:29:39+00:00,2024-07-21T13:29:39+00:00
78465,60100000122,13882926.83,30,2024,2024-07-26T16:29:58+00:00,2024-07-26T16:29:58+00:00
82674,60100000122,4526000.00,32,2024,2024-08-07T20:20:11+00:00,2024-08-09T14:32:53+00:00
86985,60100000122,8435714.07,35,2024,2024-08-30T14:17:04+00:00,2024-08-30T14:17:04+00:00
99964,60100000122,5296296.30,39,2024,2024-09-25T12:13:23+00:00,2024-09-25T12:13:23+00:00
104214,60100000122,6030555.56,41,2024,2024-10-11T17:09:13+00:00,2024-10-11T17:09:13+00:00
108469,60100000122,6084615.38,44,2024,2024-11-03T16:46:51+00:00,2024-11-03T16:46:51+00:00
112711,60100000122,7500000.00,47,2024,2024-11-20T11:41:09+00:00,2024-11-20T11:41:09+00:00
116910,60100000122,6942857.00,50,2024,2024-12-11T16:52:02+00:00,2024-12-11T16:52:02+00:00
129583,60100000122,12133333.33,3,2025,2025-01-15T21:08:27+00:00,2025-01-15T21:08:27+00:00
133858,60100000122,12133333.33,6,2025,2025-02-04T20:25:09+00:00,2025-02-04T20:25:09+00:00
138273,60100000122,19198999.50,10,2025,2025-03-03T17:25:53+00:00,2025-03-03T17:25:53+00:00
142810,60100000122,20071427.57,11,2025,2025-03-12T11:05:04+00:00,2025-03-12T11:05:04+00:00
147319,60100000122,19799999.00,13,2025,2025-03-26T16:30:16+00:00,2025-03-26T16:30:16+00:00
151845,60100000122,18428570.43,15,2025,2025-04-09T13:38:41+00:00,2025-04-09T13:38:41+00:00
156357,60100000122,15865384.08,17,2025,2025-04-23T12:08:07+00:00,2025-04-23T12:08:07+00:00
156358,60100000122,23499999.00,23,2025,2025-06-04T11:22:25+00:00,2025-06-04T11:22:25+00:00
156359,60100000122,25133333.17,25,2025,2025-06-18T11:57:37+00:00,2025-06-18T11:57:37+00:00
156360,60100000122,25242856.86,26,2025,2025-06-25T17:29:10+00:00,2025-06-25T17:29:10+00:00
156361,60100000122,5222220.75,30,2025,2025-07-23T20:41:43+00:00,2025-07-23T20:41:43+00:00
