id,item_id,price,week,year,date_created,date_updated
4017,60600000103,23177939.39,11,2024,2024-03-17T14:21:05+00:00,2024-03-17T14:21:05+00:00
7428,60600000103,20470588.24,13,2024,2024-03-25T15:24:59+00:00,2024-03-27T11:14:21+00:00
11809,60600000103,20470588.24,14,2024,2024-04-03T10:46:09+00:00,2024-04-03T10:46:09+00:00
16004,60600000103,19250000.00,15,2024,2024-04-10T12:45:57+00:00,2024-04-10T12:45:57+00:00
20213,60600000103,19250000.00,16,2024,2024-04-17T11:29:18+00:00,2024-04-17T11:29:18+00:00
24390,60600000103,25535428.30,17,2024,2024-04-24T19:29:45+00:00,2024-04-24T19:29:45+00:00
28565,60600000103,25535428.30,18,2024,2024-05-01T10:43:35+00:00,2024-05-01T10:43:35+00:00
32690,60600000103,29404375.86,19,2024,2024-05-08T18:04:56+00:00,2024-05-08T18:04:56+00:00
36830,60600000103,29404375.86,20,2024,2024-05-15T18:21:36+00:00,2024-05-15T18:21:36+00:00
40983,60600000103,25027211.11,21,2024,2024-05-22T14:13:30+00:00,2024-05-22T14:13:30+00:00
45139,60600000103,25027211.11,22,2024,2024-05-30T22:17:46+00:00,2024-05-30T22:17:46+00:00
49333,60600000103,23540644.97,23,2024,2024-06-06T20:48:01+00:00,2024-06-06T20:48:01+00:00
53501,60600000103,23540644.97,24,2024,2024-06-14T11:00:46+00:00,2024-06-14T11:00:46+00:00
57657,60600000103,26912284.96,25,2024,2024-06-19T19:44:17+00:00,2024-06-19T19:44:17+00:00
61814,60600000103,26912284.96,26,2024,2024-06-26T13:26:32+00:00,2024-06-26T13:26:32+00:00
65977,60600000103,27203882.35,27,2024,2024-07-05T19:31:53+00:00,2024-07-05T19:31:53+00:00
70155,60600000103,27203882.35,28,2024,2024-07-11T08:57:32+00:00,2024-07-11T08:57:32+00:00
74387,60600000103,25088922.59,29,2024,2024-07-21T13:29:51+00:00,2024-07-21T13:29:51+00:00
78653,60600000103,25088922.59,30,2024,2024-07-26T16:30:10+00:00,2024-07-26T16:30:10+00:00
82855,60600000103,28827175.82,32,2024,2024-08-07T20:20:22+00:00,2024-08-09T14:33:04+00:00
87165,60600000103,20995794.87,35,2024,2024-08-30T14:17:16+00:00,2024-08-30T14:17:16+00:00
91511,60600000103,26312090.91,37,2024,2024-09-11T14:24:06+00:00,2024-09-11T14:24:06+00:00
95830,60600000103,26312090.91,38,2024,2024-09-18T15:02:13+00:00,2024-09-18T15:02:13+00:00
100146,60600000103,32449466.15,39,2024,2024-09-25T12:13:35+00:00,2024-09-25T12:13:35+00:00
104404,60600000103,20551234.37,41,2024,2024-10-11T17:09:34+00:00,2024-10-11T17:09:34+00:00
108665,60600000103,18467522.94,44,2024,2024-11-03T16:47:07+00:00,2024-11-03T16:47:07+00:00
112884,60600000103,21488888.89,47,2024,2024-11-20T11:41:24+00:00,2024-11-20T11:41:24+00:00
117095,60600000103,16891890.51,50,2024,2024-12-11T16:52:18+00:00,2024-12-11T16:52:18+00:00
121356,60600000103,14991156.47,51,2024,2024-12-18T12:36:05+00:00,2024-12-18T12:36:05+00:00
125548,60600000103,21366260.74,1,2025,2025-01-01T20:13:39+00:00,2025-01-01T20:13:39+00:00
129767,60600000103,25775615.04,3,2025,2025-01-15T21:08:44+00:00,2025-01-15T21:08:44+00:00
134042,60600000103,25775615.04,6,2025,2025-02-04T20:25:30+00:00,2025-02-04T20:25:30+00:00
138464,60600000103,26767153.85,10,2025,2025-03-03T17:26:10+00:00,2025-03-03T17:26:10+00:00
142984,60600000103,25764093.02,11,2025,2025-03-12T11:05:20+00:00,2025-03-12T11:05:20+00:00
147500,60600000103,24030181.68,13,2025,2025-03-26T16:30:31+00:00,2025-03-26T16:30:31+00:00
152016,60600000103,15021999.75,15,2025,2025-04-09T13:39:00+00:00,2025-04-09T13:39:00+00:00
156529,60600000103,11433200.00,17,2025,2025-04-23T12:08:22+00:00,2025-04-23T12:08:22+00:00
160988,60600000103,13153424.66,19,2025,2025-05-07T13:07:28+00:00,2025-05-07T13:07:28+00:00
165501,60600000103,19496275.55,21,2025,2025-05-21T19:51:14+00:00,2025-05-21T19:51:14+00:00
169940,60600000103,16342857.14,23,2025,2025-06-04T11:22:39+00:00,2025-06-04T11:22:39+00:00
174444,60600000103,19911111.11,25,2025,2025-06-18T11:57:52+00:00,2025-06-18T11:57:52+00:00
178989,60600000103,20984615.38,26,2025,2025-06-25T17:29:23+00:00,2025-06-25T17:29:23+00:00
183415,60600000103,19400000.00,28,2025,2025-07-09T13:10:25+00:00,2025-07-09T13:10:25+00:00
187863,60600000103,22339285.54,30,2025,2025-07-23T20:41:56+00:00,2025-07-23T20:41:56+00:00
192267,60600000103,22339285.54,32,2025,2025-08-06T13:31:05+00:00,2025-08-06T13:31:05+00:00
192268,60600000103,19670731.46,36,2025,2025-09-02T09:20:26+00:00,2025-09-02T09:20:26+00:00
192269,60600000103,18515384.62,37,2025,2025-09-10T22:00:01+00:00,2025-09-10T22:00:01+00:00
192270,60600000103,17595652.17,39,2025,2025-09-24T16:19:35+00:00,2025-09-24T16:19:35+00:00
192271,60600000103,14816665.83,43,2025,2025-10-22T17:35:52+00:00,2025-10-22T17:35:52+00:00
