id,item_id,price,week,year,date_created,date_updated
474,60600001403,6272800.00,11,2024,2024-03-17T14:18:35+00:00,2024-03-17T14:18:35+00:00
7443,60600001403,5661531.74,13,2024,2024-03-25T15:25:00+00:00,2024-03-27T11:14:22+00:00
11825,60600001403,5661531.74,14,2024,2024-04-03T10:46:09+00:00,2024-04-03T10:46:09+00:00
16020,60600001403,4336344.83,15,2024,2024-04-10T12:45:59+00:00,2024-04-10T12:45:59+00:00
20229,60600001403,4336344.83,16,2024,2024-04-17T11:29:19+00:00,2024-04-17T11:29:19+00:00
24405,60600001403,3713414.63,17,2024,2024-04-24T19:29:46+00:00,2024-04-24T19:29:46+00:00
28580,60600001403,3713414.63,18,2024,2024-05-01T10:43:36+00:00,2024-05-01T10:43:36+00:00
32707,60600001403,4572373.54,19,2024,2024-05-08T18:04:57+00:00,2024-05-08T18:04:57+00:00
36847,60600001403,4572373.54,20,2024,2024-05-15T18:21:37+00:00,2024-05-15T18:21:37+00:00
41000,60600001403,2363213.83,21,2024,2024-05-22T14:13:31+00:00,2024-05-22T14:13:31+00:00
45156,60600001403,2363213.83,22,2024,2024-05-30T22:17:47+00:00,2024-05-30T22:17:47+00:00
49348,60600001403,1459285.71,23,2024,2024-06-06T20:48:02+00:00,2024-06-06T20:48:02+00:00
53516,60600001403,1459285.71,24,2024,2024-06-14T11:00:47+00:00,2024-06-14T11:00:47+00:00
57672,60600001403,2647899.33,25,2024,2024-06-19T19:44:18+00:00,2024-06-19T19:44:18+00:00
61829,60600001403,2647899.33,26,2024,2024-06-26T13:26:33+00:00,2024-06-26T13:26:33+00:00
65991,60600001403,3384004.00,27,2024,2024-07-05T19:31:53+00:00,2024-07-05T19:31:53+00:00
70169,60600001403,3384004.00,28,2024,2024-07-11T08:57:33+00:00,2024-07-11T08:57:33+00:00
74402,60600001403,3783151.92,29,2024,2024-07-21T13:29:52+00:00,2024-07-21T13:29:52+00:00
78668,60600001403,3783151.92,30,2024,2024-07-26T16:30:11+00:00,2024-07-26T16:30:11+00:00
82872,60600001403,2424819.75,32,2024,2024-08-07T20:20:23+00:00,2024-08-09T14:33:05+00:00
87182,60600001403,2591156.16,35,2024,2024-08-30T14:17:17+00:00,2024-08-30T14:17:17+00:00
91529,60600001403,3528964.10,37,2024,2024-09-11T14:24:07+00:00,2024-09-11T14:24:07+00:00
95848,60600001403,3528964.10,38,2024,2024-09-18T15:02:14+00:00,2024-09-18T15:02:14+00:00
100163,60600001403,7054263.23,39,2024,2024-09-25T12:13:37+00:00,2024-09-25T12:13:37+00:00
104420,60600001403,3579797.14,41,2024,2024-10-11T17:09:36+00:00,2024-10-11T17:09:36+00:00
108683,60600001403,2525974.03,44,2024,2024-11-03T16:47:09+00:00,2024-11-03T16:47:09+00:00
112901,60600001403,3135415.98,47,2024,2024-11-20T11:41:25+00:00,2024-11-20T11:41:25+00:00
117113,60600001403,7057893.54,50,2024,2024-12-11T16:52:20+00:00,2024-12-11T16:52:20+00:00
121373,60600001403,3298019.11,51,2024,2024-12-18T12:36:07+00:00,2024-12-18T12:36:07+00:00
125563,60600001403,2650632.75,1,2025,2025-01-01T20:13:41+00:00,2025-01-01T20:13:41+00:00
129780,60600001403,3276922.54,3,2025,2025-01-15T21:08:46+00:00,2025-01-15T21:08:46+00:00
134055,60600001403,3276922.54,6,2025,2025-02-04T20:25:31+00:00,2025-02-04T20:25:31+00:00
138481,60600001403,4218268.66,10,2025,2025-03-03T17:26:12+00:00,2025-03-03T17:26:12+00:00
143002,60600001403,3535135.14,11,2025,2025-03-12T11:05:22+00:00,2025-03-12T11:05:22+00:00
147517,60600001403,4065000.00,13,2025,2025-03-26T16:30:33+00:00,2025-03-26T16:30:33+00:00
152033,60600001403,3305714.29,15,2025,2025-04-09T13:39:02+00:00,2025-04-09T13:39:02+00:00
156545,60600001403,2698253.62,17,2025,2025-04-23T12:08:24+00:00,2025-04-23T12:08:24+00:00
161003,60600001403,2951181.10,19,2025,2025-05-07T13:07:30+00:00,2025-05-07T13:07:30+00:00
165517,60600001403,1630000.00,21,2025,2025-05-21T19:51:16+00:00,2025-05-21T19:51:16+00:00
165518,60600001403,1752631.35,23,2025,2025-06-04T11:22:40+00:00,2025-06-04T11:22:40+00:00
165519,60600001403,4952631.58,25,2025,2025-06-18T11:57:54+00:00,2025-06-18T11:57:54+00:00
