id,item_id,price,week,year,date_created,date_updated
4151,60600000402,21944000.00,11,2024,2024-03-17T14:21:16+00:00,2024-03-17T14:21:16+00:00
7435,60600000402,22647833.33,13,2024,2024-03-25T15:24:59+00:00,2024-03-27T11:14:22+00:00
11816,60600000402,22647833.33,14,2024,2024-04-03T10:46:09+00:00,2024-04-03T10:46:09+00:00
16010,60600000402,19303916.67,15,2024,2024-04-10T12:45:58+00:00,2024-04-10T12:45:58+00:00
20219,60600000402,19303916.67,16,2024,2024-04-17T11:29:19+00:00,2024-04-17T11:29:19+00:00
24397,60600000402,20720919.56,17,2024,2024-04-24T19:29:46+00:00,2024-04-24T19:29:46+00:00
28572,60600000402,20720919.56,18,2024,2024-05-01T10:43:36+00:00,2024-05-01T10:43:36+00:00
32697,60600000402,21846823.53,19,2024,2024-05-08T18:04:56+00:00,2024-05-08T18:04:56+00:00
36837,60600000402,21846823.53,20,2024,2024-05-15T18:21:36+00:00,2024-05-15T18:21:36+00:00
40991,60600000402,19200069.33,21,2024,2024-05-22T14:13:30+00:00,2024-05-22T14:13:30+00:00
45147,60600000402,19200069.33,22,2024,2024-05-30T22:17:46+00:00,2024-05-30T22:17:46+00:00
49338,60600000402,25166000.00,23,2024,2024-06-06T20:48:01+00:00,2024-06-06T20:48:01+00:00
53506,60600000402,25166000.00,24,2024,2024-06-14T11:00:47+00:00,2024-06-14T11:00:47+00:00
57663,60600000402,22215714.29,25,2024,2024-06-19T19:44:17+00:00,2024-06-19T19:44:17+00:00
61820,60600000402,22215714.29,26,2024,2024-06-26T13:26:32+00:00,2024-06-26T13:26:32+00:00
65984,60600000402,20688750.00,27,2024,2024-07-05T19:31:53+00:00,2024-07-05T19:31:53+00:00
70162,60600000402,20688750.00,28,2024,2024-07-11T08:57:33+00:00,2024-07-11T08:57:33+00:00
74394,60600000402,20013000.00,29,2024,2024-07-21T13:29:51+00:00,2024-07-21T13:29:51+00:00
78660,60600000402,20013000.00,30,2024,2024-07-26T16:30:11+00:00,2024-07-26T16:30:11+00:00
82862,60600000402,16478153.85,32,2024,2024-08-07T20:20:22+00:00,2024-08-09T14:33:05+00:00
87172,60600000402,19912333.33,35,2024,2024-08-30T14:17:16+00:00,2024-08-30T14:17:16+00:00
91519,60600000402,19341153.85,37,2024,2024-09-11T14:24:06+00:00,2024-09-11T14:24:06+00:00
95838,60600000402,19341153.85,38,2024,2024-09-18T15:02:13+00:00,2024-09-18T15:02:13+00:00
100153,60600000402,17639960.00,39,2024,2024-09-25T12:13:36+00:00,2024-09-25T12:13:36+00:00
108673,60600000402,16000000.00,44,2024,2024-11-03T16:47:08+00:00,2024-11-03T16:47:08+00:00
112891,60600000402,12809072.73,47,2024,2024-11-20T11:41:24+00:00,2024-11-20T11:41:24+00:00
117103,60600000402,9726666.67,50,2024,2024-12-11T16:52:19+00:00,2024-12-11T16:52:19+00:00
121364,60600000402,9684210.53,51,2024,2024-12-18T12:36:06+00:00,2024-12-18T12:36:06+00:00
125555,60600000402,10862250.00,1,2025,2025-01-01T20:13:40+00:00,2025-01-01T20:13:40+00:00
129774,60600000402,9626000.00,3,2025,2025-01-15T21:08:45+00:00,2025-01-15T21:08:45+00:00
134049,60600000402,9626000.00,6,2025,2025-02-04T20:25:30+00:00,2025-02-04T20:25:30+00:00
138472,60600000402,11217547.06,10,2025,2025-03-03T17:26:11+00:00,2025-03-03T17:26:11+00:00
142992,60600000402,13642814.29,11,2025,2025-03-12T11:05:21+00:00,2025-03-12T11:05:21+00:00
147508,60600000402,8055554.94,13,2025,2025-03-26T16:30:32+00:00,2025-03-26T16:30:32+00:00
152024,60600000402,6006923.08,15,2025,2025-04-09T13:39:01+00:00,2025-04-09T13:39:01+00:00
156536,60600000402,5482428.57,17,2025,2025-04-23T12:08:23+00:00,2025-04-23T12:08:23+00:00
165509,60600000402,9633333.33,21,2025,2025-05-21T19:51:15+00:00,2025-05-21T19:51:15+00:00
