id,item_id,price,week,year,date_created,date_updated
3915,60400000413,16142857.14,11,2024,2024-03-17T14:20:58+00:00,2024-03-17T14:20:58+00:00
24361,60400000413,33249999.00,17,2024,2024-04-24T19:29:44+00:00,2024-04-24T19:29:44+00:00
28536,60400000413,33249999.00,18,2024,2024-05-01T10:43:33+00:00,2024-05-01T10:43:33+00:00
49303,60400000413,33999999.00,23,2024,2024-06-06T20:47:59+00:00,2024-06-06T20:47:59+00:00
53471,60400000413,33999999.00,24,2024,2024-06-14T11:00:44+00:00,2024-06-14T11:00:44+00:00
57626,60400000413,32499999.50,25,2024,2024-06-19T19:44:15+00:00,2024-06-19T19:44:15+00:00
61783,60400000413,32499999.50,26,2024,2024-06-26T13:26:30+00:00,2024-06-26T13:26:30+00:00
65945,60400000413,38333332.67,27,2024,2024-07-05T19:31:50+00:00,2024-07-05T19:31:50+00:00
70123,60400000413,38333332.67,28,2024,2024-07-11T08:57:31+00:00,2024-07-11T08:57:31+00:00
121325,60400000413,34999993.67,51,2024,2024-12-18T12:36:03+00:00,2024-12-18T12:36:03+00:00
125521,60400000413,25799998.80,1,2025,2025-01-01T20:13:37+00:00,2025-01-01T20:13:37+00:00
129732,60400000413,33249999.25,3,2025,2025-01-15T21:08:41+00:00,2025-01-15T21:08:41+00:00
134007,60400000413,33249999.25,6,2025,2025-02-04T20:25:26+00:00,2025-02-04T20:25:26+00:00
142950,60400000413,9000000.50,11,2025,2025-03-12T11:05:17+00:00,2025-03-12T11:05:17+00:00
147467,60400000413,23333333.00,13,2025,2025-03-26T16:30:28+00:00,2025-03-26T16:30:28+00:00
151983,60400000413,34333332.67,15,2025,2025-04-09T13:38:56+00:00,2025-04-09T13:38:56+00:00
156496,60400000413,32399999.20,17,2025,2025-04-23T12:08:19+00:00,2025-04-23T12:08:19+00:00
160960,60400000413,35866665.67,19,2025,2025-05-07T13:07:26+00:00,2025-05-07T13:07:26+00:00
165469,60400000413,37999999.00,21,2025,2025-05-21T19:51:11+00:00,2025-05-21T19:51:11+00:00
169915,60400000413,38285713.29,23,2025,2025-06-04T11:22:37+00:00,2025-06-04T11:22:37+00:00
178958,60400000413,34749749.25,26,2025,2025-06-25T17:29:21+00:00,2025-06-25T17:29:21+00:00
183387,60400000413,27832999.50,28,2025,2025-07-09T13:10:19+00:00,2025-07-09T13:10:19+00:00
183388,60400000413,25396220.76,36,2025,2025-09-02T09:20:23+00:00,2025-09-02T09:20:23+00:00
