id,item_id,price,week,year,date_created,date_updated
1171,10400000101,709829525.27,11,2024,2024-03-17T14:18:49+00:00,2024-03-17T14:18:49+00:00
8420,10400000101,420111110.71,13,2024,2024-03-27T11:12:50+00:00,2024-03-27T11:12:50+00:00
8885,10400000101,420111110.71,14,2024,2024-04-03T10:44:30+00:00,2024-04-03T10:44:30+00:00
13007,10400000101,288895454.55,15,2024,2024-04-10T12:44:12+00:00,2024-04-10T12:44:12+00:00
17216,10400000101,288895454.55,16,2024,2024-04-17T11:27:33+00:00,2024-04-17T11:27:33+00:00
21427,10400000101,524000000.00,17,2024,2024-04-24T19:28:02+00:00,2024-04-24T19:28:02+00:00
25602,10400000101,524000000.00,18,2024,2024-05-01T10:41:55+00:00,2024-05-01T10:41:55+00:00
29773,10400000101,618585858.18,19,2024,2024-05-08T18:03:17+00:00,2024-05-08T18:03:17+00:00
33913,10400000101,618585858.18,20,2024,2024-05-15T18:19:57+00:00,2024-05-15T18:19:57+00:00
38051,10400000101,481429951.30,21,2024,2024-05-22T14:11:49+00:00,2024-05-22T14:11:49+00:00
42207,10400000101,481429951.30,22,2024,2024-05-30T22:16:00+00:00,2024-05-30T22:16:00+00:00
46362,10400000101,340235293.88,23,2024,2024-06-06T20:46:10+00:00,2024-06-06T20:46:10+00:00
50530,10400000101,340235293.88,24,2024,2024-06-14T10:58:53+00:00,2024-06-14T10:58:53+00:00
54700,10400000101,256666665.73,25,2024,2024-06-19T19:42:31+00:00,2024-06-19T19:42:31+00:00
58857,10400000101,256666665.73,26,2024,2024-06-26T13:24:36+00:00,2024-06-26T13:24:36+00:00
63019,10400000101,374250000.00,27,2024,2024-07-05T19:29:59+00:00,2024-07-05T19:29:59+00:00
67197,10400000101,374250000.00,28,2024,2024-07-11T08:55:40+00:00,2024-07-11T08:55:40+00:00
71370,10400000101,341000000.00,29,2024,2024-07-21T13:27:53+00:00,2024-07-21T13:27:53+00:00
75636,10400000101,341000000.00,30,2024,2024-07-26T16:28:10+00:00,2024-07-26T16:28:10+00:00
79900,10400000101,300799600.00,32,2024,2024-08-07T20:18:24+00:00,2024-08-09T14:31:10+00:00
84184,10400000101,283347222.00,35,2024,2024-08-30T12:14:39+00:00,2024-08-30T14:15:18+00:00
88462,10400000101,256400000.00,37,2024,2024-09-11T14:21:57+00:00,2024-09-11T14:21:57+00:00
92781,10400000101,256400000.00,38,2024,2024-09-18T15:00:07+00:00,2024-09-18T15:00:07+00:00
97107,10400000101,264052287.53,39,2024,2024-09-25T12:11:20+00:00,2024-09-25T12:11:20+00:00
105640,10400000101,180740739.83,44,2024,2024-11-03T16:44:12+00:00,2024-11-03T16:44:12+00:00
109931,10400000101,182571428.57,47,2024,2024-11-20T11:37:54+00:00,2024-11-20T11:37:54+00:00
114133,10400000101,194098733.30,50,2024,2024-12-11T16:49:01+00:00,2024-12-11T16:49:01+00:00
118355,10400000101,292857142.86,51,2024,2024-12-18T12:32:44+00:00,2024-12-18T12:32:44+00:00
122569,10400000101,243333333.33,1,2025,2025-01-01T20:10:18+00:00,2025-01-01T20:10:18+00:00
126748,10400000101,188333333.33,3,2025,2025-01-15T21:05:27+00:00,2025-01-15T21:05:27+00:00
131023,10400000101,188333333.33,6,2025,2025-02-04T20:20:39+00:00,2025-02-04T20:20:39+00:00
135291,10400000101,233444444.44,10,2025,2025-03-03T17:22:50+00:00,2025-03-03T17:22:50+00:00
144310,10400000101,155993424.67,13,2025,2025-03-26T16:27:05+00:00,2025-03-26T16:27:05+00:00
148793,10400000101,168906803.67,15,2025,2025-04-09T13:33:50+00:00,2025-04-09T13:33:50+00:00
153345,10400000101,133663003.00,17,2025,2025-04-23T12:04:59+00:00,2025-04-23T12:04:59+00:00
157803,10400000101,135805743.64,19,2025,2025-05-07T13:04:04+00:00,2025-05-07T13:04:04+00:00
162291,10400000101,243715703.44,21,2025,2025-05-21T19:47:44+00:00,2025-05-21T19:47:44+00:00
