id,item_id,price,week,year,date_created,date_updated
29840,10500000410,6000000000.00,19,2024,2024-05-08T18:03:18+00:00,2024-05-08T18:03:18+00:00
33980,10500000410,6000000000.00,20,2024,2024-05-15T18:19:58+00:00,2024-05-15T18:19:58+00:00
38118,10500000410,4646865168.54,21,2024,2024-05-22T14:11:49+00:00,2024-05-22T14:11:49+00:00
42274,10500000410,4646865168.54,22,2024,2024-05-30T22:16:01+00:00,2024-05-30T22:16:01+00:00
46429,10500000410,4056564999.44,23,2024,2024-06-06T20:46:11+00:00,2024-06-06T20:46:11+00:00
50597,10500000410,4056564999.44,24,2024,2024-06-14T10:58:54+00:00,2024-06-14T10:58:54+00:00
54769,10500000410,4284821428.57,25,2024,2024-06-19T19:42:32+00:00,2024-06-19T19:42:32+00:00
58926,10500000410,4284821428.57,26,2024,2024-06-26T13:24:37+00:00,2024-06-26T13:24:37+00:00
63090,10500000410,4792045454.55,27,2024,2024-07-05T19:30:01+00:00,2024-07-05T19:30:01+00:00
67268,10500000410,4792045454.55,28,2024,2024-07-11T08:55:41+00:00,2024-07-11T08:55:41+00:00
71442,10500000410,5027000000.00,29,2024,2024-07-21T13:27:55+00:00,2024-07-21T13:27:55+00:00
75708,10500000410,5027000000.00,30,2024,2024-07-26T16:28:11+00:00,2024-07-26T16:28:11+00:00
79970,10500000410,5052427184.47,32,2024,2024-08-07T20:18:25+00:00,2024-08-09T14:31:12+00:00
84256,10500000410,7073701151.63,35,2024,2024-08-30T14:15:19+00:00,2024-08-30T14:15:19+00:00
88531,10500000410,7786519607.63,37,2024,2024-09-11T14:21:58+00:00,2024-09-11T14:21:58+00:00
92850,10500000410,7786519607.63,38,2024,2024-09-18T15:00:08+00:00,2024-09-18T15:00:08+00:00
97177,10500000410,8610447760.80,39,2024,2024-09-25T12:11:21+00:00,2024-09-25T12:11:21+00:00
101466,10500000410,8238834951.46,41,2024,2024-10-11T17:05:19+00:00,2024-10-11T17:05:19+00:00
105712,10500000410,8075581394.67,44,2024,2024-11-03T16:44:15+00:00,2024-11-03T16:44:15+00:00
110000,10500000410,9028781793.54,47,2024,2024-11-20T11:37:57+00:00,2024-11-20T11:37:57+00:00
114205,10500000410,8635185184.85,50,2024,2024-12-11T16:49:04+00:00,2024-12-11T16:49:04+00:00
118424,10500000410,9324390243.90,51,2024,2024-12-18T12:32:46+00:00,2024-12-18T12:32:46+00:00
122638,10500000410,9435294052.94,1,2025,2025-01-01T20:10:23+00:00,2025-01-01T20:10:23+00:00
126818,10500000410,9056195181.08,3,2025,2025-01-15T21:05:30+00:00,2025-01-15T21:05:30+00:00
131093,10500000410,9056195181.08,6,2025,2025-02-04T20:20:44+00:00,2025-02-04T20:20:44+00:00
135362,10500000410,8886268040.88,10,2025,2025-03-03T17:22:52+00:00,2025-03-03T17:22:52+00:00
139869,10500000410,8274349514.56,11,2025,2025-03-12T11:01:55+00:00,2025-03-12T11:01:55+00:00
144382,10500000410,8657352941.18,13,2025,2025-03-26T16:27:07+00:00,2025-03-26T16:27:07+00:00
148865,10500000410,8757142857.14,15,2025,2025-04-09T13:33:55+00:00,2025-04-09T13:33:55+00:00
153416,10500000410,8824242423.91,17,2025,2025-04-23T12:05:02+00:00,2025-04-23T12:05:02+00:00
157875,10500000410,9242089552.24,19,2025,2025-05-07T13:04:07+00:00,2025-05-07T13:04:07+00:00
162363,10500000410,9655179486.65,21,2025,2025-05-21T19:47:47+00:00,2025-05-21T19:47:47+00:00
162364,10500000410,9992877959.61,23,2025,2025-06-04T11:19:05+00:00,2025-06-04T11:19:05+00:00
162365,10500000410,10949548387.10,25,2025,2025-06-18T11:54:00+00:00,2025-06-18T11:54:00+00:00
