id,item_id,price,week,year,date_created,date_updated
1642,10202000310,160750000.00,11,2024,2024-03-17T14:19:02+00:00,2024-03-17T14:19:02+00:00
4334,10202000310,153454542.55,13,2024,2024-03-25T15:23:17+00:00,2024-03-27T11:12:50+00:00
8808,10202000310,153454542.55,14,2024,2024-04-03T10:44:30+00:00,2024-04-03T10:44:30+00:00
12929,10202000310,155999995.08,15,2024,2024-04-10T12:44:11+00:00,2024-04-10T12:44:11+00:00
17138,10202000310,155999995.08,16,2024,2024-04-17T11:27:32+00:00,2024-04-17T11:27:32+00:00
29693,10202000310,160000000.00,19,2024,2024-05-08T18:03:16+00:00,2024-05-08T18:03:16+00:00
33833,10202000310,160000000.00,20,2024,2024-05-15T18:19:56+00:00,2024-05-15T18:19:56+00:00
37975,10202000310,188166666.33,21,2024,2024-05-22T14:11:48+00:00,2024-05-22T14:11:48+00:00
42131,10202000310,188166666.33,22,2024,2024-05-30T22:15:59+00:00,2024-05-30T22:15:59+00:00
62940,10202000310,83000000.00,27,2024,2024-07-05T19:29:58+00:00,2024-07-05T19:29:58+00:00
67118,10202000310,83000000.00,28,2024,2024-07-11T08:55:39+00:00,2024-07-11T08:55:39+00:00
71292,10202000310,65800000.00,29,2024,2024-07-21T13:27:52+00:00,2024-07-21T13:27:52+00:00
75558,10202000310,65800000.00,30,2024,2024-07-26T16:28:09+00:00,2024-07-26T16:28:09+00:00
79824,10202000310,60000000.00,32,2024,2024-08-07T20:18:23+00:00,2024-08-09T14:31:09+00:00
84106,10202000310,84500000.00,35,2024,2024-08-30T12:14:09+00:00,2024-08-30T14:15:17+00:00
88383,10202000310,88368194.33,37,2024,2024-09-11T14:21:56+00:00,2024-09-11T14:21:56+00:00
92702,10202000310,88368194.33,38,2024,2024-09-18T15:00:06+00:00,2024-09-18T15:00:06+00:00
97027,10202000310,76333333.00,39,2024,2024-09-25T12:11:18+00:00,2024-09-25T12:11:18+00:00
101324,10202000310,97499999.50,41,2024,2024-10-11T17:05:10+00:00,2024-10-11T17:05:10+00:00
118276,10202000310,170667374.67,51,2024,2024-12-18T12:32:40+00:00,2024-12-18T12:32:40+00:00
122492,10202000310,74000029.40,1,2025,2025-01-01T20:10:15+00:00,2025-01-01T20:10:15+00:00
126668,10202000310,175682563.57,3,2025,2025-01-15T21:05:24+00:00,2025-01-15T21:05:24+00:00
130943,10202000310,175682563.57,6,2025,2025-02-04T20:20:33+00:00,2025-02-04T20:20:33+00:00
139719,10202000310,133329258.33,11,2025,2025-03-12T11:01:49+00:00,2025-03-12T11:01:49+00:00
144229,10202000310,146388996.50,13,2025,2025-03-26T16:27:02+00:00,2025-03-26T16:27:02+00:00
148711,10202000310,296363628.09,15,2025,2025-04-09T13:33:43+00:00,2025-04-09T13:33:43+00:00
153264,10202000310,275000160.17,17,2025,2025-04-23T12:04:55+00:00,2025-04-23T12:04:55+00:00
157725,10202000310,272500493.50,19,2025,2025-05-07T13:04:00+00:00,2025-05-07T13:04:00+00:00
162210,10202000310,272708488.62,21,2025,2025-05-21T19:47:41+00:00,2025-05-21T19:47:41+00:00
162211,10202000310,216481693.83,23,2025,2025-06-04T11:19:00+00:00,2025-06-04T11:19:00+00:00
