id,item_id,price,week,year,date_created,date_updated
1073,10200000412,587499245.17,11,2024,2024-03-17T14:18:47+00:00,2024-03-17T14:18:47+00:00
4330,10200000412,559714284.71,13,2024,2024-03-25T15:23:17+00:00,2024-03-27T11:12:50+00:00
8804,10200000412,559714284.71,14,2024,2024-04-03T10:44:30+00:00,2024-04-03T10:44:30+00:00
12925,10200000412,461818180.91,15,2024,2024-04-10T12:44:11+00:00,2024-04-10T12:44:11+00:00
17134,10200000412,461818180.91,16,2024,2024-04-17T11:27:32+00:00,2024-04-17T11:27:32+00:00
21343,10200000412,661037030.73,17,2024,2024-04-24T19:28:01+00:00,2024-04-24T19:28:01+00:00
25518,10200000412,661037030.73,18,2024,2024-05-01T10:41:54+00:00,2024-05-01T10:41:54+00:00
29691,10200000412,692454537.09,19,2024,2024-05-08T18:03:16+00:00,2024-05-08T18:03:16+00:00
33831,10200000412,692454537.09,20,2024,2024-05-15T18:19:56+00:00,2024-05-15T18:19:56+00:00
37972,10200000412,625666666.33,21,2024,2024-05-22T14:11:48+00:00,2024-05-22T14:11:48+00:00
42128,10200000412,625666666.33,22,2024,2024-05-30T22:15:59+00:00,2024-05-30T22:15:59+00:00
46283,10200000412,583466332.50,23,2024,2024-06-06T20:46:09+00:00,2024-06-06T20:46:09+00:00
50451,10200000412,583466332.50,24,2024,2024-06-14T10:58:52+00:00,2024-06-14T10:58:52+00:00
62936,10200000412,499888887.75,27,2024,2024-07-05T19:29:58+00:00,2024-07-05T19:29:58+00:00
67114,10200000412,499888887.75,28,2024,2024-07-11T08:55:39+00:00,2024-07-11T08:55:39+00:00
71290,10200000412,386172839.11,29,2024,2024-07-21T13:27:52+00:00,2024-07-21T13:27:52+00:00
75556,10200000412,386172839.11,30,2024,2024-07-26T16:28:09+00:00,2024-07-26T16:28:09+00:00
79822,10200000412,462499999.33,32,2024,2024-08-07T20:18:23+00:00,2024-08-09T14:31:09+00:00
84102,10200000412,408499999.50,35,2024,2024-08-30T12:14:08+00:00,2024-08-30T14:15:16+00:00
88379,10200000412,448635635.45,37,2024,2024-09-11T14:21:56+00:00,2024-09-11T14:21:56+00:00
92698,10200000412,448635635.45,38,2024,2024-09-18T15:00:05+00:00,2024-09-18T15:00:05+00:00
97019,10200000412,544867594.27,39,2024,2024-09-25T12:11:18+00:00,2024-09-25T12:11:18+00:00
101317,10200000412,451332332.08,41,2024,2024-10-11T17:05:10+00:00,2024-10-11T17:05:10+00:00
105556,10200000412,409775000.00,44,2024,2024-11-03T16:44:09+00:00,2024-11-03T16:44:09+00:00
109843,10200000412,547500000.00,47,2024,2024-11-20T11:37:51+00:00,2024-11-20T11:37:51+00:00
118270,10200000412,364500000.00,51,2024,2024-12-18T12:32:40+00:00,2024-12-18T12:32:40+00:00
122485,10200000412,481444444.44,1,2025,2025-01-01T20:10:15+00:00,2025-01-01T20:10:15+00:00
126662,10200000412,535568181.33,3,2025,2025-01-15T21:05:24+00:00,2025-01-15T21:05:24+00:00
130937,10200000412,535568181.33,6,2025,2025-02-04T20:20:33+00:00,2025-02-04T20:20:33+00:00
135208,10200000412,318500004.50,10,2025,2025-03-03T17:22:47+00:00,2025-03-03T17:22:47+00:00
139711,10200000412,285266672.07,11,2025,2025-03-12T11:01:49+00:00,2025-03-12T11:01:49+00:00
144220,10200000412,330533333.33,13,2025,2025-03-26T16:27:02+00:00,2025-03-26T16:27:02+00:00
148703,10200000412,448571170.57,15,2025,2025-04-09T13:33:42+00:00,2025-04-09T13:33:42+00:00
153257,10200000412,439523551.00,17,2025,2025-04-23T12:04:55+00:00,2025-04-23T12:04:55+00:00
157718,10200000412,351721721.33,19,2025,2025-05-07T13:04:00+00:00,2025-05-07T13:04:00+00:00
162202,10200000412,500333332.75,21,2025,2025-05-21T19:47:41+00:00,2025-05-21T19:47:41+00:00
162203,10200000412,406111110.89,23,2025,2025-06-04T11:18:59+00:00,2025-06-04T11:18:59+00:00
162204,10200000412,415999999.30,25,2025,2025-06-18T11:53:48+00:00,2025-06-18T11:53:48+00:00
162205,10200000412,490444443.08,26,2025,2025-06-25T17:25:51+00:00,2025-06-25T17:25:51+00:00
162206,10200000412,359408332.40,28,2025,2025-07-09T13:03:12+00:00,2025-07-09T13:03:12+00:00
