id,item_id,price,week,year,date_created,date_updated
1002,10200000308,95411658.01,11,2024,2024-03-17T14:18:45+00:00,2024-03-17T14:18:45+00:00
4315,10200000308,99090908.59,13,2024,2024-03-25T15:23:17+00:00,2024-03-27T11:12:50+00:00
8791,10200000308,99090908.59,14,2024,2024-04-03T10:44:30+00:00,2024-04-03T10:44:30+00:00
12910,10200000308,95479166.38,15,2024,2024-04-10T12:44:11+00:00,2024-04-10T12:44:11+00:00
17119,10200000308,95479166.38,16,2024,2024-04-17T11:27:32+00:00,2024-04-17T11:27:32+00:00
21328,10200000308,96509523.81,17,2024,2024-04-24T19:28:01+00:00,2024-04-24T19:28:01+00:00
25503,10200000308,96509523.81,18,2024,2024-05-01T10:41:54+00:00,2024-05-01T10:41:54+00:00
29676,10200000308,90025640.67,19,2024,2024-05-08T18:03:16+00:00,2024-05-08T18:03:16+00:00
33816,10200000308,90025640.67,20,2024,2024-05-15T18:19:56+00:00,2024-05-15T18:19:56+00:00
37958,10200000308,86361111.11,21,2024,2024-05-22T14:11:47+00:00,2024-05-22T14:11:47+00:00
42114,10200000308,86361111.11,22,2024,2024-05-30T22:15:59+00:00,2024-05-30T22:15:59+00:00
46268,10200000308,74090909.09,23,2024,2024-06-06T20:46:09+00:00,2024-06-06T20:46:09+00:00
50436,10200000308,74090909.09,24,2024,2024-06-14T10:58:52+00:00,2024-06-14T10:58:52+00:00
54605,10200000308,63922726.91,25,2024,2024-06-19T19:42:30+00:00,2024-06-19T19:42:30+00:00
58762,10200000308,63922726.91,26,2024,2024-06-26T13:24:35+00:00,2024-06-26T13:24:35+00:00
62921,10200000308,75294444.44,27,2024,2024-07-05T19:29:58+00:00,2024-07-05T19:29:58+00:00
67099,10200000308,75294444.44,28,2024,2024-07-11T08:55:39+00:00,2024-07-11T08:55:39+00:00
71276,10200000308,60764705.88,29,2024,2024-07-21T13:27:52+00:00,2024-07-21T13:27:52+00:00
75542,10200000308,60764705.88,30,2024,2024-07-26T16:28:08+00:00,2024-07-26T16:28:08+00:00
79809,10200000308,65384615.19,32,2024,2024-08-07T20:18:23+00:00,2024-08-09T14:31:09+00:00
84087,10200000308,86083332.62,35,2024,2024-08-30T12:13:58+00:00,2024-08-30T14:15:16+00:00
88365,10200000308,78361073.33,37,2024,2024-09-11T14:21:56+00:00,2024-09-11T14:21:56+00:00
92684,10200000308,78361073.33,38,2024,2024-09-18T15:00:05+00:00,2024-09-18T15:00:05+00:00
97004,10200000308,74192307.69,39,2024,2024-09-25T12:11:18+00:00,2024-09-25T12:11:18+00:00
101302,10200000308,68526315.79,41,2024,2024-10-11T17:05:09+00:00,2024-10-11T17:05:09+00:00
105541,10200000308,81076923.08,44,2024,2024-11-03T16:44:09+00:00,2024-11-03T16:44:09+00:00
109830,10200000308,50105263.16,47,2024,2024-11-20T11:37:50+00:00,2024-11-20T11:37:50+00:00
114034,10200000308,60150000.00,50,2024,2024-12-11T16:48:57+00:00,2024-12-11T16:48:57+00:00
118256,10200000308,59150000.00,51,2024,2024-12-18T12:32:40+00:00,2024-12-18T12:32:40+00:00
122470,10200000308,60333333.17,1,2025,2025-01-01T20:10:14+00:00,2025-01-01T20:10:14+00:00
126647,10200000308,63571428.57,3,2025,2025-01-15T21:05:24+00:00,2025-01-15T21:05:24+00:00
130922,10200000308,63571428.57,6,2025,2025-02-04T20:20:32+00:00,2025-02-04T20:20:32+00:00
144205,10200000308,59428571.43,13,2025,2025-03-26T16:27:02+00:00,2025-03-26T16:27:02+00:00
148688,10200000308,54222222.22,15,2025,2025-04-09T13:33:41+00:00,2025-04-09T13:33:41+00:00
153243,10200000308,61950522.91,17,2025,2025-04-23T12:04:55+00:00,2025-04-23T12:04:55+00:00
162188,10200000308,43996192.42,21,2025,2025-05-21T19:47:40+00:00,2025-05-21T19:47:40+00:00
162189,10200000308,91329101.25,23,2025,2025-06-04T11:18:59+00:00,2025-06-04T11:18:59+00:00
162190,10200000308,115384614.85,25,2025,2025-06-18T11:53:47+00:00,2025-06-18T11:53:47+00:00
162191,10200000308,106285713.79,26,2025,2025-06-25T17:25:51+00:00,2025-06-25T17:25:51+00:00
162192,10200000308,69600002.80,28,2025,2025-07-09T13:03:11+00:00,2025-07-09T13:03:11+00:00
162193,10200000308,77142857.71,30,2025,2025-07-23T20:38:30+00:00,2025-07-23T20:38:30+00:00
