id,item_id,price,week,year,date_created,date_updated
931,10200000202,38396685.66,11,2024,2024-03-17T14:18:43+00:00,2024-03-17T14:18:43+00:00
4297,10200000202,43198528.31,13,2024,2024-03-25T15:23:17+00:00,2024-03-27T11:12:49+00:00
8773,10200000202,43198528.31,14,2024,2024-04-03T10:44:29+00:00,2024-04-03T10:44:29+00:00
12892,10200000202,44324674.35,15,2024,2024-04-10T12:44:11+00:00,2024-04-10T12:44:11+00:00
17101,10200000202,44324674.35,16,2024,2024-04-17T11:27:32+00:00,2024-04-17T11:27:32+00:00
21310,10200000202,45781985.77,17,2024,2024-04-24T19:28:01+00:00,2024-04-24T19:28:01+00:00
25485,10200000202,45781985.77,18,2024,2024-05-01T10:41:54+00:00,2024-05-01T10:41:54+00:00
29658,10200000202,37281553.40,19,2024,2024-05-08T18:03:15+00:00,2024-05-08T18:03:15+00:00
33798,10200000202,37281553.40,20,2024,2024-05-15T18:19:56+00:00,2024-05-15T18:19:56+00:00
37940,10200000202,24640300.75,21,2024,2024-05-22T14:11:47+00:00,2024-05-22T14:11:47+00:00
42096,10200000202,24640300.75,22,2024,2024-05-30T22:15:59+00:00,2024-05-30T22:15:59+00:00
46252,10200000202,34473519.78,23,2024,2024-06-06T20:46:09+00:00,2024-06-06T20:46:09+00:00
50420,10200000202,34473519.78,24,2024,2024-06-14T10:58:52+00:00,2024-06-14T10:58:52+00:00
54588,10200000202,33039473.68,25,2024,2024-06-19T19:42:30+00:00,2024-06-19T19:42:30+00:00
58745,10200000202,33039473.68,26,2024,2024-06-26T13:24:34+00:00,2024-06-26T13:24:34+00:00
62903,10200000202,44596721.29,27,2024,2024-07-05T19:29:58+00:00,2024-07-05T19:29:58+00:00
67081,10200000202,44596721.29,28,2024,2024-07-11T08:55:39+00:00,2024-07-11T08:55:39+00:00
71258,10200000202,45257546.48,29,2024,2024-07-21T13:27:52+00:00,2024-07-21T13:27:52+00:00
75524,10200000202,45257546.48,30,2024,2024-07-26T16:28:08+00:00,2024-07-26T16:28:08+00:00
79791,10200000202,39526006.13,32,2024,2024-08-07T20:18:23+00:00,2024-08-09T14:31:09+00:00
84070,10200000202,34010981.16,35,2024,2024-08-30T12:13:54+00:00,2024-08-30T14:15:16+00:00
88347,10200000202,36365311.83,37,2024,2024-09-11T14:21:55+00:00,2024-09-11T14:21:55+00:00
92666,10200000202,36365311.83,38,2024,2024-09-18T15:00:05+00:00,2024-09-18T15:00:05+00:00
96987,10200000202,21760380.28,39,2024,2024-09-25T12:11:17+00:00,2024-09-25T12:11:17+00:00
101284,10200000202,20849624.06,41,2024,2024-10-11T17:05:07+00:00,2024-10-11T17:05:07+00:00
105523,10200000202,20948387.10,44,2024,2024-11-03T16:44:08+00:00,2024-11-03T16:44:08+00:00
109812,10200000202,18949152.54,47,2024,2024-11-20T11:37:50+00:00,2024-11-20T11:37:50+00:00
114017,10200000202,14988607.59,50,2024,2024-12-11T16:48:57+00:00,2024-12-11T16:48:57+00:00
118238,10200000202,18810637.70,51,2024,2024-12-18T12:32:39+00:00,2024-12-18T12:32:39+00:00
122453,10200000202,19641891.68,1,2025,2025-01-01T20:10:14+00:00,2025-01-01T20:10:14+00:00
126629,10200000202,18798913.04,3,2025,2025-01-15T21:05:23+00:00,2025-01-15T21:05:23+00:00
130904,10200000202,18798913.04,6,2025,2025-02-04T20:20:30+00:00,2025-02-04T20:20:30+00:00
135177,10200000202,16693069.31,10,2025,2025-03-03T17:22:46+00:00,2025-03-03T17:22:46+00:00
139679,10200000202,15696720.75,11,2025,2025-03-12T11:01:48+00:00,2025-03-12T11:01:48+00:00
144187,10200000202,16818840.33,13,2025,2025-03-26T16:27:01+00:00,2025-03-26T16:27:01+00:00
148671,10200000202,25526315.67,15,2025,2025-04-09T13:33:41+00:00,2025-04-09T13:33:41+00:00
153226,10200000202,29770642.20,17,2025,2025-04-23T12:04:54+00:00,2025-04-23T12:04:54+00:00
157689,10200000202,33166666.67,19,2025,2025-05-07T13:03:59+00:00,2025-05-07T13:03:59+00:00
162170,10200000202,37541176.20,21,2025,2025-05-21T19:47:39+00:00,2025-05-21T19:47:39+00:00
162171,10200000202,34563133.32,23,2025,2025-06-04T11:18:58+00:00,2025-06-04T11:18:58+00:00
162172,10200000202,40037037.00,25,2025,2025-06-18T11:53:45+00:00,2025-06-18T11:53:45+00:00
162173,10200000202,38049999.63,26,2025,2025-06-25T17:25:50+00:00,2025-06-25T17:25:50+00:00
162174,10200000202,36168943.32,28,2025,2025-07-09T13:03:09+00:00,2025-07-09T13:03:09+00:00
162175,10200000202,35645501.79,30,2025,2025-07-23T20:38:29+00:00,2025-07-23T20:38:29+00:00
