id,item_id,price,week,year,date_created,date_updated
1625,10600000402,158680886.38,11,2024,2024-03-17T14:19:02+00:00,2024-03-17T14:19:02+00:00
4497,10600000402,150629481.00,13,2024,2024-03-25T15:23:19+00:00,2024-03-27T11:12:51+00:00
8971,10600000402,150629481.00,14,2024,2024-04-03T10:44:32+00:00,2024-04-03T10:44:32+00:00
13092,10600000402,145184512.04,15,2024,2024-04-10T12:44:13+00:00,2024-04-10T12:44:13+00:00
17301,10600000402,145184512.04,16,2024,2024-04-17T11:27:34+00:00,2024-04-17T11:27:34+00:00
21513,10600000402,148250022.03,17,2024,2024-04-24T19:28:03+00:00,2024-04-24T19:28:03+00:00
25688,10600000402,148250022.03,18,2024,2024-05-01T10:41:56+00:00,2024-05-01T10:41:56+00:00
29858,10600000402,142936936.85,19,2024,2024-05-08T18:03:18+00:00,2024-05-08T18:03:18+00:00
33998,10600000402,142936936.85,20,2024,2024-05-15T18:19:58+00:00,2024-05-15T18:19:58+00:00
38136,10600000402,140309545.15,21,2024,2024-05-22T14:11:50+00:00,2024-05-22T14:11:50+00:00
42292,10600000402,140309545.15,22,2024,2024-05-30T22:16:02+00:00,2024-05-30T22:16:02+00:00
46447,10600000402,130076662.98,23,2024,2024-06-06T20:46:12+00:00,2024-06-06T20:46:12+00:00
50615,10600000402,130076662.98,24,2024,2024-06-14T10:58:55+00:00,2024-06-14T10:58:55+00:00
54787,10600000402,124278688.16,25,2024,2024-06-19T19:42:32+00:00,2024-06-19T19:42:32+00:00
58944,10600000402,124278688.16,26,2024,2024-06-26T13:24:37+00:00,2024-06-26T13:24:37+00:00
63109,10600000402,133854623.19,27,2024,2024-07-05T19:30:01+00:00,2024-07-05T19:30:01+00:00
67287,10600000402,133854623.19,28,2024,2024-07-11T08:55:42+00:00,2024-07-11T08:55:42+00:00
71461,10600000402,145739521.36,29,2024,2024-07-21T13:27:55+00:00,2024-07-21T13:27:55+00:00
75727,10600000402,145739521.36,30,2024,2024-07-26T16:28:11+00:00,2024-07-26T16:28:11+00:00
79989,10600000402,147937355.30,32,2024,2024-08-07T20:18:26+00:00,2024-08-09T14:31:12+00:00
84275,10600000402,147024804.35,35,2024,2024-08-30T14:15:19+00:00,2024-08-30T14:15:19+00:00
88555,10600000402,146914086.22,37,2024,2024-09-11T14:21:59+00:00,2024-09-11T14:21:59+00:00
92874,10600000402,146914086.22,38,2024,2024-09-18T15:00:09+00:00,2024-09-18T15:00:09+00:00
97201,10600000402,133732174.05,39,2024,2024-09-25T12:11:22+00:00,2024-09-25T12:11:22+00:00
101490,10600000402,127422858.00,41,2024,2024-10-11T17:05:21+00:00,2024-10-11T17:05:21+00:00
105736,10600000402,123283159.18,44,2024,2024-11-03T16:44:16+00:00,2024-11-03T16:44:16+00:00
110025,10600000402,131078942.91,47,2024,2024-11-20T11:37:57+00:00,2024-11-20T11:37:57+00:00
114230,10600000402,140487882.53,50,2024,2024-12-11T16:49:05+00:00,2024-12-11T16:49:05+00:00
118449,10600000402,132175948.58,51,2024,2024-12-18T12:32:47+00:00,2024-12-18T12:32:47+00:00
122663,10600000402,126105262.74,1,2025,2025-01-01T20:10:24+00:00,2025-01-01T20:10:24+00:00
126843,10600000402,134330484.28,3,2025,2025-01-15T21:05:31+00:00,2025-01-15T21:05:31+00:00
131118,10600000402,134330484.28,6,2025,2025-02-04T20:20:45+00:00,2025-02-04T20:20:45+00:00
135387,10600000402,147641025.76,10,2025,2025-03-03T17:22:53+00:00,2025-03-03T17:22:53+00:00
139894,10600000402,148341567.68,11,2025,2025-03-12T11:01:56+00:00,2025-03-12T11:01:56+00:00
144407,10600000402,168422529.79,13,2025,2025-03-26T16:27:08+00:00,2025-03-26T16:27:08+00:00
148890,10600000402,132423437.31,15,2025,2025-04-09T13:33:56+00:00,2025-04-09T13:33:56+00:00
153441,10600000402,146784696.43,17,2025,2025-04-23T12:05:03+00:00,2025-04-23T12:05:03+00:00
157900,10600000402,145113726.08,19,2025,2025-05-07T13:04:08+00:00,2025-05-07T13:04:08+00:00
162388,10600000402,153395061.40,21,2025,2025-05-21T19:47:48+00:00,2025-05-21T19:47:48+00:00
