id,item_id,price,week,year,date_created,date_updated
1492,10600000101,47019106.14,11,2024,2024-03-17T14:18:57+00:00,2024-03-17T14:18:57+00:00
4487,10600000101,46165548.56,13,2024,2024-03-25T15:23:19+00:00,2024-03-27T11:12:51+00:00
8961,10600000101,46165548.56,14,2024,2024-04-03T10:44:31+00:00,2024-04-03T10:44:31+00:00
13082,10600000101,42109597.92,15,2024,2024-04-10T12:44:12+00:00,2024-04-10T12:44:12+00:00
17291,10600000101,42109597.92,16,2024,2024-04-17T11:27:34+00:00,2024-04-17T11:27:34+00:00
21503,10600000101,43036173.95,17,2024,2024-04-24T19:28:03+00:00,2024-04-24T19:28:03+00:00
25678,10600000101,43036173.95,18,2024,2024-05-01T10:41:56+00:00,2024-05-01T10:41:56+00:00
29848,10600000101,44136291.03,19,2024,2024-05-08T18:03:18+00:00,2024-05-08T18:03:18+00:00
33988,10600000101,44136291.03,20,2024,2024-05-15T18:19:58+00:00,2024-05-15T18:19:58+00:00
38126,10600000101,42922868.12,21,2024,2024-05-22T14:11:50+00:00,2024-05-22T14:11:50+00:00
42282,10600000101,42922868.12,22,2024,2024-05-30T22:16:02+00:00,2024-05-30T22:16:02+00:00
46437,10600000101,43209532.49,23,2024,2024-06-06T20:46:11+00:00,2024-06-06T20:46:11+00:00
50605,10600000101,43209532.49,24,2024,2024-06-14T10:58:55+00:00,2024-06-14T10:58:55+00:00
54777,10600000101,42398177.51,25,2024,2024-06-19T19:42:32+00:00,2024-06-19T19:42:32+00:00
58934,10600000101,42398177.51,26,2024,2024-06-26T13:24:37+00:00,2024-06-26T13:24:37+00:00
63099,10600000101,42171230.35,27,2024,2024-07-05T19:30:01+00:00,2024-07-05T19:30:01+00:00
67277,10600000101,42171230.35,28,2024,2024-07-11T08:55:41+00:00,2024-07-11T08:55:41+00:00
71451,10600000101,42637614.68,29,2024,2024-07-21T13:27:55+00:00,2024-07-21T13:27:55+00:00
75717,10600000101,42637614.68,30,2024,2024-07-26T16:28:11+00:00,2024-07-26T16:28:11+00:00
79979,10600000101,43600000.00,32,2024,2024-08-07T20:18:25+00:00,2024-08-09T14:31:12+00:00
84265,10600000101,42944742.66,35,2024,2024-08-30T14:15:19+00:00,2024-08-30T14:15:19+00:00
88545,10600000101,42762816.13,37,2024,2024-09-11T14:21:58+00:00,2024-09-11T14:21:58+00:00
92864,10600000101,42762816.13,38,2024,2024-09-18T15:00:08+00:00,2024-09-18T15:00:08+00:00
97191,10600000101,40768704.82,39,2024,2024-09-25T12:11:21+00:00,2024-09-25T12:11:21+00:00
101480,10600000101,39965137.61,41,2024,2024-10-11T17:05:20+00:00,2024-10-11T17:05:20+00:00
105726,10600000101,40325258.05,44,2024,2024-11-03T16:44:15+00:00,2024-11-03T16:44:15+00:00
110015,10600000101,48282549.94,47,2024,2024-11-20T11:37:57+00:00,2024-11-20T11:37:57+00:00
114220,10600000101,50881077.30,50,2024,2024-12-11T16:49:05+00:00,2024-12-11T16:49:05+00:00
118439,10600000101,53148718.89,51,2024,2024-12-18T12:32:47+00:00,2024-12-18T12:32:47+00:00
122653,10600000101,48772171.25,1,2025,2025-01-01T20:10:24+00:00,2025-01-01T20:10:24+00:00
126833,10600000101,47729662.82,3,2025,2025-01-15T21:05:30+00:00,2025-01-15T21:05:30+00:00
131108,10600000101,47729662.82,6,2025,2025-02-04T20:20:45+00:00,2025-02-04T20:20:45+00:00
135377,10600000101,44099374.71,10,2025,2025-03-03T17:22:52+00:00,2025-03-03T17:22:52+00:00
139884,10600000101,42206332.62,11,2025,2025-03-12T11:01:55+00:00,2025-03-12T11:01:55+00:00
144397,10600000101,39978096.68,13,2025,2025-03-26T16:27:08+00:00,2025-03-26T16:27:08+00:00
148880,10600000101,39626200.29,15,2025,2025-04-09T13:33:56+00:00,2025-04-09T13:33:56+00:00
153431,10600000101,39041146.15,17,2025,2025-04-23T12:05:03+00:00,2025-04-23T12:05:03+00:00
157890,10600000101,38834212.65,19,2025,2025-05-07T13:04:08+00:00,2025-05-07T13:04:08+00:00
162378,10600000101,38967201.84,21,2025,2025-05-21T19:47:48+00:00,2025-05-21T19:47:48+00:00
